MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04不明\x021\n\x0E\x03\x02\x06\x04不明\nDo you wish to remain innocent, holding fast to\nthe teachings you follow?\x0E\x04\x02\x00
MID_OP2_#026	\x0E\x03\x02\x14\x12E005_Boss\nDo you see it now? You are alone.\x0E\x04\x02\x00
MID_OP2_#027	Your beloved Divine Dragon, the Four Winds,\nyour real twin brother─all gone!\x0E\x04\x02\x00
MID_OP2_#028	Haha! Isn't it wonderful?!\x0E\x04\x02\x00
MID_OP2_#029	At last, we will face each other as true peers!\nAnd when that struggle finally ends...\x0E\x04\x02\x00
MID_OP2_#030	you can put an end to me.\x0E\x04\x00\x00
MID_OP2_#031	\x0E\x03\x02\x10\x0EE006_エル\nWhat?\x0E\x04\x00\x00
MID_OP2_#032	\x0E\x03\x02\x14\x12E005_Boss\nI have always been a miserable and lonely child.\nI cannot even recall the face of my own twin.\x0E\x04\x02\x00
MID_OP2_#033	I knew you would never forgive my deception,\nbut for a time...I cherished being your Nil.\x0E\x04\x02\x00
MID_OP2_#034	You were so gentle and giving with me. So kind.\nI began to think of you as my one true sister...\x0E\x04\x02\x00
MID_OP2_#035	Even now, the memory of our time at Lythos\nCastle...is priceless to me.\x0E\x04\x02\x00
MID_OP2_#036	But that treasure is a stolen one. And this pain...\nThis pain is unbearable. So please...\x0E\x04\x02\x00
MID_OP2_#037	Please put an end to my misery.\x0E\x04\x00\x00
MID_OP2_#038	\x0E\x03\x02\x10\x0EE006_エル\nWhat is this, Nil? Tell me what is happening.\x0E\x04\x00\x00
MID_OP2_#039	\x0E\x03\x02\x14\x12E005_Boss\nNo... Ugh, no! "Put an end to my misery"?\nPathetic! Laughable!\x0E\x04\x02\x00
MID_OP2_#040	Father laid his hand upon my chest. He named\nme his true heir!\x0E\x04\x02\x00
MID_OP2_#041	I cannot stop until his ambitions are fulfilled!\x0E\x04\x02\x00
MID_OP2_#042	Surely that is what he intended me to achieve.\nNo, he would not call me his heir otherwise.\x0E\x04\x02\x00
MID_OP2_#043	Perhaps it was a trick. Or simple pity. I do not\nknow... Ugh! Curse this pain, it never ends!\x0E\x04\x00\x00
MID_OP2_#044	\x0E\x03\x02\x10\x0EE006_エル\nNil! Stay with me.\x0E\x04\x00\x00
MID_OP2_#045	\x0E\x03\x02\x14\x12E005_Boss\nArgh! I will prove my worth!\x0E\x04\x02\x00
MID_OP2_#046	I will avenge Father, carry out his will, and\nbecome heir to the Fell Dragon legacy!\x0E\x04\x00\x00
MID_OP2_#047	\x0E\x03\x02\x0A\x08リュール\nSo the Somniel of this world has fallen. I guess\nI'm not surprised.\x0E\x04\x00\x00
MID_OP2_#048	\x0E\x03\x02\x14\x12E005_Boss\nDivine One. You came.\x0E\x04\x00\x00
MID_OP2_#049	\x0E\x03\x02\x0A\x08リュール\nI'm only here for Nel. Please, let her go.\x0E\x04\x00\x00
MID_OP2_#050	\x0E\x03\x02\x14\x12E005_Boss\nDispel the ward on the final bracelet, and I will\nconsider it.\x0E\x04\x00\x00
MID_OP2_#051	\x0E\x03\x02\x0A\x08リュール\nThe ward? What are you talking about?\x0E\x04\x00\x00
MID_OP2_#052	\x0E\x03\x02\x14\x12E005_Boss\nThis is the Bracelet of the Three Houses.\x0E\x04\x02\x00
MID_OP2_#053	A ward has been placed upon it, so that none\nmay access its power.\x0E\x04\x02\x00
MID_OP2_#054	The Emblems within cannot be roused, nor can\nthe bracelet be moved from this location.\x0E\x04\x00\x00
MID_OP2_#055	\x0E\x03\x02\x0A\x08リュール\nSo the Somniel fell from the sky, but it didn't\nknock the bracelet loose. Must be frustrating.\x0E\x04\x00\x00
MID_OP2_#056	\x0E\x03\x02\x14\x12E005_Boss\nQuite. The Divine Dragon told me about the\nward just prior to the final battle against Father.\x0E\x04\x02\x00
MID_OP2_#057	It can only be broken by the one who placed it.\nAnd that fool is now dead.\x0E\x04\x02\x00
MID_OP2_#058	Which is why I could not become Father's true\nheir. Not even with all seven bracelets.\x0E\x04\x02\x00
MID_OP2_#059	It was your arrival that rekindled my hope.\nI have long anticipated this moment.\x0E\x04\x00\x00
MID_OP2_#060	\x0E\x03\x02\x0A\x08リュール\nBecause I can remove the ward.\x0E\x04\x00\x00
MID_OP2_#061	\x0E\x03\x02\x14\x12E005_Boss\nYou can. And you will, or I will slay Nel.\x0E\x04\x00\x00
MID_OP2_#062	\x0E\x03\x02\x10\x0EE006_エル\nDo not do this, Divine One.\x0E\x04\x00\x00
MID_OP2_#063	\x0E\x03\x02\x0A\x08リュール\nI have to. For you, Nel.\x0E\x04\x02\x00
MID_OP2_#064	It's done. Satisfied?\x0E\x04\x00\x00
MID_OP2_#065	\x0E\x03\x02\x14\x12E005_Boss\nHaha... Hahaha!\x0E\x04\x02\x00
MID_OP2_#066	The last of the bracelets is finally in my hands!\x0E\x04\x02\x00
MID_OP2_#067	Awaken, Emblems! Grant me my desire!\x0E\x04\x02\x00
MID_OP2_#068	At last, Father... I have finally succeeded!\x0E\x04\x02\x00
MID_OP2_#069	RAAAGH!\x0E\x04\x00\x00
MID_OP2_#070	\x0E\x03\x02\x0A\x08リュール\nI've done what you asked. Now release Nel.\x0E\x04\x00\x00
MID_OP2_#071	\x0E\x03\x00\x18\x12E006_Boss\x022\n\x0E\x03\x02\x14\x12E006_Boss\nWhy would I do that, now that I have what\nI want?\x0E\x04\x00\x00
MID_OP2_#072	\x0E\x03\x02\x0A\x08リュール\nMonster!\x0E\x04\x00\x00
MID_OP2_#073	\x0E\x03\x02\x14\x12E006_Boss\nHahaha! Farewell, wretched sister!\x0E\x04\x00\x00
MID_OP2_#074	\x0E\x03\x02\x0A\x08リュール\nNel!\x0E\x04\x00\x00
MID_OP2_#075	\x0E\x03\x02\x18\x16E006_セレスティア\nThat's quite enough!\x0E\x04\x00\x00
MID_OP2_#076	\x0E\x03\x02\x14\x12E006_Boss\nWhat is this?\x0E\x04\x00\x00
MID_OP2_#077	\x0E\x03\x02\x0A\x08リュール\nZelestia! Gregory! Madeline!\x0E\x04\x00\x00
MID_OP2_#078	\x0E\x03\x02\x18\x16E006_セレスティア\nAre you injured, Lady Nel?!\x0E\x04\x00\x00
MID_OP2_#079	\x0E\x03\x02\x10\x0EE006_エル\nMy Winds! Words cannot express my relief.\x0E\x04\x02\x00
MID_OP2_#080	I am glad to see you well!\x0E\x04\x00\x00
MID_OP2_#081	\x0E\x03\x02\x0A\x08リュール\nWait. Where's Mauvier?\x0E\x04\x00\x00
MID_OP2_#082	\x0E\x03\x02\x18\x16E006_セレスティア\nDivine One, Lady Nel...I'm so sorry. Mauvier...\x0E\x04\x02\x00
MID_OP2_#083	Mauvier is...\x0E\x04\x00\x00
MID_OP2_#084	\x0E\x03\x02\x10\x0EE006_エル\nWhat happened?\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x1C\x16E004_セレスティア\x021\n\x0E\x03\x00\x1A\x14E004_グレゴリー\x022\n\x0E\x03\x00\x16\x10M011_モーヴ\x023\n\x0E\x03\x00\x1A\x14E004_マデリーン\x024\n\x0E\x03\x02\x18\x16E004_セレスティア\nThe pillars have been destroyed. Now the\ntemple will collapse.\x0E\x04\x02\x00
MID_OP3_#002	Goodbye, my dear family...\x0E\x04\x02\x00
MID_OP3_#003	Ah!\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x16\x14E004_グレゴリー\nMauvier?! Did you... Is that a Warp staff?\x0E\x04\x02\x00
MID_OP3_#005	Where's Zelestia? Did you send her outside?\x0E\x04\x00\x00
MID_OP3_#006	\x0E\x03\x02\x12\x10M011_モーヴ\nThis was always my intention.\x0E\x04\x02\x00
MID_OP3_#007	Why should all of us die when only one of us\nneed remain here?\x0E\x04\x00\x00\n
MID_OP3_#008	\x0E\x03\x02\x16\x14E004_グレゴリー\nYou idiot! You can't warp yourself out with that!\nGive it over. If anyone's staying behind, it's me!\x0E\x04\x00\x00
MID_OP3_#009	\x0E\x03\x02\x12\x10M011_モーヴ\nGregory, you are Zelestia's new second-in-\ncommand. Serve her well.\x0E\x04\x00\x00
MID_OP3_#010	\x0E\x03\x02\x16\x14E004_マデリーン\nWhy didn't you tell us, Mauvier?\x0E\x04\x00\x00
MID_OP3_#011	\x0E\x03\x02\x12\x10M011_モーヴ\nMadeline, I wish you the greatest happiness.\nI see now that protecting you was my─\x0E\x04\x00\x00
MID_OP3_#012	\x0E\x03\x02\x16\x14E004_マデリーン\nStop that! Stop saying goodbye! I thought we'd\ngo together, and I would not have to say this.\x0E\x04\x02\x00
MID_OP3_#013	Mauvier, I love─\x0E\x04\x00\x00
MID_OP3_#014	\x0E\x03\x02\x12\x10M011_モーヴ\nThere. It is done.\x0E\x04\x02\x00
MID_OP3_#015	I am sorry I had to deceive you all.\x0E\x04\x02\x00
MID_OP3_#016	You were my family, and I am grateful for\nevery day we spent together.\x0E\x04\x02\x00
MID_OP3_#017	But that time is over. Now you must carry on\nwithout me.\x0E\x04\x02\x00
MID_OP3_#018	Lady Veyle... I will be with you soon.\x0E\x04\x00\x00
MID_OP4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE006_エル\x021\n\x0E\x03\x00\x18\x12E006_Boss\x022\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x00\x1C\x16E006_セレスティア\x024\n\x0E\x03\x02\x10\x0EE006_エル\nNo... Mauvier...\x0E\x04\x00\x00
MID_OP4_#002	\x0E\x03\x02\x0A\x08リュール\nI can't believe it.\x0E\x04\x00\x00
MID_OP4_#003	\x0E\x03\x02\x18\x16E006_セレスティア\nA selfless, heroic sacrifice. He was a true\nknight until the end.\x0E\x04\x00\x00
MID_OP4_#004	\x0E\x03\x02\x14\x12E006_Boss\nTo think I stilled only one of you awful Winds.\nHow are you alive?!\x0E\x04\x02\x00
MID_OP4_#005	No matter. You are all detestable in the eyes of\nLord Sombron. And you will perish here!\x0E\x04\x00\x00
MID_OP4_#006	\x0E\x03\x02\x0A\x08リュール\nNo, Nil! We won't let you follow in\nSombron's footsteps!\x0E\x04\x02\x00
MID_OP4_#007	We'll stop you from becoming his heir, whatever\nit takes! Winds! Nel!\x0E\x04\x00\x00
MID_OP4_#008	\x0E\x03\x02\x18\x16E006_セレスティア\nYes... You may have killed one of us, but we are\nstill a mighty tempest!\x0E\x04\x00\x00
MID_OP4_#009	\x0E\x03\x00\x1A\x14E006_グレゴリー\x023\x0E\x03\x02\x16\x14E006_グレゴリー\nI won't back down. Mauvier would tell me to be\nbrave as the new second-in-command.\x0E\x04\x00\x00
MID_OP4_#010	\x0E\x03\x00\x1A\x14E006_マデリーン\x024\x0E\x03\x02\x16\x14E006_マデリーン\nWhen my liege walks down the wrong path,\nit's my duty to stop them. I'll do what I must.\x0E\x04\x00\x00
MID_OP4_#011	\x0E\x03\x02\x10\x0EE006_エル\nI cannot bear to lose any of you. Not one\nmore person.\x0E\x04\x02\x00
MID_OP4_#012	Let this be our final battle.\x0E\x04\x02\x00
MID_OP4_#013	Brother...\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\n青リュール\x02b\n\x0E\x06\x00&\n青リュール\x18MPID_Unknown\n\x0E\x03\x04\x0C\n青リュール\n\x0E\x05\x01\x18\n青リュール\nAngry\n\x0E\x03\x02\x0C\n青リュール\nPlease, you have to stop him. You can have all\nthat remains of my power.\x0E\x04\x00\x00
MID_EV1_#002	\x0E\x03\x01\x0C\n青リュール\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nThis is...so much.\x0E\x04\x02\x00
MID_EV1_#003	\x0E\x05\x01\x16\x08リュール\nAngry\nThank you. I will not fail!\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE006_エル\x02t\n\x0E\x05\x01\x1C\x0EE006_エル\nAngry\n\x0E\x03\x02\x10\x0EE006_エル\nThis terrain is unstable. We should hurry toward\nthat island to the northwest.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE006_エル\x02t\n\x0E\x05\x01\x1C\x0EE006_エル\nAngry\n\x0E\x03\x02\x10\x0EE006_エル\nEnemy reinforcements will be coming from that\nvortex. Let us disrupt it, and all others like it.\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE006_エル\x02t\n\x0E\x05\x01"\x0EE006_エル\x10Surprise\n\x0E\x03\x02\x10\x0EE006_エル\nThat was unsettling. Had I been standing there,\nI would have certainly perished.\x0E\x04\x02\x00
MID_EV4_#002	\x0E\x05\x01\x1A\x0EE006_エル\x08Pain\nNil seems to be drawing power from those he\nkills in this way.\x0E\x04\x02\x00
MID_EV4_#003	\x0E\x05\x01\x1C\x0EE006_エル\nAngry\nIt may be worth the risk to reduce the number\nof foes on an island before it falls.\x0E\x04\x00\x00
MID_EV5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE006_エル\x02t\n\x0E\x05\x01"\x0EE006_エル\x10Surprise\n\x0E\x03\x02\x10\x0EE006_エル\nSomething was left behind over there. It seems\nharmless, but perhaps we should investigate.\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x06\x00.\x12E005_Boss\x18MPID_Il_E006\n\x0E\x05\x01 \x12E005_Boss\nSmile\n\x0E\x03\x02\x14\x12E005_Boss\nDo you miss your old world? Pity. There is no\ngoing back. Not after you dared to defy me!\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x06\x00.\x12E005_Boss\x18MPID_Il_E006\n\x0E\x05\x01\x1E\x12E005_Boss\x08Pain\n\x0E\x03\x02\x14\x12E005_Boss\nI am defeated? This cannot be. Father... Father!\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide1\x02b\n\x0E\x05\x01"\x14E006_Hide1\nSmile\n\x0E\x03\x02\x16\x14E006_Hide1\nI'm so happy... Everyone's here, just like the old\ntimes. The truth is, I'd always hoped...\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide1\x02b\n\x0E\x05\x01"\x14E006_Hide1\nSmile\n\x0E\x03\x02\x16\x14E006_Hide1\nNow I can finally be with everyone again...in\nthat beautiful flower field... Divine Dragon, I'm...\x0E\x04\x00\x00
MID_BT5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide2\x02b\n\x0E\x05\x01"\x14E006_Hide2\nSmile\n\x0E\x03\x02\x16\x14E006_Hide2\nFinally! No more responsibilities or pressure or\nanything! All I need to do is cut these weeds.\x0E\x04\x00\x00
MID_BT6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide2\x02b\n\x0E\x05\x01\x1E\x14E006_Hide2\x06Shy\n\x0E\x03\x02\x16\x14E006_Hide2\nI die with pride and dignity as the last of the\nFirene royal family. Mother...know I was happy...\x0E\x04\x00\x00
MID_BT7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide3\x02b\n\x0E\x05\x01\x1E\x14E006_Hide3\x06Sad\n\x0E\x03\x02\x16\x14E006_Hide3\nIt appears that there is no hope for peace like\nbefore. Who will be left to inherit this throne?\x0E\x04\x00\x00
MID_BT8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide3\x02b\n\x0E\x05\x01\x1E\x14E006_Hide3\x06Sad\n\x0E\x03\x02\x16\x14E006_Hide3\nThank you. I no longer have to fight. Brodia,\nI'm sorry I was a weak king...\x0E\x04\x00\x00
MID_BT9_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide4\x02b\n\x0E\x05\x01 \x14E006_Hide4\x08Pain\n\x0E\x03\x02\x16\x14E006_Hide4\nAm I dead? Me, the brilliant future king? That's\nnot possible. And yet, how are you here?\x0E\x04\x00\x00
MID_BT10_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide4\x02b\n\x0E\x05\x01\x1E\x14E006_Hide4\x06Sad\n\x0E\x03\x02\x16\x14E006_Hide4\nI cannot disgrace myself any further now. I'm\nsorry I wasn't a good brother to you, Diamant...\x0E\x04\x00\x00
MID_BT11_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide5\x02b\n\x0E\x05\x01 \x14E006_Hide5\x08Pain\n\x0E\x03\x02\x16\x14E006_Hide5\nI should be overjoyed to see a child of the Fell\nDragon awakened. Why do I feel so empty?\x0E\x04\x00\x00
MID_BT12_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide5\x02b\n\x0E\x05\x01\x1E\x14E006_Hide5\x06Sad\n\x0E\x03\x02\x16\x14E006_Hide5\nEven if it's too late for me to repent... I wish\nI could apologize...to Hortensia...\x0E\x04\x00\x00
MID_BT13_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide6\x02b\n\x0E\x05\x01$\x14E006_Hide6\x0CNormal\n\x0E\x03\x02\x16\x14E006_Hide6\nEveryone's gone. Even the Divine Dragon.\nAnd no one's coming back...\x0E\x04\x00\x00
MID_BT14_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide6\x02b\n\x0E\x05\x01"\x14E006_Hide6\nSmile\n\x0E\x03\x02\x16\x14E006_Hide6\nIt's over... Maybe now we can all be together\nagain. Maybe Ivy will finally be glad to see me...\x0E\x04\x00\x00
MID_BT24_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide1\x02b\n\x0E\x05\x01(\x14E005_Hide1\x10Surprise\n\x0E\x03\x02\x16\x14E005_Hide1\nDivine One... Did they bring you back to life,\njust like me?\x0E\x04\x00\x00
MID_BT24_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nNot exactly. Wait, does that mean you know\nyou're one of the Corrupted?\x0E\x04\x00\x00
MID_BT24_#003	\x0E\x05\x01$\x14E005_Hide1\x0CNormal\n\x0E\x03\x02\x16\x14E005_Hide1\nI was supposed to have died in Elusia. But as\nyou can see, I'm still here.\x0E\x04\x02\x00
MID_BT24_#004	If you've been brought back, too, then maybe\nI can see all the people I care about again.\x0E\x04\x02\x00
MID_BT24_#005	\x0E\x05\x01$\x14E005_Hide1\x0CStatus\nYou're on my side, right, Divine One? You have\nto be. So why are you standing in my way?\x0E\x04\x00\x00
MID_BT15_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide7\x02b\n\x0E\x05\x01\x1E\x14E006_Hide7\x06Sad\n\x0E\x03\x02\x16\x14E006_Hide7\nI'm not doing this out of malice. It's just that I\nhave a duty to fulfill as the last queen of Solm.\x0E\x04\x00\x00
MID_BT16_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide7\x02b\n\x0E\x05\x01\x1E\x14E006_Hide7\x06Shy\n\x0E\x03\x02\x16\x14E006_Hide7\nI feel it. I feel the desert sun on my face.\nFinally, Mom... I'm coming home.\x0E\x04\x00\x00
MID_BT17_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide8\x02b\n\x0E\x05\x01\x1E\x14E006_Hide8\x06Shy\n\x0E\x03\x02\x16\x14E006_Hide8\nI'm not scared. I've died twice now... What's\none more time?\x0E\x04\x00\x00
MID_BT18_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide8\x02b\n\x0E\x05\x01$\x14E006_Hide8\x0CStatus\n\x0E\x03\x02\x16\x14E006_Hide8\nUgh! I've got a feeling...this one'll stick...\x0E\x04\x00\x00
MID_BT25_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide2\x02b\n\x0E\x05\x01"\x14E005_Hide2\nSmile\n\x0E\x03\x02\x16\x14E005_Hide2\nDivine One, it's been a while! Last I saw you\nwas our little tiff at Lythos Castle.\x0E\x04\x02\x00
MID_BT25_#002	\x0E\x05\x01"\x14E005_Hide2\nRelax\nThe hooded figure? That was me. Though I was\npretty swirly, since Nil had just Corrupted me.\x0E\x04\x00\x00
MID_BT25_#003	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nYou know what Nil did to you, and you still\nwant to fight for him? Why?\x0E\x04\x00\x00
MID_BT25_#004	\x0E\x03\x02\x16\x14E005_Hide2\nIt's a golden opportunity! How else am I gonna\ndo all the things I missed out on in life?\x0E\x04\x02\x00
MID_BT25_#005	\x0E\x05\x01"\x14E005_Hide2\nSmile\nAnd being Corrupted's not all bad. Your desires\ntake center stage, with nothing in the way.\x0E\x04\x02\x00
MID_BT25_#006	\x0E\x05\x01\x1E\x14E005_Hide2\x06Shy\nNo empathy, no shame... I can kill you without\na scrap of remorse!\x0E\x04\x00\x00
MID_BT19_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE006_エル\x02t\n\x0E\x05\x01\x18\x0EE006_エル\x06Sad\n\x0E\x03\x02\x10\x0EE006_エル\nYour form reminds me of Sombron.\x0E\x04\x02\x00
MID_BT19_#002	I suppose this must be how it felt for you,\nwatching me transform.\x0E\x04\x00\x00
MID_BT19_#003	\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x06\x00.\x12E005_Boss\x18MPID_Il_E006\n\x0E\x05\x01 \x12E005_Boss\nAngry\n\x0E\x03\x02\x14\x12E005_Boss\nSpare me your pity and presumptions. You were\nborn with everything. We are not the same.\x0E\x04\x02\x00
MID_BT19_#004	You will never understand me. Not even if you\nhave thousands of years to contemplate.\x0E\x04\x00\x00
MID_BT19_#005	\x0E\x03\x02\x10\x0EE006_エル\nOur time together as twins was a far shorter\ninterval than that.\x0E\x04\x02\x00
MID_BT19_#006	\x0E\x05\x01 \x0EE006_エル\x0ESerious\nAnd yet it was more than enough time for me to\nlearn how much I care about you.\x0E\x04\x02\x00
MID_BT19_#007	\x0E\x05\x01\x1A\x0EE006_エル\x08Pain\nDo not do this, Nil. Do not return things to the\nway they were with Sombron.\x0E\x04\x02\x00
MID_BT19_#008	Please. I cannot bear the thought of losing you.\x0E\x04\x00\x00
MID_BT20_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x06\x00.\x12E005_Boss\x18MPID_Il_E006\n\x0E\x05\x01 \x12E005_Boss\nSmile\n\x0E\x03\x02\x14\x12E005_Boss\nMy wish has finally come true. I suppose\nI should thank you, Divine One.\x0E\x04\x02\x00
MID_BT20_#002	\x0E\x05\x01 \x12E005_Boss\nAngry\nThis world will fall, and it is all because of you!\x0E\x04\x00\x00
MID_BT20_#003	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1A\x08リュール\x0ESerious\n\x0E\x03\x02\x0A\x08リュール\nYou're right. All of this happened because\nI came here.\x0E\x04\x02\x00
MID_BT20_#004	\x0E\x05\x01 \x12E005_Boss\nSmile\n\x0E\x05\x01\x12\x08リュール\x06Sad\nAnd by removing the ward on the final bracelet,\nI may have doomed this place for good.\x0E\x04\x02\x00
MID_BT20_#005	\x0E\x05\x01\x16\x08リュール\nAngry\nBut I was summoned here to save you. As long\nas there's hope for that, I won't give up.\x0E\x04\x00\x00
MID_BT20_#006	\x0E\x05\x01 \x12E005_Boss\nAngry\n\x0E\x03\x02\x14\x12E005_Boss\nI require no saving. It is enough for me to watch\nyou die, knowing you destroyed this world!\x0E\x04\x00\x00
MID_BT20_#007	\x0E\x05\x01\x1A\x08リュール\x0ESerious\n\x0E\x03\x02\x0A\x08リュール\nI'm not here for the world. I'm here for the\npeople in it.\x0E\x04\x02\x00
