MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nAs a fellow dragon, I'm happy to put my power\ntoward helping you end this war.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nI'm a Mage Dragon, Corrin. As a fellow dragon,\nI imagine you and I will have a lot to talk about.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06カムイ\nMage Dragon? That type of dragon wasn't in\nmy world. I'd love to talk with you too, Zelestia!\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nThe Four Winds formed to protect Lady Nel and\nLord Rafal. Count on us to protect you as well.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x08\x06カムイ\nIt's reassuring to know you're all here for me.\nI'll show you that I can protect you too, Zelestia.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nI'm glad we made it back safe today. I never\nwant to suffer the pain of losing an ally again.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x08\x06カムイ\nYes, I've lost important allies too. Even one who\nentrusted me to continue where they left off.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06カムイ\nAs the survivors, let's carry on their wishes so\nwe may bring the peace they should have seen.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nYes. Let's stay together until that day comes,\nand continue to come back safe every time.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nCorrin, I've never met someone as determined\nas they are kind. I feel like I can depend on you.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x08\x06カムイ\nI am glad to hear you feel that way. I will do my\nbest to keep you safe and sound.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nI once hated fighting, until I learned that we\noften must fight to protect those we love.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nI know that feeling. But I think it's important to\nrun away at times─to plan your next move.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nI'm envious of your clothes. They look like they\ncould protect you from any attack.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x08\x06カムイ\nThey do well against swords, but they aren't\nstrong against other kinds of attack.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nHmm...in that case, I suppose I just need to get\nit together so you don't get hurt in battle.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x08\x06カムイ\nYou're so thoughtful, Gregory. I'll do my best to\nensure that no one wounds your kind heart.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0C\nマデリーン\nI hear you forgave and came to trust your foes.\nAs a knight, I respect your benevolence.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x08\x06カムイ\nMy fear used to make me hate fighting. I think\nI've become stronger now, thanks to all of you.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nYou have a strong spirit, Madeline. You walk\nyour chosen path as a knight without faltering.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nマデリーン\nThere's no need for praise. I'm simply working\nto become a noble knight like my parents.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nI feared fighting and seeing people hurt. You're\nyounger than I was back then. I'm impressed.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nI didn't get here on my own. I'm who I am\nbecause of the support of my parents and allies.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x08\x06カムイ\nEven if you're petrified, friends can help you\nmove forward. Let's move forward together.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nYes. I don't plan to rely on others all the time,\nbut it is reassuring to have you at my side.\x0E\x04\x00\x00
