MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ジェーデ\nLately, no matter what I write...it all feels flat\nto me. I'm bored by my own ideas.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nAh. So you're in a bit of a slump?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ジェーデ\nYes. I need to rest my pen for a while. I'm sorry\nif this news disappoints you, Prince Diamant.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nNo need to apologize. I'm an eager, yet patient,\nreader. Take as long as you need.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08ジェーデ\nThank you very much. If I start writing again,\nI'll let you know.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nIf anything, I'm glad to hear you'll be giving\nyourself a break. In the meantime...\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nWhy don't I write the next book?\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0A\x08ジェーデ\nHuh?\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0E\x0Cディアマンド\nDon't worry. I won't step on your work. It'll be\nmore like a...side story. I'd enjoy the challenge.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0A\x08ジェーデ\nUh... You're serious about this?\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x0E\x0Cディアマンド\nI'm always serious. I'll let you know when it's\ndone. You just relax until then.\x0E\x04\x00\x00
MID_RELIANCE_B_#029	\x0E\x03\x02\x0A\x08ジェーデ\nYes. Understood...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nJade! I finished my first draft. Care to give it\na read?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nIt's titled, "The EXTRA Adventures of Amber,\nthe Deliberate Dummy."\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nYou... You actually wrote it...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ジェーデ\nYes. Of course, Prince Diamant. I would...love\nto read it.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ジェーデ\nHm, this is pretty funny. However...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nBe honest. Don't hold back.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ジェーデ\nThese pages might benefit from a few more\ngags. If you revised this scene just a bit...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nHmm. What would you change?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ジェーデ\nIf I were writing it...I'd have all of the alpaca's\nwool explode off of its body.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nHaha.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ジェーデ\nAnd then, just as Amber composes himself, its\nwool grows back in a flash─silky and smooth.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ジェーデ\nAmber tries to mount his alpaca, but its wool is\nso smooth that he slips─no, shoots right off.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ジェーデ\nAs Amber soars through the air and over the\nhorizon...his alpaca wistfully spits at the ground.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nHahaha!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nThat's perfect! Your version flows much better.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ジェーデ\nThank you. But the larger framework of your\nstory is quite good, Prince Diamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ジェーデ\nI'd love to give you further notes once you\nhave your second draft ready.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nNo, I'm done.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ジェーデ\nHuh?! Why did you crumple your draft?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nIt served its purpose. Sounds like your new\nbook is well on its way.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ジェーデ\nMy new book?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nSure. Your silky-smooth wool idea was superb.\nI trust you'll pick things up from there.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ジェーデ\nWait. Did you...\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ジェーデ\nWere you just trying to lift me out of my slump?\nBy kicking off a first draft for me?\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cディアマンド\nAre you suggesting that I wrote a weak draft\non purpose? I'm not that clever.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cディアマンド\nI gave it my best effort. My jokes just couldn't\nstand against those of a true artist.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08ジェーデ\nPrince Diamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08ジェーデ\nYou may deny that was your plan, but...\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0A\x08ジェーデ\nThank you.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0E\x0Cディアマンド\nAll right. Almost time to get back to work.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0E\x0Cディアマンド\nDon't worry about tonight's watch, Jade. I can\nhandle it myself.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0A\x08ジェーデ\nBut...\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0E\x0Cディアマンド\nYou've been fighting extra hard lately. I'm sure\nthat contributed to your slump. Get some rest.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0E\x0Cディアマンド\nAnd whenever that book is ready, let me know.\nNothing relaxes me like laughing at your writing.\x0E\x04\x00\x00
MID_RELIANCE_A_#037	\x0E\x03\x02\x0A\x08ジェーデ\nUnderstood. Thank you very much.\x0E\x04\x00\x00
MID_RELIANCE_A_#038	\x0E\x03\x02\x0A\x08ジェーデ\nAs long as I'm your retainer, Prince Diamant...\x0E\x04\x00\x00
MID_RELIANCE_A_#039	\x0E\x03\x02\x0A\x08ジェーデ\nI vow to protect every bone in your body.\nEspecially the funny one.\x0E\x04\x00\x00
