MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x06\x04エル\nYour performance was impressive in the last\nbattle, Ike. I would say you are quite strong.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nI will admit your aid was helpful. Perhaps, of the\ntwo of us, we can say you are second strongest.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nIt seems you've been training in secret lately.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nTraining? Why on earth would I need to train?\nI have merely been exercising to kill time.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x08\x06アイク\nNot the most forthcoming, are you? You remind\nme of this archer I used to know.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nIf you have ample time to wag your chin, then\nyou can afford to kill some of it with me.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nYou're Ike, right? You're the Emblem everyone\ncalls a hero. I've heard a lot about you.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06アイク\nI'm no hero. I'm just a simple mercenary.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nZelestia, are you eating well? You'll need that\nenergy when push comes to shove.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nAh, I've lived so long, I forget these things! What\nshould I have? How do you feel about meat?\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nI heard you led a group of mercenaries. You\nmust have had some rough times as the leader.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x08\x06アイク\nI'd be lying if I said I didn't, though some of my\nfriends struggled more than I did.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06アイク\nI've just been following the path I believe in.\nThey're the reason I've been able to do that.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nYou truly care for your friends, don't you? If\nwe're together, Ike, I feel like I can keep fighting.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0C\nグレゴリー\nHey, guy in the headband! That battle was\npretty awesome.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x08\x06アイク\nHeadband? Oh, this. You can call me Ike.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0C\nグレゴリー\nThanks for saving me earlier. If you hadn't been\nthere, I would've been in trouble.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x08\x06アイク\nDon't mention it. Though I would have thought\nyou'd be fine on your own.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0C\nグレゴリー\nI...really hate fighting. I've had enough pain and\nfear to last me a lifetime.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x08\x06アイク\nBut you still take to the battlefield. That alone\nshows great courage and determination.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nNot really. I only fight because I have to. After\nall, I'm just a coward with nothing else to offer.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x08\x06アイク\nThat's not true at all. You're a worthy ally, and\nI'll be depending on you to the end.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nThe way you handled yourself in battle tells me\nyou're well-trained.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nI never miss a day of training. My parents were\nexcellent knights. I want to make them proud.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x0C\nマデリーン\nYou possess incredible strength. What training\nregimen did you use to get so powerful?\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x08\x06アイク\nThe same as you. I trained single-mindedly,\nalways hoping to catch up to my father.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06アイク\x022\n\x0E\x03\x02\x08\x06アイク\nYou've been fighting recklessly. Did something\nhappen? You can talk to me, if you want.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nI guess I got carried away rushing to become\nan exceptional knight as fast as I can.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x08\x06アイク\nDon't try to overreach. What's important is\ndoing what you can to the best of your ability.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nWhat you say is true. If it's all right with you...\nplease be my instructor from now on!\x0E\x04\x00\x00
