MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x00\x0C\x06フラン\x021
MID_RELIANCE_B_#025	\x0E\x03\x01\x0C\nミスティラ\n\x0E\x03\x02\x08\x06フラン\nHuh... That was sudden.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x08\x06フラン\nSomething seemed kinda off, there.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x08\x06フラン\nMaybe she didn't like the dress I picked out...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x02\x08\x06フラン\nI just don't get it.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06フラン\nWhy did she leave all of a sudden?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nHup! Ahh...\nHup! Ahh...
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06フラン\nPrincess Timerra?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nミスティラ\nHuff... Huff... I need to get stronger.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06フラン\nLooks like you're training.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nミスティラ\nYep! Gotta be strong to protect my country!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nミスティラ\nOh. Uh...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nミスティラ\nI'm really sorry I split the other day.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06フラン\nNo, no, it's fine! I know you must be pretty busy\nwith all your important princess duties.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nミスティラ\nI got so wrapped up picking clothes for you\nI completely forgot it was time to train.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06フラン\nWas that all?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06フラン\nI thought, maybe... I dunno. That you didn't like\nthe outfit I gave you.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nミスティラ\nNo, no! It was stylish as all get-out!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06フラン\nBut then...why'd you act like there was\nsomething wrong with it?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nミスティラ\nUh, OK. Don't take this the wrong way...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nミスティラ\nThe Queendom of Solm? It's a hot place.\nI wouldn't last 15 minutes in that heavy fabric.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nミスティラ\nPlus, I need nice, movable clothes so I can be\nready to fight at a moment's notice.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06フラン\nOoh! So that's what it was about.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nミスティラ\nThat dress was really cute though─honest!\nI'm sorry for being so, you know, wishy-washy.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06フラン\nNo, it's OK! I just feel silly for not thinking of\nthat on my own.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06フラン\nCan I maybe...pick another outfit for you?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06フラン\nExcept this time, something better suited for\nthat toasty Solm weather.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nミスティラ\nAw, what a great idea! Of course!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nミスティラ\nAnother shopping trip with my friend Framme─\nI can't wait!\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nミスティラ\nFirst I gotta prepare for this next battle though. \nCan't try on clothes if I'm dead.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06フラン\nOf course. I'll leave you to it.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nミスティラ\nActually, I was gonna ask if you wanted to join.\nWhat do you say?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06フラン\nTraining my heart out with Princess Timerra?\nI'd love nothing more!\x0E\x04\x00\x00
