MID_WU_C_1_IN_#001	Morning!\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	Technically it wasn't a lie. Where I'm from,\nthere's a festival every day, so...\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	Aw... I hope everyone's doing OK.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	Morning, Divine One.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	What? No, I'm feeling fine! Promise!\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	Good salesmanship demands a\ncheerful disposition.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	Thanks for asking, though.\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	The Divine Dragon's got lots of potential...\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	Hi!\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	I've been thinking. I'm gonna need more\nproduct ideas...\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	and we make a good team.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#004	Wanna help me out some more?\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	Back home in Wintertide Village...\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	there's a festival every day. Constant need for\nnew products!\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	Your talent for ideas would make us both\na fortune!\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	Hey, Divine One! Wanna move to Elusia?\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	I've got a great plan...\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	that'll have us swimming in gold.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	No? Aw, why not?\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	I've got a surprise for you, Divine One!\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	It's a potion that'll make your voice sound silly\nand squeaky!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	Hi!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	Here you go, Divine One. Drink up!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	Come on, don't you trust me?\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	I promise it'll wear off eventually.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	You're not gonna sleep through this. Behold,\nthe power of squeak!\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	I am Lady Anna, queen of the squeaks!\nI demand your fealty!\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	Hehehe, this is amazing! I hope it's permanent!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	Aw, it wore off.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	Did you really sleep through the whole thing?\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	Guess I'll have to find another potion.\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	The Sweethearts Day necklaces are looking\ngreat so far!\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	Since they were your idea...\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	I thought you should know.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	I'm still working out the details of my\ncrafting technique...\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	but it's getting better every day!\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	We've done a wonderful thing.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	Thanks to us...\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	lots of folks are going to have an amazing\nSweethearts Day.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#004	I couldn't have done it without you.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	Thanks again...\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	for the necklace idea.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	Still not changing the name, though, sorry.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	It has to be the "Divine Dragon Pendant"!\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	Get up!\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	Three gold if you wake up right now! Now,\nnow, now!\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	Hehe, I knew that'd get you.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	My business partner understands the value of a\ngold piece!\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	That's why we work so well together.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	Still asleep, huh? That's OK.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	I'll hang around for a bit.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	I still can't believe you gave me the Pact Ring.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	What a rare and valuable gift.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	That's what I like about you, though.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	You're not afraid to prove how committed you\nare to doing good business.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	That's why you're a great partner. And a great\nfriend too.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	Good morning.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	Are you ready to make some money?\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	As long as we're working together...\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	the gold is gonna roll right in. You'll see!\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	Sweethearts Day is over!\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	Quick, Divine One! We need a new\nmerchandising idea!\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	Oh, you're already up! Good.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	That's the energy we need.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	Now let's get to thinking.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	I know we'll come up with something incredibly\nlucrative once we put our heads together.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	Sweethearts Day was great for us, but we can't\nget complacent.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	If we wanna profit long term...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	we need to find ways to re-create that success.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	Our stuff flying off the shelves!\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	Customers scrambling to buy!\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	That's what we need. That's the path to riches.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	Good morning! Oh, you were dreaming of all\nthe fabulous wealth we're gonna rake in?\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	With me as your business partner...\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	it's only a matter of time.\x0E\x04\x00\x00
