MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0A\x08リュール\nThere you are, Rafal. I've been looking for you.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0A\x08リュール\nThanks for giving me a hand with the supplies.\nI couldn't have done all that without you.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0C\nラファール\nI had some spare time. Think nothing of it.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nIt wasn't nothing, though. You did almost all the\nheavy lifting.\x0E\x04\x02\x00
MID_RELIANCE_S_#004	I should make it up to you. Oh, I know─how\nabout I brew you a nice cup of tea later?\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0C\nラファール\nYour gentle demeanor perplexes me. How can\nyou be so caring in the middle of a bitter war?\x0E\x04\x02\x00
MID_RELIANCE_S_#006	I was shocked to learn that you are a Fell\nDragon in this world.\x0E\x04\x02\x00
MID_RELIANCE_S_#007	If you had been born one of my siblings, your\ndisposition would have led you to a quick death.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nHm-hm! Tell me how you really feel.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0C\nラファール\nThese are not my feelings. These are facts.\x0E\x04\x02\x00
MID_RELIANCE_S_#010	You are helpful to a fault, heedless of your own\nburdens, and recklessly curious. In short, a fool.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nYou seem to kind of enjoy spending your time\naround fools lately.\x0E\x04\x02\x00
MID_RELIANCE_S_#012	You journeyed from another world to risk your\nlife for a fool─who's very grateful, incidentally.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0C\nラファール\nSay what you like.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nI will, because even if you'd never admit it,\nI know that you listen and you care.\x0E\x04\x02\x00
MID_RELIANCE_S_#015	I see that clearly now.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0C\nラファール\nHeh...\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nBut you said actions express gratitude better\nthan words, Rafal, and you were right.\x0E\x04\x02\x00
MID_RELIANCE_S_#018	I've been thinking about it for a while now,\nand I've decided I want you to have this.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0C\nラファール\nIs that what I think it is?\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nIt's the Pact Ring─a symbol of a deep and\nspecial bond. A partnership.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0C\nラファール\nI may possess superficial charm, but giving this\nto me would be foolish even by your standard.\x0E\x04\x02\x00
MID_RELIANCE_S_#022	Moreover, it would be wrong. I have done\nnothing to earn such an honor.\x0E\x04\x02\x00
MID_RELIANCE_S_#023	Any partner of yours should be more...pure.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nI'm a Fell Dragon just like you, remember?\nYou said so yourself.\x0E\x04\x02\x00
MID_RELIANCE_S_#025	I fought on Sombron's side once too. I'm every\nbit as "impure" as you are.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0C\nラファール\nEven so...\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nYou're the one I want to give this to, Rafal.\nYou and nobody else.\x0E\x04\x02\x00
MID_RELIANCE_S_#028	You're already an indispensable part of my life.\nI'm only asking you to continue to be that.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0C\nラファール\n...\x0E\x04\x02\x00
MID_RELIANCE_S_#030	When you put it that way, it seems I have little\nchoice. Who else will keep an eye on you?\x0E\x04\x02\x00
MID_RELIANCE_S_#031	Very well, you have my word. I will remain by\nyour side, fighting for your cause, until the end.\x0E\x04\x02\x00
MID_RELIANCE_S_#032	Even if the rest of the world should turn against\nyou, I will be here. I swear it.\x0E\x04\x00\x00
MID_RELIANCE_S_#033	\x0E\x03\x02\x0A\x08リュール\nThank you. That means a great deal to me.\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x0C\nラファール\nI will only say this once, so mark me well.\x0E\x04\x02\x00
MID_RELIANCE_S_#035	You said that you wanted me to be happy.\x0E\x04\x02\x00
MID_RELIANCE_S_#036	When I first came here, I was content merely to\nembark upon a new life as a new person.\x0E\x04\x02\x00
MID_RELIANCE_S_#037	But the more time I spend with you, the more I...\nmiss you when you are absent.\x0E\x04\x02\x00
MID_RELIANCE_S_#038	So, in return for my oath, I would like you to\nswear something to me, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#039	\x0E\x03\x02\x0C\nラファール\nSwear that you will never leave my side─that\nwe will explore what the future holds together.\x0E\x04\x00\x00
