MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x0C\nシトリニカ\nMerrin! I've been meaning to tell you─fighting\nalongside you is a thrill. You're quite...cool!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nシトリニカ\nThere's a chance we might discover a new\nspecies in there! We should bring a scholar.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06メリン\nWait, slow down. Wouldn't that be expensive?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nシトリニカ\nOh, it wouldn't be any trouble─or cost! One of\nmy relatives owns the forest. They protect it.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06メリン\nCitrinne, are you related to the royal family?\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nシトリニカ\nI am! So please, don't worry. That forest will be\na perfect, private spot to frolic among fauna.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nシトリニカ\nI want you to fully embrace that adorable,\nanimal-loving side of yourself once again.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06メリン\nI don't know what to say. It...means the world\nto me.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06メリン\nHonestly, I can't wait! And I will find a way\nto repay you.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nシトリニカ\nAll I ask is that you help me spot animals during\nour trip. You can be my personal wildlife expert!\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06メリン\nHaha, personal wildlife expert. I like that title.\nAnd I can't think of anything I'd like to do more.\x0E\x04\x00\x00
