MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04グリ\x021\n\x0E\x03\x02\x06\x04グリ\nIn the deepest darkness of solitude, would you\ndesire to make the light your own?\x0E\x04\x02\x00
MID_OP3_#010	\x0E\x03\x02\x10\x0EE003_イル\nNonsense. The Four Winds have saved our lives\ntime and time again.\x0E\x04\x02\x00
MID_OP3_#011	My sister and I are very proud of you.\x0E\x04\x00\x00
MID_OP3_#012	\x0E\x03\x02\x18\x16E003_セレスティア\nKind words, Lord Nil. I thank you.\x0E\x04\x00\x00
MID_OP3_#013	\x0E\x03\x02\x10\x0EE003_エル\nThe foe has abandoned chase. Gregory, give us\nyour report.\x0E\x04\x00\x00
MID_OP3_#014	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nSomething's happening in Brodia. They've\nstarted sending soldiers out of the country.\x0E\x04\x00\x00
MID_OP3_#015	\x0E\x03\x02\x10\x0EE003_エル\nI would not have expected them to be plotting\nan invasion. Where?\x0E\x04\x00\x00
MID_OP3_#016	\x0E\x03\x02\x16\x14E003_グレゴリー\nThat I don't know. Wherever it is, they've done\na good job keeping it secret.\x0E\x04\x02\x00
MID_OP3_#017	But judging by the intel I got, I think they want\nto take the seven bracelets.\x0E\x04\x00\x00
MID_OP3_#018	\x0E\x03\x02\x0A\x08リュール\nInteresting. Maybe Brodia's doing what we are─\nkeeping them away from our unknown enemy.\x0E\x04\x00\x00
MID_OP3_#019	\x0E\x03\x02\x16\x14E003_グレゴリー\nI don't think that's their goal. It seems like they\nwant the bracelets' power for themselves.\x0E\x04\x00\x00
MID_OP3_#020	\x0E\x03\x02\x0A\x08リュール\nWhat would a peaceful nation want with\nmore power?\x0E\x04\x00\x00
MID_OP3_#021	\x0E\x03\x02\x10\x0EE003_イル\nThe boon granted by the Emblem Bracelets\nwhen they are gathered varies by circumstance.\x0E\x04\x02\x00
MID_OP3_#022	With all seven gathered in an awakened state,\nthe result, as you know, is enormous power.\x0E\x04\x02\x00
MID_OP3_#023	But gather all seven when they are asleep...\x0E\x04\x00\x00
MID_OP3_#024	\x0E\x03\x02\x10\x0EE003_エル\nAnd the bracelets can render you immune to\nall harm.\x0E\x04\x00\x00
MID_OP3_#025	\x0E\x03\x02\x0A\x08リュール\nImmune? They make you invincible?\x0E\x04\x00\x00
MID_OP3_#026	\x0E\x03\x02\x16\x14E003_グレゴリー\nThat's right. It's the ultimate defense.\x0E\x04\x02\x00
MID_OP3_#027	For a country that hates war, I can't think of\nanything more valuable.\x0E\x04\x00\x00
MID_OP3_#028	\x0E\x03\x02\x10\x0EE003_イル\nIf that is so, then they would need the Emblems\nto be asleep. They would require Nel.\x0E\x04\x02\x00
MID_OP3_#029	Perhaps the "assassins" sent to Lythos Castle\nwere actually kidnappers from Brodia?\x0E\x04\x00\x00
MID_OP3_#030	\x0E\x03\x02\x10\x0EE003_エル\nThat is possible.\x0E\x04\x00\x00
MID_OP3_#031	\x0E\x03\x02\x16\x14E003_グレゴリー\nWell, we don't know any of that for sure. But\nthere's one thing we do know...\x0E\x04\x02\x00
MID_OP3_#032	Brodia's going to raise an army, and soon.\x0E\x04\x00\x00
MID_OP3_#033	\x0E\x03\x00\x0A\x04不明\x024\n\x0E\x03\x02\x06\x04不明\nYou figured it all out! Well done. Though, I'm\nafraid this means we can't let you leave.\x0E\x04\x00\x00
MID_OP3_#034	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP3_#035	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nImpossible! I didn't sense anyone approaching.\x0E\x04\x00\x00
MID_OP3_#036	\x0E\x03\x02\x10\x0EE003_イル\nIt seems these are no average soldiers.\x0E\x04\x00\x00
MID_OP3_#037	\x0E\x03\x02\x10\x0EE003_エル\nThey are Brodian royals.\x0E\x04\x00\x00
MID_OP3_#038	\x0E\x03\x00\x18\x12E003_Hide\x024\n\x0E\x03\x02\x14\x12E003_Hide\nLook, Diamant. Here they are.\x0E\x04\x02\x00
MID_OP3_#039	Now finish them off. Or must I do everything\nfor you, my pathetic excuse for a brother?\x0E\x04\x00\x00
MID_OP3_#040	\x0E\x03\x00\x18\x12E003_Boss\x021\x0E\x03\x02\x14\x12E003_Boss\nI was planning to take them by surprise, Alcryst.\nYou shouldn't have revealed our position.\x0E\x04\x00\x00
MID_OP3_#041	\x0E\x03\x02\x14\x12E003_Hide\nOh... Thanks for telling me the plan.\x0E\x04\x00\x00
MID_OP3_#042	\x0E\x03\x02\x14\x12E003_Boss\nNel, Nil, I take no pleasure in this. I hoped our\nnext meeting would be friendly.\x0E\x04\x02\x00
MID_OP3_#043	Sadly, it seems now that bloodshed\nis unavoidable.\x0E\x04\x00\x00
MID_OP3_#044	\x0E\x03\x02\x10\x0EE003_エル\nYou must be angry indeed to discard the\npeaceful principles of your nation.\x0E\x04\x00\x00
MID_OP3_#045	\x0E\x03\x02\x10\x0EE003_イル\nLook, Nel. He is wearing one of the bracelets.\x0E\x04\x00\x00
MID_OP3_#046	\x0E\x03\x02\x14\x12E003_Hide\nYou're seeking the bracelets, hm? What a\ncoincidence! As your spy deduced, so are we.\x0E\x04\x02\x00
MID_OP3_#047	It seems our goals align. What do you say?\nShould we join forces once more?\x0E\x04\x00\x00
MID_OP3_#048	\x0E\x03\x02\x10\x0EE003_エル\nYou cannot be serious.\x0E\x04\x00\x00
MID_OP3_#049	\x0E\x03\x02\x14\x12E003_Hide\nYou're right, I'm not. What gave it away?\x0E\x04\x00\x00
MID_OP3_#050	\x0E\x03\x02\x14\x12E003_Boss\nWar must be torn out at the root before its\ntendrils spread.\x0E\x04\x02\x00
MID_OP3_#051	As much as it pains me to kill former allies,\nI have no other choice.\x0E\x04\x02\x00
MID_OP3_#052	Soldiers, to battle! Capture Lady Nel alive─\nshow the rest no mercy.\x0E\x04\x00\x00
MID_OP3_#053	\x0E\x03\x02\x10\x0EE003_エル\nCircumstances now demand we fight.\x0E\x04\x00\x00
MID_OP3_#054	\x0E\x03\x02\x10\x0EE003_イル\nZelestia. Gregory. Prepare for battle.\x0E\x04\x00\x00
MID_OP3_#055	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nGladly.\x0E\x04\x00\x00
MID_OP3_#056	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nI'm gonna focus on not getting hurt...\x0E\x04\x00\x00
MID_OP3_#057	\x0E\x03\x02\x10\x0EE003_エル\nReady yourself, Divine One. I expect no less\nfrom you than before.\x0E\x04\x00\x00
MID_OP3_#058	\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x02\x0A\x08リュール\nThat goes without saying.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01 \x12E003_Boss\nAngry\n\x0E\x03\x02\x14\x12E003_Boss\nIt is unfortunate that we have to fight each\nother, but I suppose we should get started.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE003_エル\x02t\n\x0E\x05\x01\x1C\x0EE003_エル\nAngry\n\x0E\x03\x02\x10\x0EE003_エル\nBeware the magical artillery of Brodia. They can\nstrike from quite a distance.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE003_エル\x02t\n\x0E\x05\x01\x1C\x0EE003_エル\nAngry\n\x0E\x03\x02\x10\x0EE003_エル\nThat soldier is poised to let fly a massive salvo.\nThe attack will cover a wide area. Be ready.\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01 \x12E003_Boss\nAngry\n\x0E\x03\x02\x14\x12E003_Boss\nEmblem Veronica, I will be borrowing your\npower to establish contracts with Heroes.\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01 \x12E003_Boss\nAngry\n\x0E\x03\x02\x14\x12E003_Boss\nOur Emblem has considerable power. Now is\nthe time to yield, before it is too late.\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01\x1C\x12E003_Boss\x06Sad\n\x0E\x03\x02\x14\x12E003_Boss\nWe were all going to die anyway. We never\nshould have tried...\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Hide\x02b\n\x0E\x05\x01 \x12E003_Hide\nSmile\n\x0E\x03\x02\x14\x12E003_Hide\nBe grateful it's me you're fighting and not my\nincompetent brother. I'll end this cleanly.\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Hide\x02b\n\x0E\x05\x01\x1E\x12E003_Hide\x08Pain\n\x0E\x03\x02\x14\x12E003_Hide\nIt wouldn't have come to this...if I were king...\x0E\x04\x00\x00
MID_BT5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01\x1E\x12E003_Boss\x08Pain\n\x0E\x03\x02\x14\x12E003_Boss\nI never wanted to face myself on the battlefield.\nIt seems the time has come.\x0E\x04\x00\x00
MID_BT5_#002	\x0E\x03\x00\x12\x0Cディアマンド\x02t\n\x0E\x05\x01\x1A\x0Cディアマンド\nAngry\n\x0E\x03\x02\x0E\x0Cディアマンド\nWith an attitude like that, how can you expect\nto ever be victorious?\x0E\x04\x00\x00
MID_BT5_#003	\x0E\x05\x01\x1C\x12E003_Boss\x06Sad\n\x0E\x03\x02\x14\x12E003_Boss\nEven if I won, nothing would change. I have\nno idea how to be a good king.\x0E\x04\x00\x00
MID_BT5_#004	\x0E\x05\x01&\x12E003_Boss\x10Surprise\n\x0E\x05\x01\x1C\x0Cディアマンド\x0CStrike\n\x0E\x03\x02\x0E\x0Cディアマンド\nThen lay down your weapon. If you can't, you\nmust still believe you have something to defend!\x0E\x04\x02\x00
MID_BT5_#005	If you are truly king, show me a worthy battle!\x0E\x04\x00\x00
MID_BT6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01\x1E\x12E003_Boss\x08Pain\n\x0E\x03\x02\x14\x12E003_Boss\nAlcryst? You want to fight me? I knew it. You\nnever accepted me as king.\x0E\x04\x02\x00
MID_BT6_#002	\x0E\x05\x01\x1C\x12E003_Boss\x06Sad\nI suspected you were plotting my assassination\nall along. Now's the time, is it?\x0E\x04\x00\x00
MID_BT6_#003	\x0E\x03\x00\x10\nスタルーク\x02t\n\x0E\x05\x01\x16\nスタルーク\x08Pain\n\x0E\x03\x02\x0C\nスタルーク\nAssassination?! You're my brother, Diamant.\nI respect and admire you─I would never!\x0E\x04\x00\x00
MID_BT6_#004	\x0E\x03\x02\x14\x12E003_Boss\nThen lay down your arms.\x0E\x04\x00\x00
MID_BT6_#005	\x0E\x05\x01\x14\nスタルーク\x06Sad\n\x0E\x03\x02\x0C\nスタルーク\nI can't. You may be my big brother, but you're\nstill the enemy.\x0E\x04\x02\x00
MID_BT6_#006	\x0E\x05\x01\x16\nスタルーク\x08Pain\nWait, you're certain to misunderstand that!\nHold on a minute, let me clarify...\x0E\x04\x02\x00
MID_BT6_#007	I'm sorry, my words aren't coming out right!\x0E\x04\x00\x00
MID_BT7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nシトリニカ\x02t\n\x0E\x05\x01\x14\nシトリニカ\x06Sad\n\x0E\x03\x02\x0C\nシトリニカ\nI am not happy about meeting you here. Now\nwe will have to fight.\x0E\x04\x00\x00
MID_BT7_#002	\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01&\x12E003_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E003_Boss\nCitrinne! What are you doing here?! You were\nprotecting Alcryst when you...\x0E\x04\x00\x00
MID_BT7_#003	\x0E\x05\x01\x18\nシトリニカ\nRelax\n\x0E\x03\x02\x0C\nシトリニカ\nIt seems that the "me" of this world acquitted\nherself valiantly. I wish I had time to hear more.\x0E\x04\x02\x00
MID_BT7_#004	\x0E\x05\x01\x18\nシトリニカ\nAngry\nBut this version of me is your enemy. Think of\nme as an apparition if you like.\x0E\x04\x00\x00
MID_BT7_#005	\x0E\x05\x01\x1C\x12E003_Boss\x06Sad\n\x0E\x03\x02\x14\x12E003_Boss\nOf course. If you're to be an apparition, there is\nno point in talking about your other self.\x0E\x04\x02\x00
MID_BT7_#006	\x0E\x05\x01\x1C\x12E003_Boss\x06Shy\nAlthough, speaking to you like this reminds me\nof that one ball. We all had so much fun...\x0E\x04\x00\x00
MID_BT8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01&\x12E003_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E003_Boss\nDivine Dragon? Have you returned to us?!\x0E\x04\x00\x00
MID_BT8_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nI'm not who you think I am. Please, think of me\nas a stranger when we fight.\x0E\x04\x00\x00
MID_BT8_#003	\x0E\x05\x01\x1E\x12E003_Boss\x08Pain\n\x0E\x03\x02\x14\x12E003_Boss\nI cannot fight you. I won't risk losing you again.\nIt has been awful here since you died.\x0E\x04\x02\x00
MID_BT8_#004	I believed all along that the nations should stop\nsquabbling and go back to the way we were!\x0E\x04\x02\x00
MID_BT8_#005	I beg you, please, guide us to unity once more.\x0E\x04\x00\x00
MID_BT8_#006	\x0E\x05\x01\x12\x08リュール\x06Sad\n\x0E\x03\x02\x0A\x08リュール\nI'm sorry. Only the Divine Dragon of this world\ncould have done that, but...\x0E\x04\x02\x00
MID_BT8_#007	\x0E\x05\x01\x16\x08リュール\nAngry\nI can still take on the burden of stopping this\nconflict through the battle you wish to avoid.\x0E\x04\x02\x00
MID_BT8_#008	Forgive me for fighting you!\x0E\x04\x00\x00
MID_BT9_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01&\x12E003_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E003_Boss\nAmber? Is this a mirage? Maybe I'm losing my\ngrasp on reality...\x0E\x04\x02\x00
MID_BT9_#002	\x0E\x05\x01\x1C\x12E003_Boss\x06Shy\nNo matter how hard I look, I still see you\nstanding before me. Haha... Hahaha!\x0E\x04\x00\x00
MID_BT9_#003	\x0E\x03\x00\x0E\x08アンバー\x02t\n\x0E\x05\x01\x1C\x08アンバー\x10Surprise\n\x0E\x03\x02\x0A\x08アンバー\nUm, Prince Diamant? Am I doing something you\nfind funny?\x0E\x04\x00\x00
MID_BT9_#004	\x0E\x03\x02\x14\x12E003_Boss\nI laugh because I don't know what else to do.\nYou died defending me. Now I must fight you?\x0E\x04\x02\x00
MID_BT9_#005	\x0E\x05\x01\x12\x08アンバー\x06Sad\n\x0E\x05\x01\x1E\x12E003_Boss\x08Pain\nAre you an illusion? One of the Corrupted? No\nmatter. We meet in battle, so I have to kill you.\x0E\x04\x02\x00
MID_BT9_#006	\x0E\x05\x01\x1C\x12E003_Boss\x06Shy\nAre you enjoying yourself now, as you always\ndid before? How I have missed that.\x0E\x04\x00\x00
MID_BT9_#007	\x0E\x03\x02\x0A\x08アンバー\nSo the "me" of this world is gone.\x0E\x04\x02\x00
MID_BT9_#008	Prince Diamant... Forgive me. I did not mean to\nmake you sad.\x0E\x04\x00\x00
MID_BT10_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01\x1C\x12E003_Boss\x06Shy\n\x0E\x03\x02\x14\x12E003_Boss\nJade? Why are you here? It's like a scene out of\none of your comedies.\x0E\x04\x02\x00
MID_BT10_#002	Remember? An old man, thought dead, wakes\nup with a giant yawn. That was a masterpiece.\x0E\x04\x02\x00
