MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06セピア\x022\n\x0E\x03\x00\x0C\x06モーヴ\x024\n\x0E\x03\x00\x0A\x04グリ\x023\n\x0E\x03\x00\x0C\x06マロン\x021\n\x0E\x03\x02\x08\x06セピア\nI have returned.\x0E\x04\x00\x00
MID_OP2_#050	Tell you what. When this is over, I'll whisper\nit into your dead, little ears. How's that?\x0E\x04\x00\x00
MID_OP2_#051	\x0E\x03\x02\x0A\x08リュール\nWe'd hoped to learn whatever we could from\nthe people of this town.\x0E\x04\x02\x00
MID_OP2_#052	But with no one left alive, we're glad to get the\ntruth out of you, one way or another.\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M019_マロン\x02b\n\x0E\x05\x01\x1E\x10M019_マロン\nAngry\n\x0E\x03\x02\x12\x10M019_マロン\n\x0E\x0B\x00p
MID_OP3_#002	\x0E\x03\x00\x16\x10M019_モーヴ\x02t\n\x0E\x05\x01$\x10M019_モーヴ\x10Surprise\n\x0E\x03\x02\x12\x10M019_モーヴ\nZephia permitted us to use Emblem Rings?\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x05\x01\x1E\x10M019_マロン\nSmile\n\x0E\x03\x02\x12\x10M019_マロン\n\x0E\x0B\x01@
MID_OP3_#004	\x0E\x05\x01 \x10M019_モーヴ\x0CStrike\n\x0E\x03\x02\x12\x10M019_モーヴ\nYou did what?! Marni, when this is discovered...\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x05\x01"\x10M019_マロン\x0EStandBy\n\x0E\x03\x02\x12\x10M019_マロン\nI'll be what? Scolded? Punished? Please.\nWe're Lord Sombron's favorites!\x0E\x04\x02\x00
MID_OP3_#006	\x0E\x05\x01\x1E\x10M019_マロン\nSmile\nBesides, if I capture even one more ring,\nimagine the praise I'll get. I'll be a hero!\x0E\x04\x00\x00
MID_OP3_#007	\x0E\x05\x01"\x10M019_モーヴ\x0EStandBy\n\x0E\x03\x02\x12\x10M019_モーヴ\nEven in that case, he will not forgive you.\x0E\x04\x00\x00
MID_OP3_#008	\x0E\x05\x01\x1E\x10M019_マロン\nAngry\n\x0E\x03\x02\x12\x10M019_マロン\nUgh! Skip the lecture, OK? Just put it on.\x0E\x04\x02\x00
MID_OP3_#009	If you ruin my chance to shine, I won't\nforgive YOU!\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nザフィーア\x02t\n\x0E\x05\x01\x18\nザフィーア\nAngry\n\x0E\x03\x02\x0C\nザフィーア\nWhy'd the Divine Dragon dock here? The place\nis infested.\x0E\x04\x02\x00
MID_EV1_#002	Guess I've got no choice but to cut my way\nthrough these moldering bastards.\x0E\x04\x00\x00
MID_TK1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nザフィーア\x02b\n\x0E\x05\x01\x1A\nザフィーア\x0CStrike\n\x0E\x03\x02\x0C\nザフィーア\nWell, if it isn't the Divine Dragon.\x0E\x04\x00\x00
MID_TK1_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nI know you. You're that knight I met at\nBrodia Castle, right?\x0E\x04\x00\x00
MID_TK1_#003	\x0E\x05\x01\x18\nザフィーア\nAngry\n\x0E\x03\x02\x0C\nザフィーア\nSaphir of the royal guard, at your service.\x0E\x04\x02\x00
MID_TK1_#004	Prince Diamant sent word that your ship was\nheaded to Elusia.\x0E\x04\x02\x00
MID_TK1_#005	With the situation at the castle under control,\nI thought I'd come give you a hand.\x0E\x04\x00\x00
MID_TK1_#006	\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nI'm glad you decided to join us.\x0E\x04\x00\x00
MID_TK1_#007	\x0E\x05\x01\x14\nザフィーア\x06Sad\n\x0E\x03\x02\x0C\nザフィーア\nWhen Prince Diamant wrote us about the king's\ndeath, I felt like I had no choice.\x0E\x04\x02\x00
MID_TK1_#008	\x0E\x05\x01\x18\nザフィーア\nAngry\nIt's my duty to protect the kingdom\nHis Majesty left behind.\x0E\x04\x02\x00
MID_TK1_#009	Diamant will rule that kingdom, so my life\nbelongs to him─and to you. Use it well.\x0E\x04\x00\x00
MID_TK1P_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nザフィーア\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0C\nザフィーア\nWell, if it isn't the Divine Dragon.\x0E\x04\x00\x00
MID_TK1P_#002	\x0E\x03\x02\x0A\x08リュール\nI know you. You're that knight I met at Brodia\nCastle, right?\x0E\x04\x00\x00
MID_TK1P_#003	\x0E\x03\x02\x0C\nザフィーア\nSaphir of the royal guard, at your service.\x0E\x04\x02\x00
MID_TK1P_#004	Prince Diamant sent word that your ship was\nheaded to Elusia.\x0E\x04\x02\x00
MID_TK1P_#005	With the situation at the castle under control,\nI thought I'd come give you a hand.\x0E\x04\x00\x00
MID_TK1P_#006	\x0E\x03\x02\x0A\x08リュール\nI'm glad you decided to join us.\x0E\x04\x00\x00
MID_TK1P_#007	\x0E\x03\x02\x0C\nザフィーア\nWhen Prince Diamant wrote us about the king's\ndeath, I felt like I had no choice.\x0E\x04\x02\x00
MID_TK1P_#008	It's my duty to protect the kingdom\nHis Majesty left behind.\x0E\x04\x02\x00
MID_TK1P_#009	Diamant will rule that kingdom, so my life\nbelongs to him─and to you. Use it well.\x0E\x04\x00\x00
MID_TK2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nザフィーア\x02b\n\x0E\x05\x01\x1A\nザフィーア\x0CStrike\n\x0E\x03\x02\x0C\nザフィーア\nPrince Diamant.\x0E\x04\x00\x00
MID_TK2_#002	\x0E\x03\x00\x12\x0Cディアマンド\x02t\n\x0E\x05\x01 \x0Cディアマンド\x10Surprise\n\x0E\x03\x02\x0E\x0Cディアマンド\nSaphir? What are you doing here?\x0E\x04\x00\x00
MID_TK2_#003	\x0E\x05\x01\x18\nザフィーア\nAngry\n\x0E\x03\x02\x0C\nザフィーア\nYour letter said you were headed to Elusia.\nFigured you could use another soldier.\x0E\x04\x02\x00
MID_TK2_#004	Don't worry, the castle is safe and secure.\nBut about King Morion...\x0E\x04\x00\x00
MID_TK2_#005	\x0E\x05\x01\x16\x0Cディアマンド\x06Sad\n\x0E\x03\x02\x0E\x0Cディアマンド\nI am sorry, Saphir. I should have protected him.\nHe was so sure he would return...\x0E\x04\x00\x00
MID_TK2_#006	\x0E\x05\x01\x1A\nザフィーア\x0CStatus\n\x0E\x03\x02\x0C\nザフィーア\nHe knew the risks. For whatever it's worth,\nI'm glad you're still above ground.\x0E\x04\x02\x00
MID_TK2_#007	\x0E\x05\x01\x1A\nザフィーア\x0CStrike\nLet's make sure that doesn't change\nanytime soon.\x0E\x04\x00\x00
MID_TK3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nスタルーク\x02t\n\x0E\x05\x01\x1E\nスタルーク\x10Surprise\n\x0E\x03\x02\x0C\nスタルーク\nSaphir?!\x0E\x04\x00\x00
MID_TK3_#002	\x0E\x03\x00\x10\nザフィーア\x02b\n\x0E\x05\x01\x1E\nザフィーア\x10Surprise\n\x0E\x03\x02\x0C\nザフィーア\nPrince Alcryst, am I glad to see you!\x0E\x04\x02\x00
MID_TK3_#003	\x0E\x05\x01\x18\nザフィーア\nAngry\nI got Prince Diamant's letter about heading to\nElusia. Figured you could use an extra soldier.\x0E\x04\x00\x00
MID_TK3_#004	\x0E\x05\x01\x18\nスタルーク\nSmile\n\x0E\x03\x02\x0C\nスタルーク\nI appreciate your coming here. I'm sure Diamant\nand the Divine Dragon will as well.\x0E\x04\x02\x00
MID_TK3_#005	\x0E\x05\x01\x1A\nスタルーク\x0CStrike\nHow are you and the other royal soldiers faring?\x0E\x04\x00\x00
MID_TK3_#006	\x0E\x03\x02\x0C\nザフィーア\nThe castle's plenty safe, but...we spent a long\ntime waiting for our king.\x0E\x04\x00\x00
MID_TK3_#007	\x0E\x05\x01\x14\nスタルーク\x06Sad\n\x0E\x03\x02\x0C\nスタルーク\nI apologize that we weren't able to return his\nbody to the castle.\x0E\x04\x02\x00
MID_TK3_#008	\x0E\x05\x01\x18\nスタルーク\nAngry\nBut we will not bring further grief to Brodia's\npeople. I will see that my brother returns alive.\x0E\x04\x00\x00
MID_TK3_#009	\x0E\x05\x01\x18\nザフィーア\nSmile\n\x0E\x03\x02\x0C\nザフィーア\nYou're a credit to our kingdom, Prince Alcryst.\nKnow that I've got your back.\x0E\x04\x02\x00
MID_TK3_#010	\x0E\x05\x01\x18\nザフィーア\nAngry\nI won't let one more drop of proud Brodian\nblood be spilled.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00$\x1EM019_異形兵_ウォーリアー\x02b\n\x0E\x03\x02 \x1EM019_異形兵_ウォーリアー\nRaaargh!\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00"\x1CM019_異形兵_ベルセルク\x02b\n\x0E\x03\x02\x1E\x1CM019_異形兵_ベルセルク\nRAAARGH!\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x02t\n\x0E\x03\x02\x0E\x0Cアルフレッド\nDivine One, the flame cannons! With those,\nyou can burn right through that miasma.\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M019_マロン\x02b\n\x0E\x05\x01 \x10M019_マロン\x0CStrike\n\x0E\x03\x02\x12\x10M019_マロン\nI've got a lot riding on this, so do me a favor\nand die quick!\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M019_マロン\x02b\n\x0E\x05\x01\x1A\x10M019_マロン\x06Sad\n\x0E\x03\x02\x12\x10M019_マロン\nOh no... This is bad, bad, bad...\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M019_モーヴ\x02b\n\x0E\x05\x01\x1E\x10M019_モーヴ\nAngry\n\x0E\x03\x02\x12\x10M019_モーヴ\nLet us waste no time. I must return to\nLady Veyle.\x0E\x04\x00\x00
MID_BT6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M019_モーヴ\x02b\n\x0E\x05\x01\x1C\x10M019_モーヴ\x08Pain\n\x0E\x03\x02\x12\x10M019_モーヴ\nI failed, but at least now...\x0E\x04\x00\x00
MID_BT7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M019_マロン\x02b\n\x0E\x05\x01\x1E\x10M019_マロン\nAngry\n\x0E\x03\x02\x12\x10M019_マロン\nI'll show ya we mean business. Emblem Roy!\x0E\x04\x00\x00
MID_BT8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x16\x10M019_モーヴ\x02b\n\x0E\x05\x01\x1E\x10M019_モーヴ\nAngry\n\x0E\x03\x02\x12\x10M019_モーヴ\nForgive me, Emblem. I know this imposes\na burden upon you.\x0E\x04\x00\x00
MID_DIE_LOCAL_Saphir_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nザフィーア\x02b\n\x0E\x05\x01\x16\nザフィーア\x08Pain\n\x0E\x03\x02\x0C\nザフィーア\nI came all this way...just to die? Haha...ha...\x0E\x04\x00\x00
MID_DIE_CASUAL_LOCAL_Saphir_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nザフィーア\x02b\n\x0E\x05\x01\x16\nザフィーア\x08Pain\n\x0E\x03\x02\x0C\nザフィーア\nDamn. I wanted to help, but I'm just getting\nin the way... I'd better go.\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06マロン\x021\n\x0E\x03\x00\x0C\x06モーヴ\x023\n\x0E\x03\x02\x08\x06マロン\nRings... They took the rings...\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x08\x06モーヴ\nMarni, we must retreat! Now!\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x08\x06マロン\nI can't go back! I'm just gonna get an earful\nfrom Lord Sombron. Or worse...Zephia!\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x08\x06モーヴ\nAnd after all your nonsense about being exempt\nfrom scolding. Now, let's hurry to Lady Veyle.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nWait, tell me! Is Veyle all right?\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x08\x06モーヴ\nLord Sombron has given Zephia a new kind of\nmagic to use on Lady Veyle. If she does...\x0E\x04\x02\x00
MID_ED1_#007	the true Lady Veyle will never awaken again.\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x08\x06モーヴ\nThe others think this is a happy outcome. But\nI... I have always worried for her safety.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x0A\x08リュール\nYou really do want to protect her, don't you?\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x08\x06モーヴ\nI have said too much. Marni, I am returning now,\nwith or without you.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x01\x08\x06モーヴ\n\x0E\x03\x02\x08\x06マロン\nYou can't just leave m─ Hey, wait up!\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x01\x08\x06マロン\n\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x00\x12\x0Cアルフレッド\x024\n\x0E\x03\x02\x0E\x0Cアルフレッド\nIs it a good idea to just let them go?\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x0A\x08リュール\nWe took back the rings. Besides...\x0E\x04\x02\x00
MID_ED1_#016	I have a feeling that Veyle is going to need\nhim right at her side.\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ミカヤ\x021\n\x0E\x03\x00\x0A\x04ロイ\x023\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nEmblem Micaiah, Emblem Roy... Glad to finally\nhave you back with us.\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x08\x06ミカヤ\nI never lost faith that we would return to you.\nThank you, \x0E\x06\x03\x00.\x0E\x04\x02\x00
MID_ED2_#003	On the Shadowy Moor, and at Florra Port, it\npained me to fight against you.\x0E\x04\x00\x00
MID_ED2_#004	\x0E\x03\x02\x0A\x08リュール\nI'm sorry for putting you through that. I promise\nto never let that happen again.\x0E\x04\x02\x00
MID_ED2_#005	I can't believe there are so many of the\nCorrupted in Elusia...\x0E\x04\x00\x00
MID_ED2_#006	\x0E\x03\x02\x06\x04ロイ\nThe Fell Dragon is behind the rise of the\nCorrupted in this kingdom.\x0E\x04\x02\x00
MID_ED2_#007	Sovereign blood is no longer enough for him.\nHe's abducting the people of Elusia.\x0E\x04\x02\x00
MID_ED2_#008	When Sombron drains them, they turn into the\nCorrupted. That's why they're everywhere.\x0E\x04\x00\x00
MID_ED2_#009	\x0E\x03\x02\x0A\x08リュール\nYou mean the Corrupted we killed were...\x0E\x04\x00\x00
MID_ED2_#010	\x0E\x03\x00\x0E\x08アイビー\x024\n\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x02\x00
