MID_WU_C_1_IN_#001	Softly now...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	So allow me to devote myself to you instead.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	Until this war is over, or until I finally return to\nmy dear departed wife...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	I will look after you.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	You're awake.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	Let's get you ready.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	Hm? Of course I don't mind.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	You chose this old fellow as your partner,\nafter all.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#005	I am here for you.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	Hehe, still sound asleep? Then I suppose I'll\ntake the time to conduct a little experiment...\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	Haha, got you.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	It seems I know just what to say to get you up.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	I believe I'm starting to appreciate...\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	the nature of our partnership.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	By alternating Thunder and Fire on this metal...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	it should take shape quickly!\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	Lo and behold─a perfectly serviceable bracelet.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	Too flawed to compare to the Pact Ring...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	but a fine gift nevertheless.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	Something for you to remember me by...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	when I'm long gone.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	Good morning.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	I am ready to help you with whatever you need,\nDivine One.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	You should know I will always be grateful...\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	that you require my strength.\x0E\x04\x00\x00
