MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nAmber, I have a question. How does a knight\nfrom the kingdom of Brodia train?\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x08\x06メリン\nYou really must teach me the secret to your\nstrength sometime soon. \x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x0A\x08アンバー\nUh, you enjoyed that? Then...yeah, that was all\nplanned! I am the picture of strength and agility.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nAmber! I was hoping you'd teach me the secret\nto that Brodian strength of yours.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\nIt's not much of a secret. Like I said earlier, it\nwas mostly physical labor back on the ranch.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06メリン\nHuh... It sounds like building up endurance is\nimportant, then?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アンバー\nOh, for sure. The higher your endurance, the\nlonger you can train!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06メリン\nI see. Very helpful.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06メリン\nAnd to think, one can build up this endurance\ncaring for alpacas. It's a dream come true!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06メリン\nI wish we had alpacas in my country.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アンバー\nDon't worry, Merrin. If you wanna get strong,\nI can teach you everything I know.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06メリン\nYou can? You will?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\nYou bet! Where do you want to start? Running?\nMaybe some core exercises?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06メリン\nWhy don't we spar together...just to see how\nmuch endurance I have right now.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アンバー\nOh, good idea! It'll be nice to have a new\nsparring partner.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06メリン\nI doubt I'll be a match for you. I'll just have to\ndo my best and hope I don't embarrass myself.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x04\x03\x04
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アンバー\nAw, maaan...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06メリン\nI can't believe it. I won so...easily.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アンバー\nI can't believe I tripped over myself. I wasn't\neven attacking! I'm so pathetic...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06メリン\nWait...you're lulling me into dropping my guard,\naren't you? Distracting me with pratfalls again?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アンバー\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08アンバー\nSorry, Merrin, but I'm gonna call it. Lesson's\nover for today, OK?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06メリン\nOh, OK. Another time, then.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x0A\x08アンバー\nHey, Merrin. I'm really sorry.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06メリン\nWhy are you apologizing to me?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アンバー\nIt's about our sparring match the other day.\nI really did trip, and I really did lose to you.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06メリン\nYou did?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アンバー\nIt wasn't a covert strategy or a pratfall. I just...\nfell because I was being careless.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アンバー\nThat happens a lot. I'm actually pretty clumsy.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アンバー\nI stumble into everything, including my role as a\nknight of Brodia. It's all dumb luck!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06メリン\nI don't believe that. Not for one minute.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06メリン\nI'm from a small village too, so I know how hard\nyou must have worked to get where you are.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06メリン\nNo one is named retainer to a crown prince\nwithout a tremendous amount of effort.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06メリン\nYou may be uncoordinated, but I have no\ndoubt you're an excellent knight, Amber.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アンバー\nThat's...that's very encouraging to hear...\nThank you, Merrin.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アンバー\nI should really be learning from you, y'know?\nCan we do some more training together?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06メリン\nOf course. I'd be honored to train with a knight\nfrom the kingdom of Brodia.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08アンバー\nYes! I can't wait to get started!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アンバー\nWith your help, I'll get rid of my clumsiness and\nbecome a respectable knight in no time!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06メリン\nIt seems to me, the secret to a Brodian's\nstrength is that earnest attitude of yours.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06メリン\nHehe, I think I'm going to learn a thing or two\nfrom you, my friend.\x0E\x04\x00\x00
