MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08リュール\nI fight to save the world that my mother loved.\nBut I'll need your help, Leif.\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x0C\nエーティエ\nIt's not for the faint of heart, that's for sure.\nBut I've got a secret weapon.\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0C\nエーティエ\nIt's a Firenese muscle balm. It boosts the effects\nof your training, no matter who you are.\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x08\x06リーフ\nBut even with that, you still have to train, right?\nIf only you could cut that part out entirely...\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nI shall need your aid, Leif, if I hope to protect\nmy beloved Firene─let alone the world.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x08\x06リーフ\nYou will have it, Céline. Let us fight so that the\npeople can be secure in a peaceful world.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nWon't you join me for tea? I've acquired a\nbatch of the finest leaves in Firene.\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x08\x06リーフ\nThey smell incredible. Like flowers, and the\nsun, and the rich, fertile ground...\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nWhatever has put you in such a good mood?\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x0A\x08セリーヌ\nA new shoot sprouted in the courtyard flower\nbed. And I had a lovely cup of tea earlier today.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nThese small joys are to be cherished. I hope you\ndon't think me childish for that.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x08\x06リーフ\nNever! You have taught me that a happy life is\nbuilt from the slow accumulation of small joys.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x06\x04ルイ\nIs there anything I can do for you, Leif? Perhaps\nfind you a suitable partner for socializing?\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x08\x06リーフ\nUh, that is quite all right, Louis. Thank you for\noffering, though.\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x06\x04ルイ\nI've brewed some tea. Shall we enjoy it together\nwhile admiring the scenery?\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x08\x06リーフ\nIt smells most wonderful, Louis. I assume by\n"scenery," you mean those people over there?\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nYou have a grim look today, Louis. Is there\nsomething wrong?\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x06\x04ルイ\nYes. Try as I might, I'm having difficulty\ncompletely fading into the background.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x08\x06リーフ\nAh, it would be a useful talent for setting up an\nambush. I have no advice for you, though.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x06\x04ルイ\nI had thought more along the lines of observing\nscenes play out naturally. But still, thank you.\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06クロエ\nI think the thing that makes you most like a\nfairy-tale hero is your bright, shining armor.\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x08\x06リーフ\nI am no hero, though. That role was foisted\nupon me by others.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nWhatever are you eating, Chloé?\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x08\x06クロエ\nA large snake boiled in medicinal herbs.\nI'm really sorry I can't share with you.\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06クロエ\nHey, Leif, don't go too overboard, OK?\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x08\x06リーフ\nWhat brought on the sudden bout of concern?\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x08\x06クロエ\nWell, you always seem a little tense. Relax!\nI'm here for you.\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x08\x06リーフ\nI am still not quite used to this world, I suppose.\nYour help will get me there. Thank you, Chloé.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nIt's such an honor to be speaking with you, Leif.\nI have much to discuss regarding my kingdom...\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x08\x06リーフ\nI look forward to working with you as well,\nDiamant. I am happy to help however I can.\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nThe people of Elusia deeply resent my country.\nI need to foster peace between our nations.\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x08\x06リーフ\nDo not rush. I believe you are the best person to\nfind a way forward, but these things take time.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nThe truth is, I'm not as confident as I may seem.\nI've never told anyone that─not even Alcryst.\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x08\x06リーフ\nI once lacked confidence...but my friends guided\nme and helped my heart grow much stronger.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x08\x06リーフ\nYou have great friends too, Diamant. This quest\nis how you will grow, and I will be by your side.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nThank you, Leif. I'll strive to become a king as\nwise as you...the Sage Lord himself.\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08アンバー\nI'm Amber, one of Prince Diamant's retainers.\nYou can call me the alpaca-wrangling master!\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x08\x06リーフ\nThe alpaca-wrangling master, you say...\nThat has a curiously pleasant ring to it.\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nYou seem to be in high spirits today, Amber.\nYou receive some good news?\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x0A\x08アンバー\nI found a recipe for a legendary secret potion\nthat gives you endless energy! Wanna see, Leif?\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08アンバー\nI want to create an entire battalion of alpacas,\nbut I can't get Prince Diamant to sign off on it...\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x08\x06リーフ\nHmm... If I were Diamant, I would surely prefer\nhorses. Alpacas may be difficult to mobilize.\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x08\x06リーフ\nWhat unique strengths do alpacas have? If you\nlead with those, he might be easier to convince.\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x0A\x08アンバー\nOh, there are so many! Like, um...uh... Oh!\nTheir cuteness! It'll sap an enemy's will to fight!\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nJade? I can feel you staring at me... Do I have\nsomething on my face?\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nHuh? No. Sorry, Leif. I was lost in a new story\nidea, but...it's gone now.\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nWhatever is the matter, Jade? You look as if\nsomething has upset you.\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x0A\x08ジェーデ\nHuh? No, I'm fine. In fact, I'm in a particularly\ngood mood. Is it that hard to tell?\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nLeif? Do you have a spare moment?\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x08\x06リーフ\nYes, I have time right now. What would you like\nto discuss?\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nI need a twist for my new novel. Are there any\ntales from your world that might inspire me?\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x08\x06リーフ\nI see! I would be happy to assist. Let me begin\nwith the story of the 12 crusaders...\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nHello, Alcryst. Have you been enjoying this\ngentle weather? I certainly have.\x0E\x04\x00\x00
MID_GR_Staluke_C_#002	\x0E\x03\x02\x0C\nスタルーク\nAre you talking to me?! Oh, Leif, your kind\nheart makes me so nervous. I'm not worthy.\x0E\x04\x00\x00
MID_GR_Staluke_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nWhy are you standing so far away, Alcryst?\nPlease, come a little closer.\x0E\x04\x00\x00
MID_GR_Staluke_B_#002	\x0E\x03\x02\x0C\nスタルーク\nSo majestic... So regal... Huh? Oh! No thank\nyou, Leif. I'm fine back here in your periphery.\x0E\x04\x00\x00
MID_GR_Staluke_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nスタルーク\nBrodia is known for its precious gems, but I\nfight for our people. They're the real treasure.\x0E\x04\x00\x00
MID_GR_Staluke_A_#002	\x0E\x03\x02\x08\x06リーフ\nThat sounds like the mindset of a true leader.\nBrodia's citizens must be proud of you, Alcryst.\x0E\x04\x00\x00
MID_GR_Staluke_A_#003	\x0E\x03\x02\x0C\nスタルーク\nN-no, that can't be true. How could they? If the\ncitizens are like gems, I'm more like...a pebble.\x0E\x04\x00\x00
MID_GR_Staluke_A_#004	\x0E\x03\x02\x08\x06リーフ\nYou place value in your country's people. I am\nsure they value you in return...and so do I.\x0E\x04\x00\x00
MID_GR_Lapis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06ラピス\nMmm, sugar water is such a great pick-me-up...\nAh! Leif?! Have you been here the whole time?\x0E\x04\x00\x00
MID_GR_Lapis_C_#002	\x0E\x03\x02\x08\x06リーフ\nIncredible! There are so many ways to consume\nsugar... You are so knowledgeable, Lapis.\x0E\x04\x00\x00
MID_GR_Lapis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nAre you weeding during your break? You are\nsuch a diligent worker, Lapis.\x0E\x04\x00\x00
MID_GR_Lapis_B_#002	\x0E\x03\x02\x08\x06ラピス\nI don't know about that. I'm just stocking up on\nbackup rations. I mean, uh... Yep! I'm weeding!\x0E\x04\x00\x00
MID_GR_Lapis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nThe country of Thracia was mostly barren land.\nThis led to wars between the north and south.\x0E\x04\x00\x00
MID_GR_Lapis_A_#002	\x0E\x03\x02\x08\x06ラピス\nI bet food was hard to come by out there. That\nreminds me... Have you ever eaten bear?\x0E\x04\x00\x00
MID_GR_Lapis_A_#003	\x0E\x03\x02\x08\x06リーフ\nWe did not encounter many bears...but there\nwere plenty of wyverns.\x0E\x04\x00\x00
MID_GR_Lapis_A_#004	\x0E\x03\x02\x08\x06ラピス\nI've never tried wyvern... How do they taste?\nHow does their meat keep? Tell me more!\x0E\x04\x00\x00
MID_GR_Citrinica_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nOh! I'm sorry, Leif. You must have thought I\nwas glaring at you. That's just my resting face.\x0E\x04\x00\x00
MID_GR_Citrinica_C_#002	\x0E\x03\x02\x08\x06リーフ\nThat was not my thinking at all, Citrinne.\nYou have a very kind aura about you.\x0E\x04\x00\x00
MID_GR_Citrinica_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nTell me, Citrinne, why did you want to become\none of Alcryst's retainers?\x0E\x04\x00\x00
MID_GR_Citrinica_B_#002	\x0E\x03\x02\x0C\nシトリニカ\nHe's my cousin. I wanted to protect him, so\nI spoke with my family and... Well, here I am!\x0E\x04\x00\x00
MID_GR_Citrinica_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nI became Alcryst's retainer through my family's\nconnections. My actual skills are...rather lacking.\x0E\x04\x00\x00
MID_GR_Citrinica_A_#002	\x0E\x03\x02\x0C\nシトリニカ\nI'm working hard to improve, but everyone else\nis so strong. I don't think I'll ever catch up.\x0E\x04\x00\x00
MID_GR_Citrinica_A_#003	\x0E\x03\x02\x08\x06リーフ\nTry not to rush yourself. Strength in battle is\nnot something you can achieve overnight.\x0E\x04\x00\x00
MID_GR_Citrinica_A_#004	\x0E\x03\x02\x08\x06リーフ\nBesides, your allies count on you for more than\nsheer strength. That is certainly true of me.\x0E\x04\x00\x00
