MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08リュール\nWhat's that you're doing, Zelkov?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nHeh. You are *interesting.* Perhaps, next time\nwe chat, I will show you an interesting place.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nNow I'm curious.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nI will keep the nature of it a *surprise* for\nthe time being.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08リュール\nAll right. I look forward to it!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nWelcome. This is the *interesting* place that I\nmentioned to you before. My secret sanctum.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nWhoa! I've never seen so many shelves full\nof...stuff!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nYes. I *collect* odds and ends for my pursuits\nhere in this place.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nInstructions for a *culinary* technique of my\nown devising. A map for a hike only I know. \x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nThere is a manual of training techniques I wrote,\nnext to a rock that I polished to a *sparkle.*\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nAnd here are some balls of *lint* I've gathered\nfor reasons even I don't quite understand.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nThat should suffice for a summary. A detailed\naccounting would take *hours.*\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nJust know *every* object here has helped me\nkill time. Feel free to handle whatever you like.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nThank you! What a treasure trove...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nOnce my work is done each day, I fill my\nevenings with these varied *pursuits.*\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nAs I *enjoy* them, I am always mindful to leave\nsomething unfinished for the next day.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nThat ensures I always have a project.\nA reason to *continue* living.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nWow... So philosophical...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nYou... You truly think so?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nWell... Thank you for enduring this frivolity.\nI hope I did not *bore* you.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nWhat a thing to say! I'm not even done\nexploring in here yet!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nHeh-heh. You honor me. Take as much *time*\nas you like.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nToday's work is complete. Now I am free to\n*kill time* until sleep arrives.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nAh, Zelkov! I've been *waiting* for you!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nDivine One?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nI finished my tasks *early* today, so I came\n*here.* I hope you *don't mind!*\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nI don't mind, but...the way you are speaking...\nDo you mean to suggest...a *deeper meaning*?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nPerhaps I do. Perhaps some of your *influence*\nhas rubbed off on me, Zelkov.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nYou should not want to walk the path I walk.\nPeople will *look* at you strangely.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nLet them. I don't *care* what they think.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nI'm just *amusing myself* and *killing time* by\n*speaking in a profound way.*\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nOh, no no no! Please, Divine One, do not allow\nyourself to be *influenced* by someone like me.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nWhy *not*?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nWe lead very different lives, Divine One.\nYou have an important *purpose* to fulfill.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nI am a terrible influence. Please, you must\nfollow a path more *fitting* to your station.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nI don't think I *will.* Not in this room, anyway.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nWhat do you mean?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nIt's true that there are *differences* between\nyou and me, *Zelkov.*\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nBut here, in *this* room, what do those\n*differences* *matter*?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nAll we're doing is *killing time.*\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nI deeply regret filling your head with *rubbish.*\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nPlease, don't apologize. *Go on,* tell me more\nabout your *collection*.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nVery well, what should I talk about next?\nAh, this here is *perfect.*\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ゼルコバ\nA list of the most mysterious words to\n*emphasize* to *suggest* a deeper meaning.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08リュール\nOoo! That sounds *interesting!*\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nI have been *waiting* for you, Divine One.\nPlease, take a seat.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nWhat do you have for me today, Zelkov?\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nI thought I might tell you a *story.*\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nAbout what?\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nHow I came to be as I am. Why I require these\n*pursuits* in order to have a reason to live.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nI am afraid it is a rather *dark* tale. But it is\nthe only way for you to understand.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nWhen I was young, my family was attacked\nand *murdered* by bandits.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nThat's horrible.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nI swore *revenge.* It was my first pursuit─and it\nled me to take up the life of an assassin.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nA decade ago, my *efforts* bore their last fruit.\nAll my family's killers were vanquished.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nOnce I had achieved my end, I suddenly became\naware that I had *nothing* left. No purpose.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nIt was King Hyacinth who rescued me, quite by\nchance. I was *selected* to join the royal guard.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nThen I was *promoted* to retainer, and that\n*purpose* has sustained me in large part since.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nThus I *stand* before you today.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nI appreciate you telling me this, but I'm still\nnot sure I understand why you felt the need.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nI would like you to join me in my continued\npursuit of purpose, Divine One.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nYou what?\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nForgive my foolishness. I should have *known*\nyou would never want such a thing.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nThe complete opposite, as a matter of fact.\nThere's nothing I want more.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nI've actually been planning to give this to you\nfor a while. Now seems like the right time.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nThe *Pact* Ring...\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nWhether it's to find a greater purpose or just\nto kill time, I want to be there to support you.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08ゼルコバ\nYou are actually *serious,* aren't you?\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nOf course I am. Would I joke about something\nso important?\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08ゼルコバ\nYou would not. Therefore I accept, and gladly.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08ゼルコバ\nIn return, \x0E\x06\x03\x00, please accept a gift\nfrom me.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\nA necklace? It's lovely.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08ゼルコバ\nEach component was selected to represent a\nfacet of my respect and affection for you.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0A\x08リュール\nThis is amazing, Zelkov. Thank you.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0A\x08リュール\nYou know, I just noticed...\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0A\x08ゼルコバ\nWhat is it?\x0E\x04\x00\x00
MID_RELIANCE_S_#033	\x0E\x03\x02\x0A\x08リュール\nThe way you're speaking has changed\nsomehow. I can't put my finger on it.\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x0A\x08ゼルコバ\nHeh-heh. You're right. I've felt no need to\nsound as if my words have a deeper meaning.\x0E\x04\x00\x00
MID_RELIANCE_S_#035	\x0E\x03\x02\x0A\x08ゼルコバ\nI suppose that's because this conversation is\nalready meaningful to me.\x0E\x04\x00\x00
MID_RELIANCE_S_#036	\x0E\x03\x02\x0A\x08リュール\nHaha, I'm flattered.\x0E\x04\x00\x00
MID_RELIANCE_S_#037	\x0E\x03\x02\x0A\x08リュール\nNow, if you don't mind, I'd love to hear about\nhow you chose the materials for this necklace.\x0E\x04\x00\x00
MID_RELIANCE_S_#038	\x0E\x03\x02\x0A\x08ゼルコバ\nOf course. I will tell you the whole process,\nfrom start to finish.\x0E\x04\x00\x00
MID_RELIANCE_S_#039	\x0E\x03\x02\x0A\x08ゼルコバ\nAnd I will share how each choice along the way\nwas governed by my sentiments.\x0E\x04\x00\x00
