MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nYou journeyed across worlds for the sake of\nstrangers? You are a peculiar one.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nYou're a strategist, yeah? Please think of me as\nbackup. Like, an absolute-last-resort backup.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nIf your intent is to run, I'll simply deploy you\nsomewhere that you can't escape.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nWhy are you always trying to run away? Do\nyou have some sort of outstanding debts?\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nWhat? I'm not running from any debts. Why\nwould you think that?\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nWould you like to go for a walk or something?\nSurely even you need a change of pace?\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nI'm quite all right.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nOh... Well, if there's ever anything bothering\nyou, just let me know. I'm here for you.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nYou and I could not be more different. Please\nspare me your unwanted concern.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nマデリーン\nSir Soren, do you have time now? I would like\nto request a training bout!\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nWhy go out of your way to ask me? You must\nhave plenty of other training partners.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nYour attacks are too straightforward. It's like\nyou're telling the opponent to dodge.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nマデリーン\nYou're really watching me carefully. You always\nseem so cold and distant. This is a surprise.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nYou may want to give up on becoming a knight\nfor a time.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nHuh? D-does that... Does that mean you don't\nthink I can become a knight?\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x0A\x08セネリオ\nYou remind me of someone who was...unfit for\nthat job. You don't need to force yourself.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nI appreciate your counsel, but I will not push\nmyself beyond my limits.\x0E\x04\x00\x00
