MID_WU_C_1_IN_#001	It is morning!\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	Kidding! Still morning.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	Oh, I know this look.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	Mm-hmm.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	Princess Ivy makes that face often.\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	Wake up, my friend!\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	Hello!\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	You are up early!\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	Will you go out with me now?\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	Still sleeping?\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	I have more questions for you.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	Well...\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	That can wait until later.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	Ah.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	Still sleepy, I see.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	Get some rest.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	I will make certain you are not disturbed.\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	Early to bed, early to rise, as they say!\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	Who calls upon you? It is I, Kagetsu of Elusia!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	I have succeeded in waking you.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	Good! We have much to discuss.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	It seems you have become used to my voice.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	Divine One?\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	You are alive in there, are you not?\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	Phew, you woke up!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	If you hadn't...\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	I would have been distraught!\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	I have arrived!\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	I will now honor our bond of friendship by\nwaking you.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	Rise and shine!\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	Excellent.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	Today will be good.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	You said that friends help one another through\ntheir darkest moments.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	Those words changed me.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	Thank you for your wisdom, Divine One.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	Y-you heard all of that?\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	No matter. I meant every word.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	And I will help you through your darkest\nmoments as well!\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	Cherished partner!\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	I do enjoy calling you that.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	Was I too loud just now? Apologies.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	I was happy to see you.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	Allow me to correct my mistake.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	Here, I will greet you more softly.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#005	Good morning.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	I see that my voice no longer wakes you!\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	You are accustomed to me.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	That is expected of one's partner, of course.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	It makes me glad.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	This love may have come to us unexpectedly...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	But each time I see this Pact Ring on my hand,\nI am filled with happiness all over again.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	I love you, Divine One.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	My partner is awake.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	I will set the mood.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	On this day, as on every other...\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	I devote my love and my skill to you completely.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	I am early! I did not want to wait.\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	May I come in?\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	My partner is awake already?\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	Bright and early.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	I want to hold you and never let go. But I\nsuppose I must...\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	Eventually.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	Sound asleep.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	If only my cherished partner did not have to\nfight in battle.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	I wish to take away all of your pain.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	But I know you are much too kind and giving\nto be content with that.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	Whatever you must endure to grow stronger,\nI will have to allow it.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	Vexing as it may be.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	Good morning!\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	Are you ready to face today's battles?\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	I have a secret.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	In the future I have seen...\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#005	we live happily ever after.\x0E\x04\x00\x00
