MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nHello, Jean. You are an aspiring *doctor,* yes?\nWould you come here a moment?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nI am surprised to be a *subject* in it, but I\ncannot say that I mind leaving an impression.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ゼルコバ\nPlease, send this along to her as well. I call it\nthe...*obsidian oil.*\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ジャン\nObsidian this time?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ゼルコバ\nIt is absorbed through the skin. It should\nsoothe your mother's *ailing* hips.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06ジャン\nThank you, Zelkov. For this, and for everything\nelse you gave me.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08ゼルコバ\nYou can thank me by taking good care of her.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08ゼルコバ\nI never had the opportunity to show my parents\ngratitude. I regret that every single day.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08ゼルコバ\nDo not make the same mistake I did. Let them\nsee how much you care while they are still here.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06ジャン\nI will, Zelkov. I'll be a good son for both of us.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0A\x08ゼルコバ\nI appreciate it.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06ジャン\nAnd more than that, I'll be a good friend for\nyou too.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x08\x06ジャン\nI hope you'll come find me the next time you're\nmaking medicine!\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0A\x08ゼルコバ\nThat...means a great deal to me.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0A\x08ゼルコバ\nI mean to say, I will *gladly* accept your offer.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0A\x08ゼルコバ\nThank you, Jean.\x0E\x04\x00\x00
