MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06セピア\x021\x0E\x03\x02\x08\x06セピア\nOn a battlefield far from all you know, how will\nyou prove your bravery?\x0E\x04\x02\x00
MID_OP2_#038	Of course. What was I thinking? I was there\nwhen we buried the Divine Dragon.\x0E\x04\x02\x00
MID_OP2_#039	I held that lifeless hand in mine as we said\nour goodbyes...\x0E\x04\x02\x00
MID_OP2_#040	...\x0E\x04\x00\x00
MID_OP2_#041	\x0E\x03\x02\x10\x0EE002_エル\nI know this is difficult, Zelestia.\x0E\x04\x00\x00
MID_OP2_#042	\x0E\x03\x02\x18\x16E002_セレスティア\nForgive me.\x0E\x04\x02\x00
MID_OP2_#043	I shouldn't have gotten so emotional. That loss\nwas just as difficult for the two of you.\x0E\x04\x02\x00
MID_OP2_#044	Divine One, my name is Zelestia. I am a\nMage Dragon of some small renown.\x0E\x04\x02\x00
MID_OP2_#045	I always considered both you and Queen\nLumera of this world to be my family.\x0E\x04\x02\x00
MID_OP2_#046	It's an honor to make your acquaintance.\x0E\x04\x00\x00
MID_OP2_#047	\x0E\x03\x02\x0A\x08リュール\nNo, please. Let's skip past "acquaintances" and\njust be friends.\x0E\x04\x00\x00
MID_OP2_#048	\x0E\x03\x02\x18\x16E002_セレスティア\nHow funny! That's just what the Divine Dragon\nI knew would have said.\x0E\x04\x02\x00
MID_OP2_#049	Say, is there someone like me living in your\nworld too?\x0E\x04\x00\x00
MID_OP2_#050	\x0E\x03\x02\x0A\x08リュール\nWell...\x0E\x04\x00\x00
MID_OP2_#051	\x0E\x03\x02\x18\x16E002_セレスティア\nHaha, silly of me to ask!\x0E\x04\x02\x00
MID_OP2_#052	Of course she's there, and no doubt a great\nhelp in your fight against Sombron.\x0E\x04\x00\x00
MID_OP2_#053	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_OP2_#054	\x0E\x03\x02\x10\x0EE002_エル\nWhat news of Firene Castle, Zelestia? You were\nstationed there for some time.\x0E\x04\x00\x00
MID_OP2_#055	\x0E\x03\x02\x18\x16E002_セレスティア\nIndeed, I was. Firene is making plans to invade\nits northern neighbor.\x0E\x04\x00\x00
MID_OP2_#056	\x0E\x03\x02\x10\x0EE002_エル\nBrodia.\x0E\x04\x00\x00
MID_OP2_#057	\x0E\x03\x02\x18\x16E002_セレスティア\nThe idea was Princess Céline's─it's technically\nstill waiting for King Alfred's approval.\x0E\x04\x02\x00
MID_OP2_#058	But that hasn't stopped the young princess\nfrom mustering a force of elite knights.\x0E\x04\x02\x00
MID_OP2_#059	We can no longer stand by and simply watch\nhow this unfolds.\x0E\x04\x00\x00
MID_OP2_#060	\x0E\x03\x02\x10\x0EE002_イル\nAgreed. We must go to the castle and head off\nthis war before it begins.\x0E\x04\x00\x00
MID_OP2_#061	\x0E\x03\x02\x18\x16E002_セレスティア\nAnother thing... Firene's Emblem has been\naltered somehow since the last time I saw it.\x0E\x04\x02\x00
MID_OP2_#062	We'll need to be careful.\x0E\x04\x00\x00
MID_OP2_#063	\x0E\x03\x02\x10\x0EE002_エル\nYes. Now, let us proceed to the castle and\nreclaim the Bracelet of the Brash General.\x0E\x04\x00\x00
MID_OP2_#064	\x0E\x03\x02\x0A\x08リュール\nI only hope Alfred and Céline are willing to\ntalk with us.\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x18\x12E002_Boss\x021\n\x0E\x03\x00\x18\x12E002_Hide\x022\n\x0E\x03\x00\x14\x0EE002_エル\x023\n\x0E\x03\x00\x14\x0EE002_イル\x024\n\x0E\x03\x02\x14\x12E002_Hide\nStill, Alfred? Still undecided about whether\nto invade?\x0E\x04\x00\x00
MID_OP3_#002	\x0E\x03\x02\x14\x12E002_Boss\nDon't rush me, Céline. This is a big decision.\nI need time to think it over.\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x02\x14\x12E002_Hide\nNo, you need to take action!\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x14\x12E002_Boss\nIt's not that easy. Brodia was our ally. If we pick\na fight with them, there's no going back.\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x14\x12E002_Hide\nSince Mother and our retainers died in the\nlast war, it falls to us to defend our people.\x0E\x04\x02\x00
MID_OP3_#006	Don't you know they are suffering? With the\nDivine Dragon gone, the world is falling to ruin.\x0E\x04\x02\x00
MID_OP3_#007	Our crops and flowers are losing their color.\nSoon the farms will go barren.\x0E\x04\x02\x00
MID_OP3_#008	The only possible remedy is to expand our\nterritory and supplement our resources. Now.\x0E\x04\x00\x00
MID_OP3_#009	\x0E\x03\x02\x14\x12E002_Boss\nI know, I know─as a mining economy, Brodia\ncan spare the resources we need.\x0E\x04\x02\x00
MID_OP3_#010	So an invasion could really help us out with\nwealth and minerals.\x0E\x04\x02\x00
MID_OP3_#011	It's a decent plan, but there's a big hole in it─\nthe strength of Brodia's military.\x0E\x04\x00\x00
MID_OP3_#012	\x0E\x03\x02\x14\x12E002_Hide\nWhich is precisely why I assembled an order of\nknights to defeat them.\x0E\x04\x02\x00
MID_OP3_#013	Or is it their Emblem you worry about? That\nsilly princess is no match for the Brash General!\x0E\x04\x00\x00
MID_OP3_#014	\x0E\x03\x02\x14\x12E002_Boss\nNothing's certain. No matter how good our\nodds look, we could still lose everyone.\x0E\x04\x02\x00
MID_OP3_#015	Or don't you remember? Our retainers, so sure\nthey'd come out on top, all falling like petals...\x0E\x04\x02\x00
MID_OP3_#016	That was the same day our strongest ally,\nthe Divine Dragon, left us forever.\x0E\x04\x00\x00
MID_OP3_#017	\x0E\x03\x02\x14\x12E002_Hide\nYou have changed, Alfred. You used to be\nafraid of nothing and no one.\x0E\x04\x02\x00
MID_OP3_#018	When the Divine Dragon was lost, so too was\nyour spine. I will handle it, then.\x0E\x04\x00\x00
MID_OP3_#019	\x0E\x03\x02\x14\x12E002_Boss\nMeaning what?\x0E\x04\x00\x00
MID_OP3_#020	\x0E\x03\x02\x14\x12E002_Hide\nMeaning I will head to Brodia on my own,\nwithout your permission.\x0E\x04\x00\x00
MID_OP3_#021	\x0E\x03\x02\x14\x12E002_Boss\nWith no knights? Are you trying to get killed?\x0E\x04\x00\x00
MID_OP3_#022	\x0E\x03\x02\x14\x12E002_Hide\nFacing either death by the sword or a broken\nheart as our people die, I choose the former!\x0E\x04\x02\x00
MID_OP3_#023	Should I perish, perhaps a real hero will emerge\nand lead our people. I'm content with that.\x0E\x04\x02\x00
MID_OP3_#024	As for the Brodians, if they must suffer in order\nfor our people to live, so be it.\x0E\x04\x02\x00
MID_OP3_#025	After all, one country's loss is another's gain.\x0E\x04\x00\x00
MID_OP3_#026	\x0E\x03\x02\x14\x12E002_Boss\nI just can't get through to you, can I?\x0E\x04\x00\x00
MID_OP3_#027	\x0E\x03\x02\x14\x12E002_Hide\nIt's not your fault you were cursed with a\nstubborn fool for a sister.\x0E\x04\x02\x00
MID_OP3_#028	However, if you want her to have any hope\nof survival, you must make a choice.\x0E\x04\x02\x00
MID_OP3_#029	What will it be, Your Majesty?\x0E\x04\x00\x00
MID_OP3_#030	\x0E\x03\x02\x14\x12E002_Boss\n...\x0E\x04\x02\x00
MID_OP3_#031	You win.\x0E\x04\x02\x00
MID_OP3_#032	You're the only family I have left. If you're set\non this, I'll at least give you a fighting chance.\x0E\x04\x02\x00
MID_OP3_#033	Consider the invasion approved.\x0E\x04\x00\x00
MID_OP3_#034	\x0E\x03\x02\x14\x12E002_Hide\nThank you, Alfred.\x0E\x04\x00\x00
MID_OP3_#035	\x0E\x03\x02\x14\x12E002_Boss\nLet's go. I'll give your knights official notice to\nprepare for battle.\x0E\x04\x00\x00
MID_OP3_#036	\x0E\x03\x02\x10\x0EE002_エル\nWait. Please.\x0E\x04\x00\x00
MID_OP3_#037	\x0E\x03\x02\x14\x12E002_Boss\nWho goes there?\x0E\x04\x00\x00
MID_OP3_#038	\x0E\x03\x02\x10\x0EE002_エル\nKing Alfred. Princess Céline. It has been quite\nsome time.\x0E\x04\x02\x00
MID_OP3_#039	Pardon the interruption, but we are here to\ndiscuss an urgent matter.\x0E\x04\x00\x00
MID_OP3_#040	\x0E\x03\x02\x14\x12E002_Boss\nWell, if it isn't Nel and Nil.\x0E\x04\x02\x00
MID_OP3_#041	You know, I could have you executed for\nbarging in here uninvited.\x0E\x04\x00\x00
MID_OP3_#042	\x0E\x03\x02\x10\x0EE002_エル\nTrue. Simply return the Bracelet of the Brash\nGeneral to us and we will leave you alone.\x0E\x04\x00\x00
MID_OP3_#043	\x0E\x03\x02\x14\x12E002_Boss\nOh, please. If we turned it over, the balance of\npower between nations would fall apart.\x0E\x04\x00\x00
MID_OP3_#044	\x0E\x03\x02\x10\x0EE002_エル\nSo you intend to continue to wield it as a\nweapon against your peers.\x0E\x04\x02\x00
MID_OP3_#045	It is precisely because they do the same that\nyou now stand upon the brink of war.\x0E\x04\x02\x00
MID_OP3_#046	I do not think the Divine Dragon would find this\nbehavior acceptable.\x0E\x04\x00\x00
MID_OP3_#047	\x0E\x03\x02\x14\x12E002_Hide\nOh! You presume to speak on behalf of the\nDivine Dragon?\x0E\x04\x02\x00
MID_OP3_#048	Curious, considering your father was the one\nwho denied us divine counsel forever.\x0E\x04\x00\x00
MID_OP3_#049	\x0E\x03\x02\x10\x0EE002_イル\nHow dare you! We had nothing to do with that!\x0E\x04\x02\x00
MID_OP3_#050	How many times must we tell you that we are\nnot Sombron?\x0E\x04\x00\x00
MID_OP3_#051	\x0E\x03\x02\x10\x0EE002_エル\nControl yourself, Nil.\x0E\x04\x00\x00
MID_OP3_#052	\x0E\x03\x02\x10\x0EE002_イル\nOf course. I'm sorry.\x0E\x04\x00\x00
MID_OP3_#053	\x0E\x03\x02\x10\x0EE002_エル\nRest assured that we are making the same\njourney to each of the other bracelet holders.\x0E\x04\x02\x00
MID_OP3_#054	We are reclaiming all of them.\x0E\x04\x02\x00
MID_OP3_#055	With that in mind, there is no need for you to\nkeep Firene's any longer.\x0E\x04\x00\x00
MID_OP3_#056	\x0E\x03\x02\x14\x12E002_Boss\nHow do we know this isn't a trick to weaken us\nand strengthen our enemies?\x0E\x04\x02\x00
MID_OP3_#057	Show us proof you took the other countries'\nbracelets, and then we'll talk.\x0E\x04\x00\x00
MID_OP3_#058	\x0E\x03\x02\x10\x0EE002_エル\nFirene is our first destination. We have not\nreclaimed the other bracelets yet.\x0E\x04\x00\x00
MID_OP3_#059	\x0E\x03\x02\x14\x12E002_Hide\nThen there is nothing more to discuss─we\nmarch to Brodia.\x0E\x04\x02\x00
MID_OP3_#060	The bracelet's power is indispensable to our\ninvasion efforts. We will not simply hand it over.\x0E\x04\x00\x00
MID_OP3_#061	\x0E\x03\x02\x10\x0EE002_エル\nStill you refuse to comply. In that case, you\nhave left us with no choice.\x0E\x04\x00\x00
MID_OP3_#062	\x0E\x03\x02\x14\x12E002_Hide\nIf it's a battle you want, we will be only too\nhappy to oblige.\x0E\x04\x00\x00
MID_OP3_#063	\x0E\x03\x00\x0E\x08リュール\x024\n\x0E\x03\x02\x0A\x08リュール\nPlease, stop! I don't want to fight the two\nof you.\x0E\x04\x00\x00
MID_OP3_#064	\x0E\x03\x02\x14\x12E002_Hide\nDivine One?! No... No, of course not...\x0E\x04\x00\x00
MID_OP3_#065	\x0E\x03\x02\x14\x12E002_Boss\nHow come you...feel like the Divine Dragon?! \x0E\x04\x02\x00
MID_OP3_#066	You told us our friend was dead, you wretches!\nWere you lying to us?\x0E\x04\x00\x00
MID_OP3_#067	\x0E\x03\x02\x0A\x08リュール\nNo. I'm from another world.\x0E\x04\x00\x00
MID_OP3_#068	\x0E\x03\x02\x14\x12E002_Boss\nWhat?\x0E\x04\x00\x00
MID_OP3_#069	\x0E\x03\x02\x14\x12E002_Hide\nNo, there's only one explanation. This must be\none of the Corrupted.\x0E\x04\x02\x00
MID_OP3_#070	The Fell Dragons used their vile magic to make\nthis twisted puppet of our fallen friend.\x0E\x04\x00\x00
MID_OP3_#071	\x0E\x03\x02\x0A\x08リュール\nThat's not true! Listen to me!\x0E\x04\x00\x00
MID_OP3_#072	\x0E\x03\x02\x14\x12E002_Hide\nWe don't listen to impostors!\x0E\x04\x00\x00
MID_OP3_#073	\x0E\x03\x02\x14\x12E002_Boss\nI can't believe you Fell spawn did something\nso sick just to steal our bracelet.\x0E\x04\x02\x00
MID_OP3_#074	No doubt the tears you shed over the Divine\nDragon's death were a trick as well.\x0E\x04\x02\x00
MID_OP3_#075	I thought, as former allies, we could resolve this\npeacefully.\x0E\x04\x02\x00
MID_OP3_#076	Your deceit changes things.\x0E\x04\x00\x00
MID_OP3_#077	\x0E\x03\x02\x0A\x08リュール\nNo...\x0E\x04\x00\x00
MID_OP3_#078	\x0E\x03\x02\x14\x12E002_Boss\nKnights, get ready for battle! See to it that\nSombron's children are finally put down!\x0E\x04\x02\x00
MID_OP3_#079	We'll bring their severed heads to Brodia as a\nsymbol of our might!\x0E\x04\x00\x00
MID_OP3_#080	\x0E\x03\x02\x14\x12E002_Hide\nYes! There is the brother I know─the fearsome\nman they called the Prince of Strewn Flowers.\x0E\x04\x02\x00
MID_OP3_#081	Now, as you did in the war, cast our foes to the\nground like so many mangled roses!\x0E\x04\x00\x00
MID_OP3_#082	\x0E\x03\x02\x14\x12E002_Boss\nIf your spirit is trapped in there, Divine One, I'll\nset you free.\x0E\x04\x00\x00
MID_OP3_#083	\x0E\x03\x02\x0A\x08リュール\nAlfred, no...\x0E\x04\x00\x00
MID_OP3_#084	\x0E\x03\x00\x14\x0EE002_イル\x024\n\x0E\x03\x02\x10\x0EE002_イル\nIt seems conflict is unavoidable.\x0E\x04\x00\x00
MID_OP3_#085	\x0E\x03\x00\x1C\x16E002_セレスティア\x024\n\x0E\x03\x02\x18\x16E002_セレスティア\nI knew this would happen. But it's just as well.\x0E\x04\x02\x00
MID_OP3_#086	Their disrespect for Lady Nel and Lord Nil\ncannot go unanswered!\x0E\x04\x00\x00
MID_OP3_#087	\x0E\x03\x02\x10\x0EE002_エル\nPrepare yourself, Divine One. These may be\nfamiliar faces, but they will show you no mercy.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01"\x12E002_Boss\x0CNormal\n\x0E\x03\x02\x14\x12E002_Boss\nSaying goodbye is always painful. I hope you\ndie without suffering.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01 \x12E002_Boss\nAngry\n\x0E\x03\x02\x14\x12E002_Boss\nSupport units, time to fortify the troops with\nyour supplies. We advance!\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01 \x12E002_Hide\nAngry\n\x0E\x03\x02\x14\x12E002_Hide\nYes, advance. And bolster your weapons so we\ncan annihilate these fools.\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01 \x12E002_Boss\nAngry\n\x0E\x03\x02\x14\x12E002_Boss\nSo it begins. Lend me your might, Emblem\nof Strength!\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01 \x12E002_Boss\nAngry\n\x0E\x03\x02\x14\x12E002_Boss\nCome and test your mettle. But there's no way\nyou can defeat the Brash General.\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01\x1E\x12E002_Boss\x08Pain\n\x0E\x03\x02\x14\x12E002_Boss\nI knew from the start...that I should have given\nthe bracelet back at the war's end...\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01$\x12E002_Hide\x0EStandBy\n\x0E\x03\x02\x14\x12E002_Hide\nFirene is all that matters. Crush those who dare\noppose her!\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01\x1E\x12E002_Hide\x08Pain\n\x0E\x03\x02\x14\x12E002_Hide\nNo... This can't be right. We were supposed to\nsucceed. I was supposed to be...happy...\x0E\x04\x00\x00
MID_BT5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01 \x12E002_Boss\nAngry\n\x0E\x03\x02\x14\x12E002_Boss\nWait...are you...me? What's going on? Is this\nsome twisted illusion of the Fell Dragon?\x0E\x04\x00\x00
MID_BT5_#002	\x0E\x03\x00\x12\x0Cアルフレッド\x02t\n\x0E\x05\x01\x16\x0Cアルフレッド\x06Sad\n\x0E\x03\x02\x0E\x0Cアルフレッド\nHmm... Looks like the Alfred in this world isn't\nso buff, either. Huh.\x0E\x04\x02\x00
MID_BT5_#003	I wonder if it's just hard for me to build muscle\nno matter which world I'm in...\x0E\x04\x00\x00
MID_BT5_#004	\x0E\x03\x02\x14\x12E002_Boss\nWhat in the world is this trickery... If you're an\nillusion, I command you to vanish!\x0E\x04\x00\x00
MID_BT5_#005	\x0E\x05\x01\x1A\x0Cアルフレッド\nSmile\n\x0E\x03\x02\x0E\x0Cアルフレッド\nWow, guess he's got more vigor than I thought.\nI'm looking forward to fighting against myself.\x0E\x04\x00\x00
MID_BT6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01&\x12E002_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E002_Boss\nCéline? Why are you fighting with the enemy?\nNo, my eyes must be deceiving me...\x0E\x04\x00\x00
MID_BT7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01\x1E\x12E002_Boss\x08Pain\n\x0E\x03\x02\x14\x12E002_Boss\nOh, Divine One... Seeing you in such a pitiful\nstate breaks my heart.\x0E\x04\x02\x00
MID_BT7_#002	\x0E\x05\x01\x1C\x12E002_Boss\x06Sad\nIt's such a shame...\x0E\x04\x00\x00
MID_BT7_#003	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x14\x08リュール\x08Pain\n\x0E\x03\x02\x0A\x08リュール\nAlfred, please. Listen to me. I don't want to\nmake things harder for you, but...\x0E\x04\x00\x00
MID_BT7_#004	\x0E\x05\x01\x1C\x12E002_Boss\x06Sad\n\x0E\x03\x02\x14\x12E002_Boss\nI bet you were told to say that. My old friend...\nDon't worry. I'll help you out.\x0E\x04\x02\x00
MID_BT7_#005	\x0E\x05\x01 \x12E002_Boss\nAngry\nI'll erase you so utterly, not even your corpse\nwill remain. No one will ever coerce you again.\x0E\x04\x00\x00
MID_BT8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01&\x12E002_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E002_Boss\nBoucheron?! You're one of the Corrupted too?\x0E\x04\x02\x00
MID_BT8_#002	\x0E\x05\x01\x1E\x12E002_Boss\x08Pain\nI wanted to see you on the battlefield one more\ntime but...not like this...\x0E\x04\x00\x00
MID_BT8_#003	\x0E\x03\x00\x10\nブシュロン\x02t\n\x0E\x05\x01\x14\nブシュロン\x06Sad\n\x0E\x03\x02\x0C\nブシュロン\nPrince Alfred... Is the "me" of this\nworld already...\x0E\x04\x00\x00
MID_BT8_#004	\x0E\x05\x01 \x12E002_Boss\nAngry\n\x0E\x03\x02\x14\x12E002_Boss\nYou died defending me, and now I have to kill\nyou myself? Damn you, Nel and Nil!\x0E\x04\x02\x00
MID_BT8_#005	But even if you are Corrupted, I hope these\nwords reach you. You were a dear friend.\x0E\x04\x00\x00
MID_BT8_#006	\x0E\x03\x02\x0C\nブシュロン\nI am sure the "me" of this world would be\ngrateful to hear that...\x0E\x04\x00\x00
MID_BT9_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01\x1E\x12E002_Boss\x08Pain\n\x0E\x03\x02\x14\x12E002_Boss\nEtie! First the Divine Dragon, and now you. Why\nare only those closest to me reappearing?\x0E\x04\x02\x00
MID_BT9_#002	\x0E\x05\x01\x1C\x12E002_Boss\x06Sad\nI couldn't even look at the flowers I left in your\nmemory. It was too hard.\x0E\x04\x00\x00
MID_BT9_#003	\x0E\x03\x00\x10\nエーティエ\x02t\n\x0E\x05\x01\x14\nエーティエ\x06Sad\n\x0E\x03\x02\x0C\nエーティエ\nForgive me. As your retainer, I should have been\nthere to protect you until the end.\x0E\x04\x02\x00
MID_BT9_#004	\x0E\x05\x01\x18\nエーティエ\nAngry\nI know how hard it is to see me like this. Let's\nfinish this battle, and I'll leave you in peace.\x0E\x04\x00\x00
MID_BT9_#005	\x0E\x05\x01 \x12E002_Boss\nAngry\n\x0E\x03\x02\x14\x12E002_Boss\nEtie, my strong and noble retainer. Please\nrest easy...\x0E\x04\x00\x00
MID_BT10_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x02t\n\x0E\x05\x01\x16\x08セリーヌ\nAngry\n\x0E\x03\x02\x0A\x08セリーヌ\nInvading Brodia... I've never had a more stupid\nidea. Open your eyes, Céline!\x0E\x04\x00\x00
MID_BT10_#002	\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01&\x12E002_Hide\x10Surprise\n\x0E\x03\x02\x14\x12E002_Hide\nWhat do you mean? Are you...me?! Is this more\nFell Dragon trickery?\x0E\x04\x02\x00
MID_BT10_#003	\x0E\x05\x01 \x12E002_Hide\nAngry\nYour pleas mean nothing. For the happiness of\nmy people, evaporate with the dew!\x0E\x04\x00\x00
MID_BT10_#004	\x0E\x03\x02\x0A\x08セリーヌ\nAll that will evaporate are your ambitions. You\nshould think hard about what you are doing.\x0E\x04\x02\x00
MID_BT10_#005	You cannot buy peace with warfare.\x0E\x04\x00\x00
