MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nWhat? Really? Here? Am I...reading this right?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アンバー\nI appreciate you trying to make me feel better...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アンバー\nBut that kind of coddling just makes me feel like\neven more of a fool.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セアダス\nI wouldn't do that. I'm telling you, Amber... You\nmade it rain─just like the cards said you would.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08セアダス\nIt didn't rain right where we were standing, but\nit did rain in a village just a few miles away.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アンバー\nIt did?!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セアダス\nIt hadn't rained there for ages. In fact, the crops\nwere on the verge of turning to dust.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セアダス\nThen all of a sudden, it started pouring.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08セアダス\nI'm telling you, it happened right after you\nfinished that weird rain chant of yours.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アンバー\nWhoa. What? No. Really? I did that? Really?!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アンバー\nI did it! I'm the legendary savior of some\nvillage somewhere!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08アンバー\nI'm so...happy. Saving people is the best feeling\nin the entire world.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セアダス\nWhen the fighting settles down, how about we\npay a visit to that village? I'll introduce you.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08セアダス\n"Hear ye, humble townsfolk. Come, meet your\nalpaca-loving savior!" Yep, that's what I'll say.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08アンバー\nNo, don't say it like that! You're making me\nsound uncool again.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セアダス\nDon't worry. I promise to properly introduce\nthe "man foretold by legend." You deserve it.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08アンバー\nYes! And when you do, I'll thank the genius\nfortune-teller that predicted me!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08セアダス\nHaha, now it's my turn to be embarrassed.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08アンバー\nWe make a pretty good duo, y'know?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08セアダス\nI don't think we have a choice. According to\nmy latest reading, we're destined to be friends.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08アンバー\nHah! Man, those cards are so smart.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08アンバー\nHere's to a budding friendship. Nothing's gonna\nrain on our parade! Uh, unless I make it, that is.\x0E\x04\x00\x00
