MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x06\x04エル\nYour disposition is softer and more elegant than\nmine. Perhaps I should learn from you.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nYou seem reserved, Eirika. I think it would be\nall right for you to assert yourself more.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x0C\nエイリーク\nAssert myself? Is that necessary? I am content\nif I can simply be of assistance to you all.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nI'd love to say hello to your brother, too, but\nhe's only around during battles. What's he like?\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0C\nエイリーク\nEphraim is strong and kind. I only wish he\nwould cease treating me like a child.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nFor me, my allies are my family. I would do\nanything to keep them safe.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0C\nエイリーク\nI feel the same about my friends. I believe that\nconviction makes us stronger.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x0C\nエイリーク\nI will lend my strength to protect those who are\nprecious to you, Zelestia. You can rely on me.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nThank you, Eirika. Although, you know, I want\nto protect you as if you were my family too.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nYour clothes are quite unusual, Gregory. Are\nthey the traditional attire of your homeland?\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nAfraid it's nothing that formal. I just dress this\nway so enemies will be scared of me.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nエイリーク\nI doubt you need any special clothing to deter\nothers from trifling with you. You're strong.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nThanks, but even if that's true, I wouldn't be\nvery intimidating if I wore the clothes I like.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nグレゴリー\nYou say I'm strong, Eirika, but I think you give\nme too much credit. Others are much stronger...\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0C\nエイリーク\nI don't believe that. Would someone who is\nweak still be fighting?\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nエイリーク\nEven fleeing is in service to fighting another\nday. I could learn from that unique strength.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nYou flatter me. I fear if I ever get too confident,\nI'll slip up. But still, thank you for that.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nマデリーン\nLady Eirika, you're a princess, aren't you? As a\nknight, I hope to learn much from you!\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nエイリーク\nPlease, there's no need to be so formal. Let's\nwork together as allies, fighting side by side.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nマデリーン\nI believe a knight should always be vigilant, but\nI often find myself lulled by your kindness.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nエイリーク\nI may lack physical strength, but I am who I am.\nThe best thing you can do is be true to yourself.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nエイリーク\x022\n\x0E\x03\x02\x0C\nマデリーン\nRoyals are so varied. From solemn and dignified\nto kind, like you and the Divine Dragon.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nIt's difficult knowing what kind of knight to be.\nI must be trusted by many types of royals.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x0C\nエイリーク\nYou shouldn't fret over it too much. Follow\nsomeone you like who appreciates you as well.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nエイリーク\nIf someone places their trust in you, others will\nfollow. That's how you gain more allies.\x0E\x04\x00\x00
