MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nYou've been making some great progress out\nthere. Your skills have really improved.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nIt seems we share a bond. My bracelet was once\nentrusted to the Firene of another Elyos.\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nReally? Oho! Looks like we have more in\ncommon than I thought!\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nYou may be hiding it behind your armor, but I\ncan see those muscles. Heh, you can't fool me.\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nI wasn't exactly trying to hide it, but...you've\ngot sharp eyes, Prince Alfred. Well spotted.\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nWe've been working together for a while now,\nbut I can't seem to build muscles as big as you.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nHmm. Perhaps we have different metabolisms?\nThough I'd say your physique is superb already.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nI appreciate you saying that, but I gotta get\nbigger to keep up with you. C'mon, let's train!\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nIf you insist! I have a few exercises that\nmight help.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nBoucheron, what's wrong? Why are you crying?\nDid something bad happen?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x0C\nブシュロン\nOh, no. Sorry if I scared you. I was just thinking\nabout the sad book I'm reading, and...\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nI've heard you're pretty good at fishing. Bet you\ncan reel in some monsters with those arms.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0C\nブシュロン\nI think we're equally matched in that regard. I'm\nsure you can catch some whoppers yourself.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nブシュロン\nI've known Prince Alfred since we were kids.\nHave you known anyone that long?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nI have. My closest friend growing up was a kid\ncalled Eliwood.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nWe didn't talk about muscles so much, but we\nliked to spar. I would love to fight him again...\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x0C\nブシュロン\nI don't know if I count as a close friend yet, but\nI hope that someday you will consider me one!\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nエーティエ\nAs a fellow fitness enthusiast, I have a vested\ninterest in your muscles. Care to chat for a bit?\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nHappy to chat. But I don't know what I'd have\nto say about my muscles...\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nYou remind me of a friend. A cleric. She really\nwas an energetic one.\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x0C\nエーティエ\nI remind you of her because...we both did\nstrength training? If so, what was her routine?\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nエーティエ\nMind if I join you for training today, Hector?\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nOf course not. Is...something wrong? You don't\nseem like your usual chipper self.\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0C\nエーティエ\nI've been struggling to think of ways to help the\nwar effort. Hoping a workout will clear my head.\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nAh, I see. I try to move around whenever I get\nfrustrated too. We'll think of something!\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nYour strength has been such a boon, Hector.\nWould you care to converse a little?\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nSure. I'd like to learn a bit more about you too.\nYou're much gentler than the Céline I knew.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nI seek peace, yet here I am slaying enemies.\nNo matter how I steel myself, it haunts me.\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nSadly, sometimes the only way to salvation is\nthrough fighting. It's a tough lesson to learn.\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nI hear you also have an older brother. Is he\nanything like Alfred?\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nWell, he's not as obsessed with muscles as the\nprince, but he's just as dedicated to his people.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nHah, I'm sure there's more to your brother than\nthat. I'd imagine he also cares for you deeply.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nPerhaps. But he sure did like causing trouble\nfor me. I appreciate you saying that, though.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x06\x04ルイ\nHector! A question for you. What comes to mind\nwhen you see two people laughing together?\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nHm? What comes to mind? Um, I guess I think,\n"They must be having fun." Why do you ask?\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nYou keep staring at me... Is there something you\nwanted to say?\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x06\x04ルイ\nSorry. I was just wondering what sort of person\nwould be best suited to stand at your side.\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x06\x04ルイ\nI've heard you mention a dear childhood friend.\nWill you tell me more of your time together?\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nYou must mean Eliwood. We traveled together\na lot. Had a sparring competition going too.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nAh, to watch two dear friends sparring with all\ntheir strength and emotion... How sublime.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nI don't know what you mean by "sublime," but\nthose days were really fun!\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06クロエ\nSo your bracelet was in the Firene of your\nworld? How strange. Did you ever meet me?\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nI did. She was quite different. For one thing, she\nhad unbelievably plain taste in food.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06クロエ\nWhat a lucky day! Look at all these dumplings\nI bought. They're stuffed with fish liver! Yum!\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nUgh. Do people actually eat those? The Firenese\nof this world sure are strange...\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06クロエ\nDo you think if we keep fighting, the world will\nbe peaceful someday? Like in my fairy tales?\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nWith so much turmoil in the world, one must\nhope things will change for the better.\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nWhen times are difficult, you need to believe in\nyour friends. Together, you will bring peace.\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x08\x06クロエ\nThat's a lovely outlook. I will fight knowing my\nfriends are there for me. You included.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nSo you're Hector. Just the sight of you is\nimpressive enough to instill confidence.\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nThanks. Pay attention and you'll see that this\narmor and axe aren't just for show!\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nYou really know how to throw your weight\naround in a fight. We should spar sometime.\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nYour combat ability is impressive too. It reminds\nme of a close friend of mine.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nAfter so many battles, I still wonder... Am I any\ncloser to becoming like my father?\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nYou are. I see you always charging ahead, and I\nknow you have the makings of a fine king.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nI appreciate your words. What I really want is to\nuse my power to help my kingdom thrive.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nThe way you think of your kingdom makes me\nwant to follow you myself. I admire your ideals!\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08アンバー\nI know you're cool and all, Hector, but that axe\nof yours is extra cool. It's got to be legendary!\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nOho! Well observed... This is an axe with a\nstory...though some of that tale is dark.\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nYou have a way with animals. I'm the opposite.\nA winged horse once crashed into me!\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x0A\x08アンバー\nWinged horse? Oh, a pegasus! Yeah, they're\ngreat. Though I have been kicked a few times.\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nYou've fought in a tourney before, haven't you?\nI'll bet you faced many tough fighters!\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x0A\x08アンバー\nI did. I fought my way frantically up to second\nplace, and became Prince Diamant's retainer!\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x0A\x08アンバー\nSince you brought it up, I guess you must enjoy\nfighting in tourneys?\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nSure do! In my world, spare time was spent in\nthe arena fighting your heart out. Good times!\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nIt is an honor to fight alongside you, Sir Hector.\nI will strive not to disappoint you.\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nNo need to be so formal. We're allies. You can\nrelax a bit.\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nI've hit something of a block right now. Would\nyou tell me about your world for inspiration?\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nNo problem. Let's see... How about I recount\nwhen my friend Eliwood and I first sparred!\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nWeren't you champion of a fighting tourney?\nHow did you defeat all those tough warriors?\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x0A\x08ジェーデ\nDefense is my specialty. I blocked their attacks\nand struck back at every opportunity.\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nGood strategy. Defensive tactics are my area\ntoo, thanks to this armor. How about a duel?\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x0A\x08ジェーデ\nTraining with you, Sir Hector... I would be\ndelighted. Let's get started.\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nSo, you're Prince Alcryst? I'm Hector. I hope we\ncan get along as battle buddies!\x0E\x04\x00\x00
MID_GR_Staluke_C_#002	\x0E\x03\x02\x0C\nスタルーク\nThat you'd greet someone much less skilled so\nenthusiastically... It's truly unexpected...\x0E\x04\x00\x00
MID_GR_Staluke_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nIf you have time, what do you say to a duel?\nI'm in the mood to swing my axe a bit.\x0E\x04\x00\x00
MID_GR_Staluke_B_#002	\x0E\x03\x02\x0C\nスタルーク\nYou would take pity on me, standing here by\nmyself. Lord Hector, how can you be so kind?\x0E\x04\x00\x00
MID_GR_Staluke_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nYou're far more skilled than you believe\nyourself to be, you know.\x0E\x04\x00\x00
MID_GR_Staluke_A_#002	\x0E\x03\x02\x0C\nスタルーク\nI'm very happy you think so, but my skill is\nnothing compared to my brother's.\x0E\x04\x00\x00
MID_GR_Staluke_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nI have an older brother too, so I get it. But don't\nforget you have unique strengths of your own.\x0E\x04\x00\x00
MID_GR_Staluke_A_#004	\x0E\x03\x02\x0C\nスタルーク\nLord Hector... Thank you. I'll try to be less of a\ndisappointment for you.\x0E\x04\x00\x00
MID_GR_Lapis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06ラピス\nYou're big and tough, huh, Hector. Makes me\nthink of the time I fought the strongest bear...\x0E\x04\x00\x00
MID_GR_Lapis_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nThat's a...compliment? But, yeah, once I even\nwithstood a collision with a winged horse!\x0E\x04\x00\x00
MID_GR_Lapis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06ラピス\nYou've got a lot of scratches on your armor.\nI guess it gets constant use, like mine.\x0E\x04\x00\x00
MID_GR_Lapis_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nYeah, it's like a partner. It helped me face the\nBlack Fang assassins that threatened my world.\x0E\x04\x00\x00
MID_GR_Lapis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x08\x06ラピス\nAfter so many battles together, might I ask a\nsmall favor?\x0E\x04\x00\x00
MID_GR_Lapis_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nIt's not like you to be hesitant. Go ahead, I'll\nhear any request from a friend.\x0E\x04\x00\x00
MID_GR_Lapis_A_#003	\x0E\x03\x02\x08\x06ラピス\nWell, the bear I took down is so huge, I can't\ncarry it. Would you lend me your strength?\x0E\x04\x00\x00
MID_GR_Lapis_A_#004	\x0E\x03\x02\x0A\x08ヘクトル\nHahaha! That's a new reason to engage. Go on,\nshow me where this bear is then.\x0E\x04\x00\x00
MID_GR_Citrinica_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nシトリニカ\nI envy you your strength. If I put in the effort,\ndo you think I could become as skilled as you?\x0E\x04\x00\x00
MID_GR_Citrinica_C_#002	\x0E\x03\x02\x0A\x08ヘクトル\nYou're training by yourself again now, right?\nAll that effort will reap rewards.\x0E\x04\x00\x00
MID_GR_Citrinica_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nシトリニカ\nI've been told I have a scary look, but you've got\nquite an intimidating stare yourself, don't you?\x0E\x04\x00\x00
MID_GR_Citrinica_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nEh, that's why my opponents get scared of me\non the battlefield sometimes, so I'll take it!\x0E\x04\x00\x00
