MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x06\x04エル\nI hear you have a history with Fell Dragons.\nDo not feel obligated to socialize with me.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0C\nラファール\nYou really are quite persistent. I suppose it is\ncommendable, albeit annoying.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x08\x06ルキナ\nWas that a compliment? We're making progress!\nI'd like to know more about the real you.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x08\x06ルキナ\nMy father's closest confidant was a vessel for\na Fell Dragon. Bonds can win out over fate.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nDo you believe we should become...friends?\nHow naive. But I will indulge you if I must.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nHello, Lucina. I'm Zelestia, a Mage Dragon. What\ntypes of dragons were there in your world?\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06ルキナ\nThere was the Divine Dragon, the Fell Dragon,\nand some that were called manaketes.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nI know you're a Mage Dragon, Zelestia, but can\nyou actually transform into a dragon?\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nNot anymore. I lost my dragonstone when my\nvillage was burned. I can't go back for it now.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nSo you came from another world and can't go\nback. That happened to me too, a long time ago.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nI did, but I have no regrets. I feel like saving this\nworld will save my home too somehow.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06ルキナ\nI know how you feel. I'll devote all my strength\nto helping you make that happen.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nThank you, Lucina. I believe that we can save\nthis world together.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nI'm curious... Why do you wear such frightening\nclothing, Gregory, when you are so gentle?\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nI mean, I'd prefer to wear fluffy, gentle clothing.\nBut wearing this makes enemies think twice.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nI've been thinking...what if you were to wear\nan imposing pattern, but on fluffy clothes?\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nWhoa, you even drew it out? Wyverns and\nwolves on a frilly outfit? This is cutting-edge!\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nThanks for designing that outfit for me, but I\ndon't think I'll wear it until the fighting is over.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x08\x06ルキナ\nOh...did you not like it? I'm sorry, I didn't mean\nto bother you with my strange fashion choices.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nOh, it's not that! I just didn't want to associate\nit with pain and battle. It makes me too happy.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x08\x06ルキナ\nIn that case, let us win this war quickly. We can\ncelebrate our new peace with a fashion show!\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nThat was some excellent fighting earlier. It feels\nlike you're using our bond for a good purpose.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nOh...I was just carrying out my duty as a knight.\nIt doesn't warrant such praise, Lady Lucina.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0C\nマデリーン\nI heard you lost your parents and friends as\nwell, Lady Lucina. How did you...move on?\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x08\x06ルキナ\nI haven't moved on. Even now, I still feel that\npain. So, when you're sad, please tell me.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0C\nマデリーン\nSo many of those I've lost were great knights.\nI worry whether I'll ever measure up to them.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x08\x06ルキナ\nI understand. I aspired to be like my late father.\nIt's a difficult thing to follow in such footsteps.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x08\x06ルキナ\nBut those who survived aren't alone. I'll be here\nbeside you as you become a magnificent knight.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nThank you! With you by my side, I'll become\nstrong enough that my name will be renowned.\x0E\x04\x00\x00
