MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ロサード\nWhat's the matter, Louis? Can't take your eyes\noff me?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ルイ\nAs I recall, you have a knack for drawing\nlandscapes with both speed and skill.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ロサード\nYup! My not-so-hidden talent.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ルイ\nBut what is your subject here? The scenery\naround us is somewhat drab.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ロサード\nYou, silly! I'm gonna draw you.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ロサード\nI want a picture of you and me together.\nI'll add myself later.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ルイ\nBut wouldn't a simple self-portrait be much\nmore attractive on balance? I should think so.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ロサード\nMaybe, but that's not what I'm going for. My\nown cuteness isn't important for this one.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04ルイ\nI beg your pardon?!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ロサード\nI want a picture with you, Louis.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ロサード\nI want a way to remember my friend when he's\nnot around.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04ルイ\nWhy, Rosado. How sweet of you!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ロサード\nHehe, I try.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04ルイ\nWould you mind if I wore a mask?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ロサード\nA mask?! Just because it's not all about looks\ndoesn't mean I don't want to draw your face!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ルイ\nIt was only a suggestion.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ロサード\nKeep your suggestions to yourself.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ロサード\nEveryone else blushes and does what I say.\nWhy are you the difficult one?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x06\x04ルイ\nForgive me. I'm happy to be a part of your art,\nof course, but it's also a bit embarrassing.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ルイ\nI'm not, um...cute.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ロサード\nLet me stop you there. You're absolutely cute.\nEspecially when you're embarrassed.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ロサード\nThis is just a little memento for us to look back\non, that's all. If you don't want it, that's fine.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ロサード\nBut picture me, years from now, an old man─\ndesperate to remember my dear friend Louis.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04ルイ\nVery well. For the sake of my friend and his\npassion, I shall accept my fate.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ロサード\nThank you! OK, hold still a minute. This won't\ntake long.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08ロサード\nSomeday we'll want to look back on this\nmoment. Now we'll have the perfect visual aid!\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x06\x04ルイ\nIf I must endure this to commemorate our\nfriendship, then I shall do so gladly.\x0E\x04\x00\x00
