MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0C\nスタルーク\nJe fais le serment de te protéger, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nスタルーク\nC'était de ma faute. Je n'ai pas réfléchi à ce que\ntu pourrais ressentir en disant ce que j'ai dit.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nスタルーク\nCependant... Il y a une chose que je maintiens.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nスタルーク\nJe pense vraiment que tu es une personne\nformidable, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ラピス\nC'est... Je ne suis pas quelqu'un de formidable.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nスタルーク\nSi, tu l'es. Je sais que tu l'es.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nスタルーク\nJe sais que tu envoies toujours une partie\nde ta solde chez toi pour aider ta famille.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nスタルーク\nJe sais aussi que tu passes ton temps libre à\néloigner les bêtes dangereuses qui rôdent\ndans les parages.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ラピス\nComment... savez-vous ça...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nスタルーク\nTu apportes tellement plus à ce monde que moi,\nLapis.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nスタルーク\nC'est pour ça que je...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ラピス\nC'est pour ça que vous répétez sans arrêt\nque c'est à vous de me protéger.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ラピス\nOh...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ラピス\nPrince Alcryst... Vous ne vous rendez\npas compte...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06ラピス\nÇa me brise le cœur de vous entendre parler\nainsi.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06ラピス\nJe suis désolée... Je dois y aller.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x01\x08\x06ラピス\n\x0E\x03\x02\x0C\nスタルーク\nEh bien... Je suis décidément nul.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nスタルーク\nJe n'arrive même pas à dire à ma vassale\nà quel point je l'apprécie sans la blesser...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nスタルーク\nJe ne mérite pas d'être le maître de qui\nque ce soit.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x08\x06ラピス\nJe fais le serment de vous protéger,\nPrince Alcryst !\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nスタルーク\nLapis ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ラピス\nComme je n'arrête pas de le répéter, je suis\nvotre vassale. Mon rôle est de vous protéger.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ラピス\nMais je ne le fais pas par obligation.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ラピス\nJe veux vous protéger.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nスタルーク\nMais pourquoi voudrais-tu me protéger ?\nJe n'en vaux pas la peine...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ラピス\nVoilà ! Ça, là ! C'est exactement ce dont\nje parle quand je dis que vous ne vous\nrendez pas compte.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nスタルーク\nTu l'as dit toi-même... je ne me rends pas\ncompte de ce que tu ressens...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ラピス\nIl ne s'agit pas de mes sentiments, Prince\nAlcryst. Vous ne vous rendez pas compte\nque vous êtes quelqu'un d'exceptionnel.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nスタルーク\nExceptionnel ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ラピス\nVous êtes si perspicace. Vous savez toujours\ntellement de choses sur les autres.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ラピス\nPourtant, vous ne voyez que leurs qualités.\nVous décelez des talents que personne\nd'autre ne remarque.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ラピス\nJe ne compte même plus les fois où vous\nm'avez remonté le moral en me rappelant\nce pour quoi je suis douée.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nスタルーク\nSi je remarque facilement les talents des gens,\nc'est parce qu'ils en ont tous plus que moi.\nTellement plus...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ラピス\nNon, c'est faux. C'est parce que vous êtes\nune bonne personne, Prince Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ラピス\nVous êtes doué, et bon, et plein de charme...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ラピス\nEt pourtant, vous sacrifieriez votre vie pour\nprotéger celle des autres, même celle de vos\nvassaux qui sont censés vous protéger.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ラピス\nVous croyez vraiment que ça me rendrait\nheureuse ?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nスタルーク\nOh...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nスタルーク\nDans ce cas... pourquoi ne pas faire un pacte\nde protection ?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06ラピス\nC'est-à-dire ?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nスタルーク\nÇa veut dire que je jure de te protéger et que...\nj'accepte ta protection. Et inversement pour toi.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nスタルーク\nAinsi, nous pouvons tous deux protéger\nquelqu'un qui nous est cher, et accepter\nd'être protégé en retour.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ラピス\nHé, ça me plaît. Vous raisonnez enfin comme\nle prince au grand cœur que vous êtes !\nJe suis partante !\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nスタルーク\nRavi de l'entendre. Reprenons depuis le début,\nmais ensemble, cette fois.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nスタルーク\nJe fais le serment de te protéger, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06ラピス\nEt je fais le serment de vous protéger,\nPrince Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nスタルーク\nMerci... et j'accepte.\x0E\x04\x00\x00
