MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アンバー\nQuoiii ?! Mais vous êtes quoi, au juste ?\nUne Aberration ou autre chose de ce genre ?!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アンバー\nBon, allez, assez plaisanté. C'est à mon tour de\nmonter la garde, je prends la relève. Rompez.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06モーヴ\nNon merci.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アンバー\nC'est pas possible, cet entêtement ! J'aurais\npréféré ne pas en arriver là, mais je vais devoir\nvous relever de votre poste par la force...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アンバー\nAïe !\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06モーヴ\nQu'est-ce qui vous arrive ?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08アンバー\nJe crois que... je me suis froissé... un muscle.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06モーヴ\nHa ! On dirait bien qu'au final, c'est vous qui\navez besoin d'un peu de repos.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\nTiens, Mauvier. Encore de garde, aujourd'hui ?\nVoulez-vous que je vous tienne compagnie ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06モーヴ\nVotre muscle froissé ne vous fait pas souffrir ?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アンバー\nHa ha ! C'était trois fois rien. Tout est rentré\ndans l'ordre en un rien de temps !\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06モーヴ\nJe vois. Tant... m-mieux.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アンバー\nMauvier ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06モーヴ\nNe vous inquiétez pas. Tout va bien.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アンバー\nVous n'aviez pas l'air d'aller si bien que ça...\nAsseyez-vous. Je vais vous chercher de l'eau !\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08アンバー\nAlors ? Ça va mieux ?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06モーヴ\nOui, je vous remercie. Je devais être fatigué,\nen fin de compte.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08アンバー\nHé hé... Je le savais. Honnêtement, je me sens\nsoulagé de vous entendre l'admettre.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06モーヴ\nHmm ?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アンバー\nCela prouve que vous êtes bel et bien humain,\nen fait ! J'avais quelques doutes. Arrêtez donc\nde repousser sans arrêt vos limites, d'accord ?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06モーヴ\nHa ha ! Je cède devant votre sollicitude\nà mon égard.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アンバー\nOui, ça vaut mieux ! Tenez, buvez une gorgée\nde ceci. C'est une potion secrète légendaire\nqui soulage la fatigue.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06モーヴ\nVraiment ? Hm. Son odeur n'est pas rassurante.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アンバー\nPas rassurante... ? Comment cela ?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06モーヴ\nCeci n'est nullement une potion secrète qui\natténuerait la fatigue. C'est juste un laxatif.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アンバー\nHein ? Non... S-Sûrement pas !\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06モーヴ\nOù avez-vous déniché ce flacon ? J'ai bien\nfailli en boire...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08アンバー\nOuais... il s'en est fallu de peu. Ha ha... Ha...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06モーヴ\nQue vous arrive-t-il ?\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08アンバー\nJe crois bien que... j'en ai pris une petite gorgée\ntout à l'heure, pour l'essayer...\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06モーヴ\nHmm ?\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0A\x08アンバー\nOooh, c'est horrible. Ça fait effet... Je sens\nque ça fait un effet du tonnerre !\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x08\x06モーヴ\nDonc, encore une fois, c'est vous qui allez avoir\nbesoin de repos, pendant que je continuerai\nà monter la garde...\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x08\x06モーヴ\nAllez donc vous reposer. Je vais reprendre\nmon tour de garde.\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x0A\x08アンバー\nJe vous en prie... Ne dites rien à Jade...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08アンバー\nAh, mon cher Mauvier ! De garde, encore une\nfois ? Il n'y a pas moyen de vous arrêter, hein ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06モーヴ\nEt comment va votre ventre, aujourd'hui ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アンバー\nOh... Ha ha ! Tout va bien de ce côté-là, merci.\nEt vous, vous ne vous sentez plus fatigué ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06モーヴ\nComme je vous le répète à chaque fois,\nne vous en faites pas pour moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アンバー\nIl n'y a pas à dire, vous êtes un vrai roc.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アンバー\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アンバー\nDites... ça vous tracasse, parfois ? De vous être\nbattu pour l'ennemi, avant, et tout ça ?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06モーヴ\nJe préfère ne pas discuter de ce sujet.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アンバー\nJe m'en doutais. La culpabilité vous ronge,\npas vrai ?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06モーヴ\nCe serait mentir que d'affirmer le contraire.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06モーヴ\nIl suffit de peu pour que les autres perdent\nconfiance en vous. Regagner cette confiance\nest une tâche bien plus difficile.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アンバー\nJe le savais. C'est pour ça que vous travaillez\navec autant d'acharnement !\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08アンバー\nNe vous tracassez pas pour cela. Tout le monde\nsait que vous êtes de notre côté, désormais.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06モーヴ\nMais c'est seulement parce que vous répétez\npartout que je travaille avec acharnement et\nque je suis entièrement dévoué à la cause.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アンバー\nHein ?! Comment le savez-vous ?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06モーヴ\nIl n'est pas bien difficile de savoir ce que disent\nles autres, nos forces sont peu nombreuses.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08アンバー\nJe crois que nous nous sommes bien trouvés...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06モーヴ\nC'est étrange, mais je constate que mon humeur\ns'améliore lorsque vous êtes dans les parages.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06モーヴ\nEt quand je vous vois, je sais être en présence\nd'un ami.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08アンバー\nPas étonnant. Beaucoup de gens disent que\nmon amabilité est la seule qualité qui rachète\nmes maladresses...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06モーヴ\nHa ha ! Vous avez vraiment entendu dire ça ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08アンバー\nPratiquement. Je crois que nous n'avions guère\neu l'occasion de nous adresser la parole avant\nces dernières nuits, hein ?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アンバー\nIl nous reste encore largement le temps, avant\nque l'aube se lève. On pourrait en profiter\npour discuter ?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06モーヴ\nOui. Je crois que cela me ferait très plaisir.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08アンバー\nOK ! L'aimable Amber va vous donner le sourire\njusqu'au lever du jour ! Enfin... si mes intestins\ndétraqués m'en laissent le loisir. Ouuuh...\x0E\x04\x00\x00
