MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nCe repas était-il à votre convenance,\nVotre Divinité ?\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nMerci. Je suis très touché\x0E\x0A\x00\x06
MID_RELIANCE_S_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVous m'en voyez ravie.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVotre Divinité, si je puis me permettre...\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIl y a quelque chose que j'aimerais vous dire.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nDe quoi s'agit-il ?\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIl n'y a pas si longtemps, j'aurais sans doute\ndissimulé mes sentiments en prétendant que\nc'était vous qui en pinciez pour moi.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMais ça, c'était l'ancienne Goldmary. Grâce à\nvous, j'ai suffisamment confiance en moi pour\nvous ouvrir mon cœur, désormais.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe suis amoureuse de vous, \x0E\x06\x03\x00.\nUn peu plus chaque jour.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nVraiment ?\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe vous en prie, dites-moi que c'est réciproque.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDites-moi que je suis la compagne parfaite\nà vos yeux.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nLa compagne parfaite ?\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nHé hé ! Même en de telles circonstances, vous\ndemeurez perfectionniste. J'avoue que ça ne\nmanque pas de charme.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nPardonnez-moi si je reste coi\x0E\x0A\x00\x08
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nMais je ne vois pas qui pourrait bien faire\nune partenaire plus parfaite. J'aimerais\ndonc vous donner ceci.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0E\x0Cゴルドマリー\nL'Anneau du Pacte... On se croirait\ndans un rêve.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nVous ne rêvez pas. Essayez-le.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAh, regardez ! Il me va parfaitement !\nLa parure idéale pour mes adorables menottes.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nJe n'aurais pas mieux dit.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVoilà qui est charmant de votre part. Mais\npassons à table, voulez-vous ? Le repas\nva refroidir.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nBonne idée. Mangeons.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIl me semble que je devrais m'excuser auprès\ndu monde entier. Nulle autre que moi n'a jamais\neu la chance d'être aussi heureuse.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0E\x0Cゴルドマリー\nD'ailleurs, je lève mon verre à ces paroles.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0E\x0Cゴルドマリー\nÀ la nôtre, et à la jalousie du monde entier.\nJe veux demeurer auprès de vous pour\nle restant de mes jours.\x0E\x04\x00\x00
