MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nPrince Diamant, je dois absolument voir\nvos techniques. Affrontons-nous en duel.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nJe mettrai en jeu mon honneur de prince\nhéritier et t'affronterai jusqu'à ce que tu\nimplores ma pitié.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06カゲツ\nCe sont des paroles audacieuses. Mais sur\nmon arme, je fais le serment que la victoire\nsera mienne !\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nTon arme est impressionnante, c'est vrai.\nOn voit bien que tu l'affûtes souvent.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06カゲツ\nLes armes sont le reflet de notre âme.\nJe m'occupe de la mienne tous les jours.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06カゲツ\nVotre arme est également pleine de\npuissance et de prestance.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nAh, la culture brodienne place la force\nau-dessus de toute autre valeur. Mon épée\nse doit d'en être le symbole.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nEt tout comme toi, je considère qu'elle\nest bien plus qu'une arme.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06カゲツ\nC'est intéressant. Malgré nos cultures\ndiamétralement opposées, notre perception\ndes armes nous rapproche.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nC'est passionnant, tout ce qu'on peut\napprendre de quelqu'un uniquement en\ncroisant le fer avec lui.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06カゲツ\nOui, on dévoile ainsi des choses que les mots\nne peuvent exprimer. J'ai hâte d'être à notre\nprochain duel.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nEncore une égalité. Je n'en reviens pas.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06カゲツ\nMoi non plus. Vous êtes bien plus fort que\nla dernière fois... J'étais sûr de l'emporter,\naujourd'hui.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nMoi aussi. Tu as redoublé d'effort à\nl'entraînement après notre dernier duel,\nn'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06カゲツ\nUn bon adversaire donne toute la motivation\nsuffisante pour vouloir s'améliorer. Merci,\nPrince Diamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nEst-ce pour cela que tu voulais m'affronter ?\nTu désirais t'améliorer ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06カゲツ\nOui, mais en partie seulement.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06カゲツ\nAvant tout, je veux voir comment fonctionne\nle monde.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nComment cela ?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06カゲツ\nLes autres cultures fourmillent de différences\nque je ne saisis pas, tant sur le plan idéologique\nque pour les coutumes ou la philosophie.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06カゲツ\nLes similarités n'en sont pas moins nombreuses.\nNotre perception de nos armes, par exemple.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06カゲツ\nComme vous, je pense que croiser le fer peut\nêtre bien plus instructif qu'une conversation.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06カゲツ\nEt c'est pourquoi je parcours le monde en quête\nd'adversaires aussi forts qu'intéressants.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nAh, c'était donc cela, ton objectif...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nJe t'avoue être jaloux. Mon statut m'empêche\ntrès souvent de voyager comme je l'entends.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06カゲツ\nJe serais heureux de vous faire le récit de\nmes voyages, pour que vous puissiez les vivre\npar mon biais.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nJ'en serais enchanté. Les récits d'aventure\nne sont pas pour me déplaire !\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nEuh... Excusez-moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06カゲツ\nHa ha ! Ce n'est rien. Notre duel a dû\nvous mettre en appétit !\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06カゲツ\nTenez, voilà des onigiri. C'est fait avec du\nriz. C'est à la fois délicieux et rafraîchissant.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nOh... La forme est bizarre, mais la nourriture\nne se refuse pas.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nC'est... C'est vraiment aigre !\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06カゲツ\nIls contiennent des pruneaux salés.\nN'apaisent-ils pas vos muscles fatigués ?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nAh, ça réveille, c'est sûr. Hm... Je pourrais\nm'y habituer, tout compte fait.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06カゲツ\nIl s'agit peut-être là d'une autre frontière\nque nous devrons franchir ensemble,\nPrince Diamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cディアマンド\nTu veux dire partager un repas ? L'idée n'est\npas déplaisante. Oublions nos armes et\nremplissons nos assiettes.\x0E\x04\x00\x00
