MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nBonjour, Prince Diamant. Je vois que je ne suis\npas le seul lève-tôt par ici.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nArgh ! C'est tout ce que vous savez faire ?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nAh ! Certes non. Voyons ce que vous direz\nde cela !\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x04\x03\x04
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe crois que ça suffira pour aujourd'hui.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nOui, en effet. C'était une excellente séance.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nC'est amusant...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nQui aurait cru que je croise un jour le fer avec\nun prince rival hors du champ de bataille ?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nEt avec le sourire, s'il vous plaît !\nOn n'a pas chômé.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nJe sais que nos royaumes ont signé un traité\nde non-agression, mais je ne m'attendais pas\nà ce qu'on en arrive là.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nÇa... m'a fait plaisir.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cアルフレッド\n« Ça m'a fait plaisir » ? Allons, vous pouvez\nfaire mieux que ça. Que diriez-vous de...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\n« Je n'aurais pas pu rêver mieux ! »\nÇa a quand même plus d'allure.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nHa ha ! En effet, c'est mieux ainsi.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nSi nos nations n'avaient pas été alliées dans\ncette guerre, nous n'aurions pas pu nous\nentraîner ensemble.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nJe suppose qu'il convient d'en être heureux.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cアルフレッド\nVoilà ! Ça, c'est une attitude positive.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0E\x0Cディアマンド\nIl me plaît de songer que lorsque la guerre\nsera finie, nous serons amis.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe ne voudrais pas briser votre enthousiasme,\nmais je ne suis pas sûr que ça arrivera.\nLes choses peuvent changer entre-temps.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0E\x0Cディアマンド\nChanger ?\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x0E\x0Cアルフレッド\nHélas, oui. Quand cette guerre sera finie...\nOn sera d'encore meilleurs potes !\x0E\x04\x00\x00
MID_RELIANCE_B_#029	\x0E\x03\x02\x0E\x0Cディアマンド\nAh ! J'aime votre façon de penser,\nPrince Alfred.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nPrince Alfred, puis-je vous parler un instant ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nBien sûr, Prince Diamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nTrouvons un endroit tranquille.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nJe ne veux pas qu'on puisse nous entendre.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x04\x03\x04
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nBien, maintenant qu'on est tous les deux,\nqu'est-ce qui est si important ?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nPrince Alfred, je vais vous faire part d'une\npréoccupation, non en tant qu'ami... mais\nen tant que prince héritier de Brodia.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nVous n'ignorez pas que le royaume de Brodia\nconsidère la puissance militaire comme\nsa priorité absolue.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nNotre royaume abrite nombre d'âmes\nambitieuses. Ceci explique cela.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nPar ailleurs, notre culture valorise la conquête\npar la force.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nContinuez...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nGrâce à Sa Majesté Ève, nos deux royaumes\nont signé un traité de non-agression.\nToutefois...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nVous ne pouvez pas me garantir qu'il sera\nhonoré indéfiniment, c'est cela ?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nEn effet.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nQu'arrivera-t-il, selon vous ?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nJe nourris mes propres espoirs, mais\nje n'entends pas les imposer à mon royaume.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nLa volonté de mon peuple passe avant tout.\nJe dois me battre pour lui offrir l'avenir qui lui\nsera le plus profitable.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe comprends. Je fais face au même dilemme.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cアルフレッド\nMais tout va bien se passer. Vous ne devriez\npas vous mettre martel en tête.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nComment pouvez-vous en être aussi sûr ?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cアルフレッド\nC'est que... Les habitants de Brodia sont\nsi charmants.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cディアマンド\nJe n'arrive pas à déterminer si\nvous êtes sérieux.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe ne connais pas tout le royaume, mais les\nBrodiens que j'ai rencontrés sont plutôt\nchouettes.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe les vois mal guerroyer pour le plaisir.\nC'est pour ça que je pense que tout va bien\nse passer.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cアルフレッド\nJ'ai confiance dans le peuple de Brodia\npour cela.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cディアマンド\nVous comptez sur la bonne volonté des autres ?\nMême des sujets d'un royaume voisin ?\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0E\x0Cアルフレッド\nLes gens sont les mêmes, quelle que soit\nleur origine. Qu'y a-t-il de mal à leur faire\nconfiance ?\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0E\x0Cディアマンド\nHa ha !\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0E\x0Cディアマンド\nOh, rien du tout. En fait, la confiance pourrait\nbien être la qualité cardinale d'un souverain.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0E\x0Cアルフレッド\nHé hé, je ne peux qu'être d'accord.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0E\x0Cディアマンド\nJe suis heureux de vous avoir rencontré,\nPrince Alfred.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0E\x0Cディアマンド\nQue grandisse cette amitié entre princes\nhéritiers de royaumes alliés, et que grandisse\nde même notre confiance réciproque.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0E\x0Cアルフレッド\nJ'ai hâte de coopérer avec vous,\nPrince Diamant !\x0E\x04\x00\x00
MID_RELIANCE_A_#037	\x0E\x03\x02\x0E\x0Cアルフレッド\nIl me semble que quelque chose de merveilleux\ncommence pour nos deux royaumes. Ainsi\nque pour vous et moi.\x0E\x04\x00\x00
