MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nAmber, j'ai une question pour vous.\nComment les chevaliers du royaume de\nBrodia s'entraînent-ils ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06メリン\nVous qui avez travaillé dans une écurie, vous\ndevez être intarissable à leur sujet. Je vous prie\nde me révéler tout ce que vous savez !\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アンバー\nAlors, déjà, les alpagas sont très doux.\nMais surtout, ils sont trop mignons.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アンバー\nEn revanche, ils crachent beaucoup.\nIl faut y prendre garde.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06メリン\nIls crachent ?! Mais c'est formidable !\nJe suis persuadée que je n'en serais\nnullement gênée.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アンバー\nSi si, croyez-moi. L'odeur pénètre autant\nles vêtements que les cheveux.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08アンバー\nSans vouloir me vanter, je suis devenu\nexpert en esquive de crachat d'alpaga.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08アンバー\nRegardez ça ! Et encore, il ne s'agit que\nd'esquives de base...\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08アンバー\nOh... AAAAAH !\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08アンバー\nPourquoi mes esquives les plus stylées\nse retrouvent toujours sabotées par des\ncailloux ?\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06メリン\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06メリン\nOh oui ! Je n'en attendais pas moins\nd'un chevalier brodien ! C'était tout à fait\nremarquable.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0A\x08アンバー\nHein ?\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x08\x06メリン\nLes chevaliers brodiens sont aussi forts\nqu'ils sont agiles ! Cette chute parfaitement\nmaîtrisée était grandiose !\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x08\x06メリン\nIl faudra que vous m'appreniez les secrets de\nvotre force, et prochainement, de préférence.\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x0A\x08アンバー\nAh, ça vous a plu ? Eh bien... oui ! Tout était\nprévu ! Ma force et mon agilité sont sans\nlimite !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nAmber ! J'espérais qu'aujourd'hui, vous me\ndévoileriez le secret de la force brodienne.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\nCe n'est pas vraiment un secret. Comme je l'ai\ndit plus tôt, ma force vient surtout de mes\nannées de travail à l'écurie.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06メリン\nHmm. À vous entendre, il est important\nd'améliorer son endurance ?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アンバー\nOh que oui ! Plus on est endurant,\net plus on peut s'entraîner !\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06メリン\nJe vois. C'est très utile.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06メリン\nEt dire que l'on peut améliorer son endurance\nen s'occupant d'alpagas ! Voilà qui me fait\nrêver !\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06メリン\nSi seulement nous avions des alpagas,\nchez moi...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アンバー\nNe vous inquiétez pas, Merrin. Je peux vous\nenseigner tout ce que je sais, pour vous aider\nà gagner en force.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06メリン\nVous pourriez ? Et vous voudriez bien ?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\nUn peu, oui ! Alors, par quoi voulez-vous\ncommencer ? Une petite course, ou des\nexercices de renforcement abdominal ?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06メリン\nEt si nous croisions le fer... J'aimerais voir\noù je me situe en termes d'endurance.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アンバー\nOh, c'est une très bonne idée ! Et ça ne me\ndéplairait pas d'avoir une nouvelle partenaire\nde combat.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06メリン\nJ'imagine que je ne vous arriverai même pas à\nla cheville. Je n'ai plus qu'à faire de mon mieux\nen espérant ne pas trop me ridiculiser.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x04\x03\x04
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アンバー\nOh, mais...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06メリン\nJe ne peux y croire. J'ai gagné. Et cela a\nété si... facile.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アンバー\nC'est pas possible... J'ai trébuché. Alors\nque je n'étais même pas en train d'attaquer.\nJe suis vraiment un gros nigaud...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06メリン\nAttendez... Une fois de plus, vous essayez\nde me distraire avec une chute afin que\nje baisse ma garde, pas vrai ?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アンバー\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08アンバー\nJe suis désolé, Merrin, mais on va s'arrêter\nlà. La leçon est terminée pour aujourd'hui,\nd'accord ?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06メリン\nOh, très bien. Nous reprendrons une autre fois.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x0A\x08アンバー\nHé, Merrin ! Je suis vraiment désolé !\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06メリン\nPourquoi vous excusez-vous ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アンバー\nC'est au sujet de notre duel de l'autre jour.\nJe l'ai vraiment perdu en trébuchant.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06メリン\nAh bon ?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アンバー\nIl ne s'agissait pas d'une stratégie ou d'une\nmise en scène. J'ai simplement... chuté par\ninadvertance.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アンバー\nCela m'arrive souvent. Je suis assez maladroit,\npour tout vous dire.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アンバー\nJe tombe tout le temps sans faire exprès. Même\nma charge de chevalier brodien, je suis tombé\ndessus par hasard. Un simple coup de chance !\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06メリン\nJe n'y crois pas une minute.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06メリン\nJe viens moi aussi d'un petit village. Je suis\ndonc tout à fait consciente du travail que vous\navez dû fournir pour en arriver là.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06メリン\nPersonne ne devient le vassal d'un prince\nhéritier sans fournir de prodigieux efforts.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06メリン\nVous manquez peut-être de coordination,\nmais je ne doute pas un instant que vous\nêtes un chevalier hors-pair, Amber.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アンバー\nMerci de vos paroles si encourageantes, Merrin.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アンバー\nEn fait, c'est plutôt vous qui auriez des\nchoses à m'apprendre, vous ne croyez pas ?\nOn pourrait s'entraîner encore ensemble ?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06メリン\nBien sûr. Je serais honorée de m'entraîner\navec un chevalier du royaume de Brodia.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08アンバー\nGénial ! J'ai hâte qu'on commence !\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アンバー\nGrâce à votre aide, je ne serai bientôt plus\nsi maladroit, et je deviendrai un chevalier\nrespectable en un rien de temps !\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06メリン\nÀ mon avis, le secret de la force des brodiens,\nc'est votre attitude honnête.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06メリン\nJe pense que vous avez encore de nombreuses\nchoses à m'apprendre, cher ami.\x0E\x04\x00\x00
