MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nAmber. Je souhaiterais avoir une petite\n*conversation* avec vous.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08アンバー\nJe leur ai raconté que vous vouliez tricoter avec\nla célèbre laine super douce de notre ferme, et\nils m'ont dit qu'ils vous en faisaient cadeau !\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アンバー\nVous n'oseriez pas repousser ce geste de\ngénérosité de modestes éleveurs d'alpagas,\ntout de même ?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nSi c'est le bon plaisir de ceux qui m'ont fourni\nce matériau, il ne me reste d'autre choix que\nd'accepter cette décision *à contrecœur*.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nMais je leur offrirai en retour un témoignage\nde ma gratitude : un gilet d'un savoir-faire\n*impeccable*.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nPour exprimer toute ma reconnaissance, je ne\n*peux* faire moins que de surpasser la qualité\nde leurs propres réalisations.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08アンバー\nOuah ! Je suis sûr qu'au village, ça leur ferait\nsuper plaisir de recevoir un gilet tricoté par\nvos soins, Zelkov.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nAlors, marché conclu. Je n'aurai aucun repos\ntant que votre famille tout entière n'aura pas\npu *s'extasier* devant la qualité de mon tricot.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nMon bel ouvrage est *terminé*, Amber.\nVoilà ce que je vais envoyer à votre famille.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08アンバー\nOuah ! Zelkov... c'est incroyable ! Ces points...\nQuel raffinement ! Quelle maîtrise du tricot !\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アンバー\nC'est le plus merveilleux gilet que j'aie jamais\nvu, ça dépasse même ce que ma famille sait\nfaire de plus beau !\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nVoilà qui leur *démontrera* ma gratitude. Adieu.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アンバー\nHé, Zelkov ! Un instant !\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nHmm ? Qu'y a-t-il... *d'autre* ?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アンバー\nMon admiration était sincère. Vous avez réussi\nen un seul gilet à surpasser l'héritage accumulé\npar des générations de tricoteurs et tricoteuses.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アンバー\nJe sais que vous y avez consacré énormément\nd'efforts... mais vous avez sûrement aussi un\nsecret. Comment avez-vous réussi ça ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nLes activités auxquelles je m'adonne en loisirs\nm'offrent une raison de continuer à vivre.\nC'est un *garde-fou*, en quelque sorte.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アンバー\nVous voulez dire... une sorte de plan B ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nPour moi, il n'y a pas de pire perspective dans\nl'existence que de ne plus avoir de raison d'être.\nSe retrouver *dénué* de toute motivation.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nMa raison d'être est pour l'heure de veiller à\nla *sécurité* de la princesse Ivy. Mais cela\nn'aura plus de sens dès lors que la paix règnera.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nC'est pour cela que j'ai besoin d'un *garde-fou*.\nUne raison d'être secondaire, dans laquelle je\npuisse puiser du sens pour mon existence.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08アンバー\nOuah ! C'est plutôt extrême... Moi aussi,\nj'ai des objectifs dans l'existence. Mais j'essaie\nsurtout de profiter de la vie, jour après jour.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nVoilà une approche que je vous *envie*, Amber.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アンバー\nÉcoutez, Zelkov... S'il arrivait vraiment que\nvous perdiez votre raison d'être, le jour où\nla guerre prendra fin...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アンバー\nPourquoi n'iriez-vous pas vous installer dans\nmon village ? Vous savez, là où on élève\ndes alpagas ?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nQuelle *raison d'être* pourrais-je y trouver ?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08アンバー\nAttendez, c'est évident, non ?! Avec des talents\nde tricoteur comme les vôtres, l'argent\nirait tout seul dans vos poches !\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アンバー\nVous pourriez fabriquer des vêtements et des\nobjets de décoration en laine d'alpaga et passer\nla journée à caresser de véritables alpagas !\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ゼルコバ\nJ'avoue que cela aurait un certain *attrait*.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アンバー\nVous devriez vraiment aller y faire un tour,\nd'abord. Voir sur place comment c'est, avant\nde peut-être vous y installer ?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08アンバー\nMa famille tout entière vous accueillerait à\nbras ouverts, en tout cas ! À commencer\npar moi !\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ゼルコバ\nTrès bien. Je peux vous promettre que je leur\nrendrai une *visite*, c'est d'accord.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ゼルコバ\nQuoi que l'avenir nous réserve, il y aura ainsi\nau moins une chose que nous aurons hâte de\nvoir se réaliser.\x0E\x04\x00\x00
