MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0A\x08リュール\nLapis ! Je voulais vous remercier pour tout\nce que vous avez fait au cours des dernières\nbatailles.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nAvec un tel régime, vous devez atteindre\nun formidable niveau d'endurance.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ラピス\nOh, si vous voulez vous entraîner avec moi,\nvous aurez besoin d'un sac. Je vais vous en\nfabriquer un en un clin d'œil !\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nVous allez fabriquer un sac lesté ?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ラピス\nBien sûr ! Ce n'est pas si difficile. On devait\npresque tout faire soi-même, à la campagne.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nÀ la campagne ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ラピス\nAh !\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ラピス\nAaah ! Je voulais dire « EN campagne » ! Vous\nsavez, quand on part à la guerre avec les autres\nsoldats... Bon, vous voulez votre sac ?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nOh. Eh bien, j'aimerais beaucoup. C'est\nincroyable que vous puissiez faire ce genre\nde choses !\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ラピス\nOh, vous me faites marcher.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nPas du tout. Vos talents de fabrication\npourraient s'avérer très utiles sur le champ\nde bataille.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nAccepteriez-vous de m'apprendre à fabriquer\nquelque chose ? J'aimerais étendre mes\nconnaissances.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06ラピス\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06ラピス\nC'est... étrange de recevoir un compliment\npour une capacité si modeste.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06ラピス\nMais oui, je peux vous montrer tout de suite\ncomment fabriquer un sac. Regardez bien !\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08リュール\nD'accord.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リュール\nOh ! Vos mains sont si rapides ! Peut-on...\nrevenir quelques étapes en arrières ?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x08\x06ラピス\nBonjour, Votre Divinité. j'ai quelque chose\npour vous !\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nEst-ce que ce sont des outils ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ラピス\nOui ! Vous avez dit que vous vouliez apprendre\nà fabriquer des choses, et pour cela, il vous faut\nvos propres outils.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nMerci beaucoup.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ラピス\nC'est à moi de vous remercier, vraiment.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ラピス\nJe me suis longtemps dévalorisée. Grâce à vous,\nj'essaie d'y remédier.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ラピス\nVos compliments sur mes talents de fabrication\nm'ont donné davantage confiance en moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nBien ! Vous êtes vraiment formidable, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nVous avez fabriqué ce sac lesté devant moi\ncomme si ce n'était rien. J'ai encore tant à\napprendre de vous.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06ラピス\nSi vous voulez, je peux vous apprendre\nà fabriquer un râteau.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nUn râteau ? Pour quoi faire ?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ラピス\nPour récolter les patates.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nLes patates...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ラピス\nOui ! Je peux fabriquer un râteau pour tous les\ntypes de tubercules. Pommes de terre, patates\ndouces, ignames brodiennes...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nDes ignames brodiennes ?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ラピス\nEn fait, il y a « brodienne » dans le nom, mais\nça pousse partout. J'en ai même trouvé par ici !\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ラピス\nCuites à l'eau, elles sont si douces... Hm, voilà,\nj'ai faim. Bon, fabriquons ce râteau !\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nJe n'en reviens pas. Et je le répète, j'ai encore\ntant à apprendre de vous, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0A\x08リュール\nBonjour, Lapis. Vous avez un instant ?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x08\x06ラピス\nBien sûr, Votre Divinité ! Qu'est-ce que je peux\nfaire pour vous ?\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nEh bien... je voudrais vous donner ceci.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x08\x06ラピス\nOuah. Qu'est-ce que c'est ? Le travail du métal\nest magnifique. Ça a l'air rare et précieux...\nAh ! Attendez !\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x08\x06ラピス\nEst-ce... est-ce l'Anneau du Pacte ?!\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nC'est lui. Regardez à l'intérieur.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x08\x06ラピス\nPourquoi est-ce que mon nom est gravé là ?\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nJe l'ai gravé avec les outils que vous m'avez\ndonnés.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x08\x06ラピス\nQuoi ? Vous avez fait ça vous-même ?\nAvec les outils que je vous ai fabriqués ?!\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x08\x06ラピス\nMais... une gravure, ça ne s'efface pas !\nPourquoi avez-vous fait ça ?\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nJe n'ai aucune intention de l'effacer. J'ai gravé\nvotre nom à l'intérieur car je souhaite que vous\nl'ayez.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nQu'en dites-vous, Lapis. Acceptez-vous de\nporter l'Anneau du Pacte ?\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x08\x06ラピス\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x08\x06ラピス\nVous savez, il n'y a pas si longtemps, j'aurais\nété tellement gênée que j'aurais pris mes\njambes à mon cou...\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x08\x06ラピス\nMais... je tiens à vous, Votre Divinité. Et peu\nm'importe ce que les autres peuvent penser.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nEst-ce que ça signifie...\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x08\x06ラピス\nBien sûr. J'accepte cet anneau.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x08\x06ラピス\nVous y avez gravé mon nom avec tellement\nde soin... Comment pourrais-je refuser ?\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nMerci, Lapis. Je suis si content\x0E\x0A\x00\x06
MID_RELIANCE_S_#020	\x0E\x03\x02\x08\x06ラピス\nHmm... Il y a quelque chose d'important que je\ndois vous dire, Votre Divinité. Vous voyez, je...\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nVous êtes originaire d'un village de cultivateurs\nde pommes de terre situé dans la campagne\nbrodienne, c'est ça ?\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x08\x06ラピス\nHein ? Comment vous savez ça ?!\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nJe me suis un peu renseigné sur les ignames\nbrodiennes, et... il semblerait que les seuls\nà les appeler comme ça...\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x08\x06ラピス\n... sont des cultivateurs de patates.\nVous connaissez mon secret. En fait, ça me\nsoulage. C'est une part importante de moi.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nEn effet. Et c'est cette personne à qui je veux\ndonner l'Anneau du Pacte, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x08\x06ラピス\nMerci, Dragon divin \x0E\x06\x03\x00...\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x08\x06ラピス\nJe vous protégerai. Et comme nous sommes\ntous deux habiles de nos mains, fabriquons\nensemble un monde meilleur !\x0E\x04\x00\x00
