MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nBonjour, Nel. J'aimerais que nous discutions\nun instant, si vous le voulez bien.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	J'espère que nous aurons à nouveau l'occasion\nd'échanger comme cela, si tel est également\nvotre souhait.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nNel ? Auriez-vous un instant ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04エル\nVous me semblez bien sérieuse.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ヴェイル\nJ'ai beaucoup réfléchi, et j'aimerais\nvraiment que nous soyons sœurs.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04エル\nCe que vous ressentez revêt beaucoup\nd'importance pour moi, Veyle. Ce sentiment\nme laisse néanmoins perplexe.\x0E\x04\x02\x00
MID_RELIANCE_A_#005	Notre amitié ne semble pas vous suffire.\nPourquoi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ヴェイル\nJe suis heureuse que nous soyons amies,\net j'ai cru pendant un temps que cela\nme suffirait.\x0E\x04\x02\x00
MID_RELIANCE_A_#007	Mais lorsque vous m'avez parlé de vos autres\nfrères et sœurs, mon point de vue a commencé\nà évoluer.\x0E\x04\x02\x00
MID_RELIANCE_A_#008	Les sœurs ne doivent pas nécessairement\nse trahir ou se faire du mal. Ce n'est pas\nforcément ça, la famille.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Pourquoi ne pourrions-nous pas être des sœurs\nqui aiment à bavarder ensemble ou à partager\nun bon petit plat bien épicé ?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04エル\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ヴェイル\nEst-ce vraiment si difficile pour vous ?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04エル\nNon. Contrairement à ce qu'on pourrait croire,\nil m'est agréable d'imaginer un lien familial\nd'une autre nature.\x0E\x04\x02\x00
MID_RELIANCE_A_#013	Et s'il est possible pour des sœurs d'avoir\nune relation faite de confiance et de sérénité...\nma foi, je veux bien y songer.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ヴェイル\nDois-je comprendre que...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04エル\nJ'hésite. La joie d'accueillir une sœur se dispute\nen moi à la crainte de devoir la perdre.\x0E\x04\x02\x00
MID_RELIANCE_A_#016	La perspective de voir notre lien familial\ns'effondrer me paralyse.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ヴェイル\nJamais je ne serai votre ennemie, Nel.\nJe serai toujours de votre côté.\x0E\x04\x02\x00
MID_RELIANCE_A_#018	Même si cette guerre nous sépare, le temps\nque nous aurons passé entre sœurs demeurera.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04エル\nEntre sœurs.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ヴェイル\nOui. Je n'oublierai jamais les jours vécus avec\nma sœur, et je suis sûre que vous non plus.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	Alors si cette idée vous apporte ne serait-ce\nqu'un peu de joie... Je vous en prie, songez-y.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04エル\n...\x0E\x04\x02\x00
MID_RELIANCE_A_#023	Entendu.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ヴェイル\nVraiment ? Vous êtes sérieuse ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04エル\nMoi aussi, je désire avoir une famille.\nEt des proches à chérir.\x0E\x04\x02\x00
MID_RELIANCE_A_#026	Si tel est vraiment votre souhait, et s'il ne tient\nqu'à moi de l'exaucer... qu'il en soit ainsi.\x0E\x04\x02\x00
MID_RELIANCE_A_#027	Merci pour votre gentillesse, pour votre\ngénérosité, et pour votre persévérance.\nMerci, chère sœur.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08ヴェイル\nNon, c'est moi qui vous remercie, Nel.\nAucune parole ne saurait exprimer la joie\nque vous me procurez !\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x06\x04エル\nJe suis heureuse, moi aussi.\x0E\x04\x02\x00
MID_RELIANCE_A_#030	Mais je me demande si je devrais vous\nconsidérer comme ma grande ou ma\npetite sœur.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0A\x08ヴェイル\nDifficile de savoir qui est née la première,\nsachant que nous venons de deux mondes\ndifférents.\x0E\x04\x02\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x06\x04エル\nSi l'on se fie à nos apparences, il me semble\nque je suis l'ainée.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0A\x08ヴェイル\nQuoi ? Mais pas du tout ! J'ai de bien plus\nlongs cheveux !\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x06\x04エル\nJe ne vois pas le rapport avec la longueur\nde vos cheveux.\x0E\x04\x02\x00
MID_RELIANCE_A_#035	Peu importe, au fond. Les siècles à venir nous\nlaisseront amplement le temps de discuter\nà ce sujet.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0A\x08ヴェイル\nAbsolument. C'est une des nombreuses\nchoses que je me réjouis de partager avec\nma nouvelle sœur.\x0E\x04\x00\x00
