MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nザフィーア\nArgh... Ouais, évidemment. Ces boucles de\nmalheur peuvent pas tenir en place...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nヴァンドレ\nDu calme. Si tu te précipites maintenant, tu vas\nfinir avec un entortillement de fils inextricable.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nザフィーア\nOn a passé le stade de l'entortillement depuis\nun moment. On est plus proche du vieux filet\nde pêche échoué qui a mariné pendant dix ans.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nヴァンドレ\nHmm... Oui, je vois. Il te faut défaire les\ndernières mailles et reprendre où tu en étais.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nザフィーア\nC'est vrai ? Vous croyez ? Argh... Pas moyen.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nヴァンドレ\nN'aie crainte, ce n'est qu'une question\nd'entraînement. C'est en commettant\nces petites bévues que l'on apprend.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nザフィーア\nDes petites bévues ! Ben oui, c'est bien connu\nque je fais TOUJOURS des... Hum... Désolée,\nVander. Le tricot, c'est pas pour moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nザフィーア\nC'est bien gentil à vous de me montrer les\nficelles, mais j'ai pas la fibre.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nヴァンドレ\nVraiment ? Quelle surprise de voir un\nchevalier de Brodia déposer les armes\nà la première difficulté.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nヴァンドレ\nLes guerriers de Brodia sont pourtant connus\npour leur détermination. Il faut croire que cette\nréputation est usurpée.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nザフィーア\nOh, oh...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nザフィーア\nVous essayez de me mettre en rogne ?\nÇa vous va pas du tout. Vous devriez en\nrester aux petites choses délicates.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nザフィーア\nPar contre, pour les chevaliers brodiens, vous\navez tapé juste. On ne baisse jamais les bras,\net je vais pas commencer aujourd'hui.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nヴァンドレ\nJe t'ai peut-être un peu brusquée. Dorénavant,\nje tâcherai de te présenter mes instructions avec\nplus de tact.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nザフィーア\nNon, non. Vous vous êtes assez décarcassé\npour moi. Je me débrouillerai toute seule\npour la suite.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nザフィーア\nJe vais tricoter à vous en faire sauter les\nspalières ! Restez à l'écart et préparez-vous\nà en prendre plein la vue.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nヴァンドレ\nFort bien. J'ai hâte d'admirer le résultat.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nVander ! Mon grand projet de tricotage\nest achevé !\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nTu es arrivée au bout ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nザフィーア\nC'est rien qu'un petit sac avec un cordon...\nMais ça a de l'allure, vous trouvez pas ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nHmm... Les mailles sont régulières, la texture\nferme... Excellent ouvrage.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nヴァンドレ\nDe toute évidence le résultat d'un travail\nacharné et d'une détermination sans faille.\nC'est remarquable.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nザフィーア\nIl faut avouer qu'une fois qu'on a pris le pli,\nle tricot est... très relaxant. C'est comme de\nla méditation.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nザフィーア\nJe vois ce que vous vouliez dire maintenant,\nquand vous expliquiez que c'était une sorte\nd'entraînement.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nザフィーア\nJe vous remercie de m'avoir enseigné cela,\nVander. Et pour vous témoigner ma gratitude...\nje vous ai fabriqué ceci.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nザフィーア\nC'est rien d'extraordinaire, juste une petite\nbabiole que j'ai bricolée.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nヴァンドレ\nOh, une écharpe !\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nヴァンドレ\nLe sac était déjà excellent, mais confectionner\ncela de surcroît, et en si peu de temps...\nJe suis impressionné.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nザフィーア\nSi les chevaliers de Brodia détestent\nabandonner, ils adorent apprendre.\nIl faut bosser pour atteindre les sommets.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nヴァンドレ\nJe comprends. Toutefois, sache que tu ne me\nsurpasseras pas de sitôt, aussi talentueuse\nque tu sois !\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nザフィーア\nJe sais bien que j'ai encore du chemin à\nparcourir.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nヴァンドレ\nPlus sérieusement, je me demande si nous ne\npourrions pas nous entraîner ensemble.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nザフィーア\nNous entraîner ?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nヴァンドレ\nJe t'en apprendrai davantage au sujet\ndu tricot, tandis que tu me montreras\ntes techniques de combat.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nザフィーア\nÇa, c'est dans mes cordes !\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nザフィーア\nCe sera avec plaisir. Je suis sûre qu'on a\nbeaucoup à apprendre l'un de l'autre !\x0E\x04\x00\x00
