MAID_LueurWearM	Tenue divine
MAID_H_SolumFormal2	Tenue de fête portée par la noblesse solmoise. Très voyante, cette\ntenue est censée « mener au paradis ». (Deux versions.)
MAID_SolumFormal2M	Manteau aube
MAID_H_SolumFormal2M	Tenue de fête portée par la noblesse solmoise. Très voyante, cette tenue\nest censée « mener au paradis ». Populaire pour marcher dans le désert.
MAID_SolumFormal2F	Jupe aube
MAID_H_SolumFormal2F	Tenue de fête portée par la noblesse solmoise. Très voyante, cette tenue\nest censée « mener au paradis ». Conçue pour les plus belles danses.
MAID_SolumFormal3	Set vespéral
MAID_SolumFormal3M	Mant. vespéral
MAID_H_SolumFormal3M	Tenue solmoise offerte en signe d'amitié. Inspirée d'une légende selon\nlaquelle son porteur gagnera une fortune éternelle. S'exporte très bien.
MAID_SolumFormal3F	Jupe vespérale
MAID_H_SolumFormal3F	Tenue solmoise offerte en signe d'amitié. Imitation de la robe d'une\nprincesse de légende, sa porteuse devrait connaître la fortune éternelle.
MAID_SolumCasual1	Set soir
MAID_H_SolumCasual1	Tenue portée par les roturiers solmois. Le tissu, large et simple, est noué\nde manière traditionnelle. (Deux versions.)
MAID_SolumCasual1M	Écharpe soir
MAID_H_SolumCasual1M	Tenue portée par les roturiers solmois. Il est commun en Solm d'aller faire\ndes emplettes entre amis pour trouver le bon tissu au bon prix.
MAID_SolumCasual1F	Étole soir
MAID_H_SolumCasual1F	Tenue portée par les roturières solmoises. Le tissu est noué de manière\nstylée. Certains gardent leur couleur préférée pour un jour spécial.
MAID_SolumCasual2	Set sable
MAID_H_SolumCasual2	Tenue portée par les roturiers solmois. Le tissu aux motifs solmois va très\nbien avec des chaussures gardant les pieds au frais. (Deux versions.)
MAID_SolumCasual2M	Écharpe sable
MAID_H_SolumCasual2M	Tenue portée par les roturiers solmois. Le tissu aux motifs solmois va\nbien avec des chaussures gardant les pieds au frais sur le sable.
MAID_SolumCasual2F	Étole sable
MAID_H_SolumCasual2F	Tenue portée par les roturières solmoises. Le tissu aux motifs solmois va\nbien avec des chaussures idéales pour les longues marches dans le désert.
MAID_SolumCasual3	Set dune
MAID_SolumCasual3M	Écharpe dune
MAID_H_SolumCasual3M	Tenue solmoise offerte en symbole d'amitié. Les motifs en dunes\nreprésentent l'éternité et les tons sombres, le lien. Idéale pour la fête.
MAID_SolumCasual3F	Étole dune
MAID_H_SolumCasual3F	Tenue solmoise offerte en symbole d'amitié. Les motifs en dunes\nreprésentent l'éternité et les tons sombres, le lien.
MAID_IrcionFormal1	Set émeraude
MAID_H_IrcionFormal1	Tenue portée par la noblesse elusienne. La couche extérieure est\ndoublée de laine polaire en raison du vent et de la neige. (Deux versions.)
MAID_IrcionFormal1M	Mant. émeraude
MAID_H_IrcionFormal1M	Tenue portée par la noblesse elusienne. Le manteau est doublé de laine\npolaire tandis que les couches intérieures sont plus légères.
MAID_IrcionFormal1F	Robe émeraude
MAID_H_IrcionFormal1F	Tenue portée par la noblesse elusienne. La couche extérieure est doublée\nde laine polaire en raison du vent et de la neige. Décorations faites main.
MAID_IrcionFormal2	Set en laine
MAID_H_IrcionFormal2	Tenue portée par la noblesse elusienne. Chaque vêtement est composé\nde multiples couches et leur fabrication prend des mois. (Deux versions.)
MAID_IrcionFormal2M	Manteau en laine
MAID_H_IrcionFormal2M	Tenue portée par la noblesse elusienne. Le vêtement est composé\nde multiples couches et protège de la pluie comme de la neige.
MAID_IrcionFormal2F	Robe en laine
MAID_H_IrcionFormal2F	Tenue portée par la noblesse elusienne. Le vêtement est composé\nde multiples couches dont la fabrication peut prendre des mois.
MAID_IrcionFormal3	Set étoilé
MAID_IrcionFormal3M	Manteau étoilé
MAID_H_IrcionFormal3M	Tenue elusienne offerte en signe d'amitié. Symbolise les cieux étoilés avec\nson fil d'or et sa doublure. Sa qualité est digne des articles d'un musée.
MAID_IrcionFormal3F	Robe étoilée
MAID_H_IrcionFormal3F	Tenue elusienne offerte en signe d'amitié. Symbolise les cieux étoilés avec\nson fil d'or et sa doublure. Sa qualité dépasse ce qu'on trouve au marché.
MAID_IrcionCasual1	Set épicéa
MAID_H_IrcionCasual1	Tenue portée par les roturiers elusiens. Le tissu vert foncé\npermet de se camoufler en forêt. (Deux versions.)
MAID_IrcionCasual1M	Manteau épicéa
MAID_H_IrcionCasual1M	Tenue portée par les roturiers elusiens, surtout les bûcherons.\nLe tissu vert foncé permet de se camoufler en forêt.
MAID_IrcionCasual1F	Étole épicéa
MAID_H_IrcionCasual1F	Tenue portée par les roturières elusiennes. Le tissu vert foncé permet de\nse camoufler en forêt. L'étole arbore le motif le plus ancien d'Elusia.
MAID_IrcionCasual2	Set verdoyant
MAID_H_IrcionCasual2	Tenue portée par les roturiers elusiens. Le motif à quatre couleurs\nelusien porterait bonheur. (Deux versions.)
MAID_IrcionCasual2M	Mant. verdoyant
MAID_H_IrcionCasual2M	Tenue portée par les roturiers elusiens. Le motif à quatre couleurs\nelusien porterait bonheur. Très populaire au printemps.
MAID_IrcionCasual2F	Étole verdoyante
MAID_H_IrcionCasual2F	Tenue portée par les roturières elusiennes. Le motif à quatre couleurs\nelusien porterait bonheur. L'étole est étonnamment longue.
MAID_IrcionCasual3	Set neige
MAID_IrcionCasual3M	Manteau neige
MAID_H_IrcionCasual3M	Tenue elusienne offerte en signe d'amitié. Le motif est orné de symboles\nanciens représentant la puissance magique et la beauté d'Elusia.
MAID_IrcionCasual3F	Étole neige
MAID_H_IrcionCasual3F	Tenue elusienne offerte en signe d'amitié. Le turquoise vif est obtenu\ngrâce à une teinture enchantée faite à base d'écorces de conifères.
MAID_LithosFormal1	Set blanc
MAID_H_LithosFormal1	Tenue portée par les clercs lythiens au quotidien ou à l'église. Les motifs\nfins rendent hommage au Dragon divin. (Deux versions.)
MAID_LithosFormal1M	Soutane blanche
MAID_H_LithosFormal1M	Tenue portée par les clercs lythiens au quotidien ou à l'église. Les motifs\nfins et les dorures rendent hommage au Dragon divin.
MAID_LithosFormal1F	Robe blanche
MAID_H_LithosFormal1F	Tenue portée par les clercs lythiens au quotidien ou à l'église. Les motifs\nfins rendant hommage au Dragon divin sont cousus par des âmes pures.
MAID_LithosFormal2	Set givre
MAID_H_LithosFormal2	Tenue portée par les clercs lythiens. La technique de fabrication est\nunique à Lythos et reflète la lumière. (Deux versions.)
MAID_LithosFormal2M	Soutane givre
MAID_H_LithosFormal2M	Tenue portée par les clercs lythiens. La technique de fabrication est\nunique à Lythos et reflète la lumière. Le tissu est étonnamment doux.
MAID_LithosFormal2F	Robe givre
MAID_H_LithosFormal2F	Tenue portée par les clercs lythiens. La technique de fabrication est\nunique à Lythos et reflète la lumière. Idéale pour les grandes occasions.
MAID_LithosFormal3	Set lagon
MAID_H_LithosFormal3	Tenue portée par les clercs lythiens. Le tissu renfermerait la puissance du\nDragon divin. Le motif symbolise l'harmonie. (Deux versions.)
MAID_LithosFormal3M	Soutane lagon
MAID_H_LithosFormal3M	Tenue portée par les clercs lythiens. Le tissu renfermerait la puissance du\nDragon divin. Le motif symbolise le respect envers les Emblèmes.
MAID_LithosFormal3F	Robe lagon
MAID_H_LithosFormal3F	Tenue portée par les clercs lythiens. Le tissu renfermerait la puissance du\nDragon divin. Le motif honore les victimes de guerre.
MAID_Swimwear1	Set simple
MAID_H_Swimwear1	Simple tenue de natation. Convient tant à l'entraînement qu'à la natation\net au bronzage. Idéale pour s'entraîner avec style. (Deux versions.)
MAID_Swimwear1M	Short de bain
MAID_H_Swimwear1M	Simple tenue de natation. Convient tant à l'entraînement qu'à la natation\net au bronzage. Inclut un collier pour se mettre en valeur.
MAID_Swimwear1F	Maillot paréo
MAID_H_Swimwear1F	Simple tenue de natation. Convient tant à l'entraînement qu'à la natation\net au bronzage. Augmente la confiance en soi. Le paréo a divers coloris.
MAID_Swimwear2	Set modeste
MAID_H_Swimwear2	Tenue de natation couvrant une grande partie du corps. Conçue pour\nles gens qui privilégient le confort et la praticité. (Deux versions.)
MAID_Swimwear2M	Short et chemise
MAID_H_Swimwear2M	Simple tenue de natation pour nager, s'entraîner ou bronzer.\nLa chemise assortie est confortable et sèche très vite.
MAID_Swimwear2F	Maillot une pièce
MAID_H_Swimwear2F	Simple tenue de natation. Confortable et pratique, elle peut toutefois\nlaisser des marques de bronzage assez visibles.
MAID_Swimwear3	Set jeune
MAID_H_Swimwear3	Tenue de natation colorée pour les jeunes qui aiment l'originalité.\nLe motif ne laissera personne de marbre. (Deux versions.)
MAID_Swimwear3M	Short floral
MAID_H_Swimwear3M	Tenue de natation ornementale pour les jeunes. La guirlande est\ncomposée de fleurs tropicales qui semblent ne jamais se faner.
MAID_Swimwear3F	Maillot ruban
MAID_H_Swimwear3F	Tenue de natation ornementale pour les jeunes. Le ruban sur le devant\nest très serré.
MAID_Exercisewear	Tenue sportive
MAID_H_Exercisewear	Tenue au style unique conçue spécialement par la boutique de mode pour\nl'entraînement. Le tissu est résistant et absorbe la transpiration.
MAID_NormalGlasses	Lunettes normales
MAID_H_NormalGlasses	Lunettes développées par les talentueux vitriers d'Elusia. Les verres sont\npolis pour être aussi transparents que de la glace.
MAID_LowerEdgeGlasses	Lunettes carrées
MAID_H_LowerEdgeGlasses	Ces lunettes conçues pour bien tenir lorsqu'on lève la tête sont très\nrecherchées par ceux qui veulent mettre leurs yeux en valeur.
MAID_BigSunglasses	Lu. soleil larges
MAID_H_BigSunglasses	Lunettes qui bloquent le passage du soleil. La monture épaisse couvre\nparfaitement les yeux et les verres teintés garantissent l'anonymat.
MAID_BlackTabbyGlasses	Lunettes épaisses
MAID_H_BlackTabbyGlasses	La monture épaisse de ces lunettes peut, à la longue, être douloureuse\nau niveau des oreilles, mais beaucoup les trouvent superbes.
MAID_ColoredSunglasses	Lu. soleil teintées
MAID_H_ColoredSunglasses	Lunettes de soleil pleines de charme aux verres marron. Elles sont\nappréciées par ceux qui apprécient autant le style que la protection.
MAID_SkullMask	Masque de crâne
MAID_H_SkullMask	Masque unique en forme de crâne. On l'utilise lors d'une fête solmoise\noù chacun orne son masque à sa façon.
MAID_FancyDressMask	Masque élégant
MAID_H_FancyDressMask	Masque porté principalement pour les bals costumés firéniens, où des\npersonnes de tous horizons peuvent se mêler de manière anonyme.
MAID_Eyepatch	Cache-œil
MAID_H_Eyepatch	Accessoire qui cache un œil, il aurait servi au départ en Brodia lorsque\nles soldats cherchaient à masquer leurs blessures sur le champ de bataille.
MAID_Mascot_SilkHat	Chapeau chic
MAID_H_Mascot_SilkHat	Couvre-chef élégant qui donne un air digne à tout esprit protecteur averti.\nAvec cet accessoire distingué, même son attitude paraîtra plus honorable.
MAID_Mascot_Sunglasses	Lunettes de soleil
MAID_H_Mascot_Sunglasses	Accessoire incontournable sous le soleil estival pour tout esprit protecteur\nqui veut dissimuler son aspect mignon derrière une façade décontractée.
MAID_Mascot_Flower	Couronne florale
MAID_H_Mascot_Flower	Ornement de tête tressé avec les fleurs du pré où \x0E\x06\x05\x00 aime à\nfaire la sieste. S'il fallait trouver le parfum de la sérénité, ce serait celui-là.
MAID_Mascot_Wig	Perruque
MAID_H_Mascot_Wig	Postiche imitant la coiffure que porte \x0E\x06\x03\x00. Que cette coupe lui\naille ou non, elle semble en tout cas parfaitement ravir \x0E\x06\x05\x00.
MAID_Mascot_Eyebrows	Sourcils
MAID_H_Mascot_Eyebrows	Majestueux accessoire capillaire qui améliore l'expression faciale et vous\npermettra de voir en un clin d'œil quelle émotion éprouve \x0E\x06\x05\x00.
MAID_Mascot_Butterfly	Papillon
MAID_H_Mascot_Butterfly	\x0E\x06\x05\x00 a sur la queue un joli papillon qui refuse de s'envoler et\nreste posé là, tellement immobile qu'on peut se demander si c'est un vrai.
MAID_Mascot_Ribbon	Ruban
MAID_H_Mascot_Ribbon	Gros nœud décoratif si léger que \x0E\x06\x05\x00 en oublie sa présence.\nL'esprit protecteur bondira de surprise à chaque fois qu'il l'apercevra.
MAID_Mascot_Bell	Clochette
MAID_H_Mascot_Bell	Petite cloche fixée sur un cordon rouge et blanc en guise de talisman,\nqui tinte joyeusement quand l'esprit protecteur marche ou gambade.
MAID_Mascot_Feather	Ailes laineuses
MAID_H_Mascot_Feather	Paire d'ailes artificielles qui s'agitent à la moindre brise. Mais ne laissez\npas le porteur s'élancer dans le vide, car elles ne permettent pas de voler.
MAID_Mascot_BackAcce	Parure formelle
MAID_H_Mascot_BackAcce	Tenue formelle semblable à celle du Dragon divin, conçue spécialement\npour l'esprit protecteur, qui la porte avec fierté et un brin de nostalgie.
MAID_Costume_Marth	Style de Marth
MAID_H_Costume_Marth	Tenue conçue d'après Marth, Emblème du Commencement\net héros parmi les héros.
MAID_Costume_Siglud	Style de Sigurd
MAID_H_Costume_Siglud	Tenue conçue d'après Sigurd, Emblème de la Guerre Sainte\net noble chevalier issu d'une puissante lignée.
MAID_Costume_Celica	Style de Celica
MAID_H_Costume_Celica	Tenue conçue d'après Celica, Emblème des Échos\net princesse d'un pays dynamique.
MAID_Costume_Micaiah	Style de Micaiah
MAID_H_Costume_Micaiah	Tenue conçue d'après Micaiah, Emblème de l'Aurore\net prêtresse au pouvoir mystérieux.
MAID_Costume_Roy	Style de Roy
MAID_H_Costume_Roy	Tenue conçue d'après Roy, Emblème du Sceau\net noble à la bravoure et à l'intelligence hors pair.
MAID_Costume_Lin	Style de Lyn
MAID_H_Costume_Lin	Tenue conçue d'après Lyn, Emblème des Flammes et épéiste\nvirtuose d'une tribu nomade qui vivait dans la nature.
MAID_Costume_Ike	Style d'Ike
MAID_H_Costume_Ike	Tenue conçue d'après Ike, Emblème du Rayonnement\net célèbre chef mercenaire excellant au combat.
MAID_Costume_Lucina	Style de Lucina
MAID_H_Costume_Lucina	Tenue conçue d'après Lucina, Emblème de l'Éveil, une princesse\nconsciente que rien n'est immuable et qui ne cède jamais au désespoir.
MAID_Costume_Leaf	Style de Leif
MAID_H_Costume_Leaf	Tenue conçue d'après Leif, Emblème de la Généalogie et\nprince dans les veines duquel coule le sang de deux croisés.
MAID_Costume_Kamui	Style de Corrin
MAID_H_Costume_Kamui	Tenue conçue d'après Corrin, Emblème des Destinées et princesse\ndans les veines de laquelle coule le sang des premiers dragons.
MAID_Costume_Eirik	Style d'Eirika
