MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nIl est rassurant d'avoir un dragon de notre côté.\nEnsemble, nous allons rétablir la paix dans\nce monde.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nVoilà une décision que je comprends tout à fait.\nDéveloppons nos forces ensemble, Marth, pour\nque ce souhait puisse devenir réalité.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nJ'ai entendu parler de vous, Marth...\nle Roi-Héros venu d'un autre monde.\nC'est un honneur de combattre à vos côtés.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06マルス\nOn m'a également relaté les exploits des Quatre\nZéphyrs. Merci de nous prêter main-forte ainsi,\nc'est un grand réconfort.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nMarth, vous êtes un seigneur aimé de tous.\nJe comprends pourquoi vous suscitez une\ntelle admiration.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x08\x06マルス\nC'est peut-être vrai, Zelestia, mais je ne m'en\nrepose pas moins sur vous. À mes yeux, vous\nfaites une cheffe exceptionnelle.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nLes Quatre Zéphyrs ont noué des liens solides.\nPosséder de tels alliés est un véritable atout.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nNous avons perdu l'un des nôtres avant de\nvenir en ces lieux, mais cette épreuve n'a\nfait que nous souder davantage.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06マルス\nCes liens nous aident à surmonter les pires\népreuves, c'est une force dont nous aurons\ngrand besoin pour en finir avec cette guerre.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nNous avons également tissé des liens étroits,\nvous et moi. Ensemble, nous parviendrons à\nramener la paix en ce monde.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nグレゴリー\nC'est un honneur de combattre aux côtés du\nRoi-Héros d'un autre monde. J'espère que\nje vous décevrai pas trop, quand même...\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x08\x06マルス\nOn m'a dit le plus grand bien de vous et des\nQuatre Zéphyrs. Je suis impatient de nous voir\nœuvrer de concert.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nVous êtes plus courageux et tenace au combat\nque vous le laissez paraître, Gregory.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nEh bien, je ne suis peut-être pas aussi fort que\nles autres, mais... je n'abandonnerai pas mes\namis. Ça, jamais.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nPardon si ma question vous importune, mais\npourriez-vous me dire pourquoi vous avez\nrejoint les Quatre Zéphyrs ?\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0C\nグレゴリー\nOh, c'est un truc tout bête. Je sais que ça ne\nme ressemble pas, mais j'ai volé au secours\nd'un chevalier en détresse.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nJe voulais détaler, mais je savais qu'il fallait\nabsolument intervenir. Et j'ai aucun regret, car\nc'est comme ça que j'ai rencontré Zelestia.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x08\x06マルス\nJe vous reconnais bien là. Quoi qu'il en soit,\nje sais désormais que je pourrai toujours\ncompter sur vous.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nマデリーン\nJ'ai ouï dire que vous étiez le légendaire\nRoi-Héros. Je m'efforcerai de combattre avec\nun honneur infaillible, j'en fais la promesse.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x08\x06マルス\nCes solennités sont tout à fait inutiles, nous\nsommes amis, désormais. Je suis heureux que\nles valeureux Zéphyrs aient rejoint nos rangs.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nVous avez fait preuve d'un grand courage au\ncombat. Je suis fier de pouvoir vous considérer\ncomme une amie.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nマデリーン\nComment ? Oh, je n'ai pourtant rien fait qui\nsorte de l'ordinaire ! Je suis profondément\ntouchée de recevoir un tel compliment.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nマデリーン\nVous vous êtes battu pour rebâtir votre\nroyaume, n'est-ce pas ? Moi-même, je n'aurais\nreculé devant rien pour reconquérir mes terres.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x08\x06マルス\nAh, je comprends... Vous avez donc perdu votre\npatrie, vous aussi.\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x0C\nマデリーン\nEn effet. Vous avez fini par triompher, si je ne\nm'abuse ? J'espère pouvoir devenir un jour\naussi forte que vous l'êtes.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x08\x06マルス\nEt vous y parviendrez, ça ne fait aucun doute.\nVous n'êtes pas seule, car vos amis seront là\npour vous soutenir, ainsi que moi-même.\x0E\x04\x00\x00
