MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ヴェイル\nNon, attendez, je vais reformuler. J'aimerais\ntrouver une solution à ce qui me perturbe,\npas simplement l'oublier.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nDans ce cas, racontez-moi !\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ヴェイル\nEh bien, en fait, j'aimerais trouver un moyen\nde me rendre utile auprès des gens, quand la\nguerre sera finie.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ヴェイル\nJe ne sais pas vraiment de quelle façon, mais...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ヴェイル\nPeut-être accepteriez-vous de m'aider à y\nréfléchir ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nVolontiers ! Je ferai tout mon possible.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ヴェイル\nOh, merci ! J'étais sûre que vous étiez l'homme\nde la situation !\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ヴェイル\nSeulement, voilà... ce qui m'inquiète, c'est que\nj'ai commis tellement de mauvaises actions...\npar le passé.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ヴェイル\nEn dehors de notre groupe, j'ai bien peur que\npersonne n'accepte mon aide.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nAh oui, c'est bien possible. La plupart des gens\nne connaissent pas toute votre histoire.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nMais ça ne fait rien, vous avez tout votre temps.\nIls finiront par comprendre.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe me porterai garant de votre sincérité\njusqu'à ce jour.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cアルフレッド\nPour une amie de votre trempe, c'est le moins\nque je puisse faire !\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ヴェイル\nVous êtes très gentil.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cアルフレッド\nMais tout cela ne vous avance pas beaucoup\npour le moment, j'imagine ?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe peux peut-être réfléchir à une idée un peu\nplus immédiate pour vous soulager ?\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08ヴェイル\nCe n'est pas nécessaire. Vous avez déjà fait\nbeaucoup pour moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08ヴェイル\nMerci, Alfred.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nDame Veyle ! Vous m'avez tout l'air de\nquelqu'un à qui une petite course ferait\nle plus grand bien !\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ヴェイル\nHa ha... Qu'est-ce qui vous fait dire ça ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nIl suffit de vous regarder. Votre expression\nsuggère une catastrophe sans nom.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nC'est que certains problèmes sont sans solution,\nqu'on le veuille ou non.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nC'est justement ceux-là qu'il vaut mieux\nocculter à l'aide d'une bonne course.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ヴェイル\nJe ne sais pas...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ヴェイル\nComment voulez-vous que j'oublie ?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ヴェイル\nToutes ces choses horribles que j'ai faites...\nla souffrance que j'ai infligée...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ヴェイル\nJ'ai le cœur lourd d'une culpabilité qui me\npoursuivra à jamais.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nHmm.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nAprès réflexion, ça paraît un peu trop grave pour\nse dissiper aussi facilement, même après une\nbonne course...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ヴェイル\nJe le crois, en effet.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nDu coup, quand vous aurez couru quelques\nkilomètres, exécutez quelques pompes.\nÇa devrait le faire, à mon avis.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ヴェイル\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nMais si vous voulez vraiment être tranquille,\nterminez par une séance d'abdos, et là, vous\nallez dormir comme un bébé, pas de doute !\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ヴェイル\nD'abdos ?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ヴェイル\nHi hi...\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ヴェイル\nVoyons, Alfred ! Je doute fortement que les\npompes ou les abdos suffisent à régler mes\nproblèmes.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cアルフレッド\nC'est vrai, et nous le savons tous les deux.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe ne pense pas que vous oublierez un jour\ntoutes ces choses dont vous m'avez parlé.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ヴェイル\nEn effet.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ヴェイル\nLes regrets et la culpabilité ne me quitteront\npas avant longtemps...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cアルフレッド\nEt peut-être jamais. Mais vous avez bien le droit\nde vivre un peu, non ?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0E\x0Cアルフレッド\nSi vous ne vous déchargez jamais de votre\nfardeau, il finira par vous écraser.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08ヴェイル\nVous avez raison, Alfred, et je vous remercie.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08ヴェイル\nJe crois que j'aimerais aller courir un peu.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08ヴェイル\nVous voulez bien m'accompagner ? S'il vous\nplaît ?\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0E\x0Cアルフレッド\nIl suffit de demander !\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe vais tellement vous en faire baver que vous\nne penserez à rien d'autre. C'est ma spécialité !\x0E\x04\x00\x00
