MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0A\x08リュール\nJ'étais heureu\x0E\x0A\x00\x0A\x02x\x04se de boire un thé avec\nvous aujourd'hui. Merci de m'avoir\ninvité\x0E\x0A\x00\x06
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08セリーヌ\nEt je ne reculerai devant rien pour permettre à\nmon peuple de continuer à vivre en paix.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08セリーヌ\nNe me regardez pas ainsi, Votre Divinité.\nC'est un devoir que je dois honorer.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08セリーヌ\nMaintenant, si vous voulez bien m'excuser,\nje dois prendre les dispositions qui s'imposent...\npromptement.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nJe vous présente mes plus sincères excuses\nsi je vous ai inquiété\x0E\x0A\x00\x06
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nQu'est-il advenu des bandits qui s'attaquaient\naux convois de thé ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nNous avons débloqué des fonds pour accroître\nla sécurité du convoi.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08セリーヌ\nPuis, nous avons laissé les bandits s'échapper,\nafin qu'ils conduisent nos forces droit à leur\nforteresse.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08セリーヌ\nJe viens juste de donner l'ordre de réduire\ncelle-ci en ruines.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nJe vois.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08セリーヌ\nCe sont des bandits, mais ils n'en demeurent\npas moins des Firéniens dont je viens de signer\nl'arrêt de mort.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08セリーヌ\nNéanmoins, si c'était à refaire,\nje ne tergiverserais pas.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08セリーヌ\nNul ne saurait compromettre la paix qui règne\nà Firene, et cette loi ne connaît pas d'exception.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nMalgré tout, cette décision n'a pas dû être\nfacile...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08セリーヌ\nNon, en effet.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08セリーヌ\nMais les états d'âme constituent un luxe que\nceux dans ma position ne peuvent s'autoriser.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nHmm... Je comprends que vous vouliez\nvous endurcir, mais vous ne pouvez pas ignorer\nvos sentiments pour autant.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セリーヌ\nJ'apprécie votre empathie.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08セリーヌ\nIl n'y a rien que je ne ferais pour protéger\nmon royaume.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セリーヌ\nJe n'hésiterai pas un instant à brandir ma lame\npour défendre la paix. Je me suis aguerrie dans\nce dessein toute ma vie.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08セリーヌ\nEt pourtant...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08セリーヌ\nJe n'éprouve nul plaisir à recourir à de tels\nexpédients.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セリーヌ\nJe m'inquiète d'ailleurs d'y voir une preuve\nde faiblesse.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nN'y voyez aucune faiblesse. C'est une preuve\nde bonté.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nCette même bonté qu'on retrouve chez\ntous les Firéniens.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セリーヌ\nVous êtes bien généreu\x0E\x0A\x00\x0A\x02x\x04se, Votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nVotre Divinité, puis-je m'entretenir un instant\navec vous ?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nBien sûr, Céline.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08セリーヌ\nC'est au sujet de ce dont nous avons\nprécédemment parlé ensemble.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08セリーヌ\nLorsque je vous exposais ma détermination à\nbrandir ma lame pour le bien de mon pays.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08セリーヌ\nJe vous disais que je ne reculerais pas devant\nla guerre, si la paix était à ce prix.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nOui, je m'en souviens.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08セリーヌ\nEh bien, il me semble désormais que\nma résolution faiblit.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08セリーヌ\nJe ne suis plus sûre d'être en mesure de faire\nfi de toute pitié pour servir mon dessein de paix.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nCes scrupules ne sont guère étonnants de la\npart d'une âme aussi généreuse, Céline.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08セリーヌ\nIl n'y a là nulle générosité !\nCe n'est qu'une forme de couardise.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08セリーヌ\nCette couardise particulière qu'inspire le regard\ndes autres... Oui, je tremble à l'idée que vous\nvous mettiez à me haïr.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nOh...\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08セリーヌ\nC'est pourquoi je vous demande de\nme mépriser.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08セリーヌ\nÉtalez le dédain que je vous inspire en\nreléguant mes devoirs de princesse au\nbénéfice de quelque sentiment personnel.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08セリーヌ\nSi votre estime m'est à jamais refusée,\nje ne craindrai plus d'ignorer la pitié\npour le bien de mon peuple.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nJ'aimerais vous donner ceci, Céline.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08セリーヌ\nLe... L'Anneau du Pacte ?!\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nJamais je ne vous mépriserai. Je serai toujours\navec vous pour vous soutenir, quelles que\nsoient vos décisions.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nQu'elles concernent le royaume de Firene ou\nqu'elles vous concernent, vous. Quels que\nsoient vos motifs...\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nJe me tiendrai à vos côtés.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08セリーヌ\nIl... Il n'y a donc rien que vous abhorriez\ndans mon cœur de glace ?\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nNon. Je sais que votre cœur vaut bien mieux\nque cela. Quelles que soient les décisions que\nvous êtes amenée à prendre...\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nNous en assumerons les conséquences\nensemble. Vous ne serez plus seule.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08セリーヌ\nMerci, Votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08セリーヌ\nSi vous êtes avec moi, quelle raison aurai-je\nde céder à la couardise ?\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08セリーヌ\nIl n'y a que la joie qui m'attend.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08セリーヌ\nVotre Divinité, votre indéfectible soutien me\nsoulage d'un terrible poids. Vous êtes un\x0E\x0A\x00\x06
