MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x06\x04ルイ\nAh, Yunaka. Vous arrivez à point nommé.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ルイ\nJe suis trop heureux de recevoir un présent\nsi gracieux.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x06\x04ルイ\nJe vais d'ailleurs les faire infuser de ce pas.\nJoignez-vous à moi si le cœur vous en dit.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ユナカ\nVous êtes sûr ? N'allez pas croire que\nje vous ai offert ces feuilles juste pour\nque vous les fassiez infuser pour moi.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x06\x04ルイ\nLe thé est plus savoureux quand on le partage.\nNos vives conversations me désaltèrent presque\nautant que le breuvage lui-même.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ユナカ\nAh, la conversation...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ユナカ\nJ'aime vraiment bavarder avec vous.\nJ'aime tellement ça que j'ai un peu peur\nde... déraper.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ルイ\nC'est-à-dire ?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ユナカ\nHein ? Hmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ユナカ\nOh, j'ai failli oublier un... truc ! Ouais, un truc\nque je dois faire sinon... Eh bien... Bref, on\nremet le thé à plus tard ?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x06\x04ルイ\nAh. Voilà qui est bien fâcheux.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ルイ\nJ'avoue que je me réjouissais à l'idée de\npasser tout ce temps à disserter sur moi-même.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06ユナカ\nVous, euh... Vous comptiez passer tout ce temps\nà parler de vous en long, en large et en travers ?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x06\x04ルイ\nOui. Il se trouve que je suis d'humeur à cela,\naujourd'hui.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06ユナカ\nOh ! Eh bien dans ce cas, je peux reporter\nmon truc à plus tard. Je veux bien vous faire\ncette faveur.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06ユナカ\nJe suis douée pour écouter, alors ne vous\nretenez pas ! Vous pouvez absolument tout\nme dire !\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x06\x04ルイ\nHa ha ! Parfait. Je vais préparer le thé\nde ce pas.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nPas possible ! Vous me charriez !\nJe peux pas croire que ce soit vrai !\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04ルイ\nTout est authentique, pourtant.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ルイ\nLors de mon examen de chevalier face à\nla famille royale de Firene, j'ai invité tout\nle monde à boire un thé.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04ルイ\nOn trouvait mon expertise au sujet du thé\nfort prometteuse, ce qui a directement\nfavorisé mon accession à ce poste.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ユナカ\nJe sais que vous êtes très bon, mais quel est\nle rapport entre le thé et l'examen ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x06\x04ルイ\nIl semble que les compétences domestiques\nétaient tout aussi importantes que les qualités\nmilitaires pour accéder à la dignité de vassal.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ユナカ\nÇa tombe bien, vous êtes le meilleur. Vous\nn'avez dû faire qu'une bouchée de vos\nconcurrents !\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ルイ\nHa ha ! Merci.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ユナカ\nFranchement, Louis, vos histoires sont vraiment\nbonnes. Je pourrais les écouter toute la journée.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06ユナカ\nMais... vous devez sans cesse vous mettre en\nquatre à cause de moi, et ça me gêne.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04ルイ\nQu'entendez-vous par là ?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ユナカ\nVous devez toujours vous charger de toute la\nconversation. Du coup, moi, j'ai juste à écouter.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ユナカ\nJ'imagine que vous vous en êtes aperçu, mais...\nje préfère qu'il en soit ainsi. Je n'aime pas\nbeaucoup parler de moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ルイ\nCela ne m'a en effet pas échappé.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ユナカ\nSi j'y étais contrainte, je serais réduite à des\nréponses vagues. Je devrais vous mentir.\nEt je n'aime pas mentir à mes amis.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ユナカ\nC'est pour ça que je préfère ne pas dire\ngrand-chose de mon passé. Ni de moi,\nen fait.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ルイ\nEh bien, il n'y a rien de mal à cela.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04ルイ\nMême en mettant nos passés respectifs de côté,\nje ne doute pas que nous puissions fort bien\nnous entendre.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ユナカ\nVous croyez ?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x06\x04ルイ\nTant que nous aurons du thé et un ami avec\nqui le partager, nous pourrons parler de tout\nce qu'il nous plaira.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ルイ\nPar ailleurs, je suis moi-même plutôt enclin à\ndiscourir, alors il est heureux que j'aie trouvé\nquelqu'un pour m'écouter.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04ルイ\nÉcouter peut se révéler épuisant, je vous suis\ndonc fort reconnaissant de cette complaisance\nà mon égard.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ユナカ\nAlors là, Louis...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x06\x04ルイ\nSi vous tenez à participer, nous pouvons parler\nde nos contrées. De nos amis. De l'avenir.\nDe tout ce que vous voulez.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06ユナカ\nÇa ne vous gênera pas d'être ami avec\nquelqu'un qui ne dévoile jamais son passé ?\nAbsolument jamais ?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x06\x04ルイ\nBien sûr que non.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x06\x04ルイ\nC'est la personne que vous êtes aujourd'hui\nqui est mon amie. Peu importe celle que vous\navez été autrefois.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x06\x04ルイ\nMaintenant, si nous désirons poursuivre\ncette dégustation, il est temps que je\nprépare un autre thé.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06ユナカ\nMerci, Louis.\x0E\x04\x00\x00
