MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0C\nスタルーク\nSeadall ? Puis-je te poser une question ?\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08セアダス\nJ'avais du mal à parler. Les mots se\nrefusaient à moi. Alors mon professeur\nm'a appris à danser.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08セアダス\nJ'ai compris que je n'avais pas besoin de mots\npour communiquer. Ça m'a sauvé.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0C\nスタルーク\nJe vois...\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0A\x08セアダス\nJe m'excuse. Cette histoire n'est pas aussi\namusante que les autres...\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0C\nスタルーク\nNon, c'est moi qui devrais m'excuser.\nJe n'ai pas réfléchi avant d'aborder le sujet.\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x0A\x08セアダス\nJ'ai assombri l'ambiance.\x0E\x04\x00\x00
MID_RELIANCE_B_#029	\x0E\x03\x02\x0A\x08セアダス\nJe suis désolé. Je pense qu'il est préférable\nd'en rester là pour le moment. À une prochaine\nfois, Prince Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0C\nスタルーク\nSeadall ? Je voudrais à nouveau m'excuser\npour notre conversation de l'autre jour.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nスタルーク\nJ'aurais vraiment dû penser à ce que tu pouvais\nressentir avant de te questionner sur ton passé.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セアダス\nÇa ne m'a pas dérangé et vous n'avez rien\nfait de mal.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nスタルーク\nDepuis, j'ai réfléchi à tes histoires.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nスタルーク\nJe m'imaginais la vie de nomade comme une\nsuite de divertissements... mais c'est faux,\nn'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08セアダス\nEn effet. Divertissement n'est pas le bon mot.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08セアダス\nCette vie peut être d'une brutalité sans pareille.\nJ'ai vu des amis mourir pendant des raids...\net pire encore.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nスタルーク\nIl a dû y avoir tant de moments pénibles...\net moi qui croyais que c'était une vie de plaisirs.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nスタルーク\nSi seulement j'avais regardé au-delà de mes\npropres désirs un seul instant avant de parler...\nJe suis sincèrement désolé.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08セアダス\nOh, Prince Alcryst...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08セアダス\nJe vous le répète, vous n'avez rien fait de mal.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セアダス\nOui, des choses terribles se sont produites\npendant que je voyageais avec la caravane...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セアダス\nMais de bonnes choses aussi.\nBien plus de bonnes choses.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08セアダス\nLa caravane était ma famille et mon foyer.\nJe m'estime chanceux de la vie que j'ai menée.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nスタルーク\nJe suis très content d'entendre ça.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08セアダス\nAlors je vous en prie, n'ayez aucune hésitation.\nPosez-moi toutes les questions que vous voulez.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08セアダス\nDemandez-moi de vous parler de ces mets\nétranges et merveilleux que j'ai goûtés pour\nla première fois dans ce village à la frontière...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セアダス\nOu du soleil du matin que j'ai vu embraser\nles cieux au-dessus de l'oasis du désert.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08セアダス\nIl y a tant de questions que j'espère que vous\nposerez. Et tant d'histoires que j'espère vous\nraconter.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nスタルーク\nTes histoires m'envoûtent, Seadall.\nJ'ai hâte de m'y perdre à nouveau.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nスタルーク\nRaconte-m'en une autre, puis une autre après\ncelle-là ! Raconte-moi des histoires jusqu'à\nl'aube !\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08セアダス\nHa ha... Avec plaisir, Prince Alcryst.\x0E\x04\x00\x00
