MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nJe n'ai jamais vu personne d'aussi puissant que\nvous. Cette capacité à invoquer des Emblèmes...\nJ'aimerais tant la posséder.\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nNous avons encore eu une formidable journée.\nQuel bonheur d'être en bonne santé et d'avoir\nde bons amis à ses côtés.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nVraiment, vous... voyez toujours la vie du bon\ncôté. Vous avez tant de choses dont je manque.\nCe n'est pas juste.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nRien n'est plus faux. Nous vivons au même\nendroit, et partageons les mêmes amis.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nC'est exact. J'ai des alliés et un foyer.\nSi seulement il pouvait en être toujours ainsi...\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nVous aimez bien la lecture, n'est-ce pas ?\nPar simple curiosité, que lisez-vous donc ?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x0C\nブシュロン\nC'est une de mes histoires préférées. Si vous\naimez lire, j'ai plein de livres à vous conseiller.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nDans quel livre êtes-vous plongé, aujourd'hui ?\nPeut-être me laisseriez-vous le lire avec vous ?\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0C\nブシュロン\nMais avec plaisir. Je viens de le commencer.\nVous n'aurez qu'à me faire signe quand\nje pourrai tourner la page.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nJ'ai déjà lu tant de livres en votre compagnie...\nJ'en viens à m'inquiéter qu'un jour prochain,\nnous n'ayons plus rien à lire.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x0C\nブシュロン\nIl existe tellement de livres de par le monde\nqu'il faudrait y consacrer plusieurs vies pour\ntous les lire.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x0C\nブシュロン\nC'est cela qui fait de la lecture un plaisir\ninépuisable. Nous pourrons continuer à\nlire ensemble tant qu'il vous plaira.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nVoilà qui fait plaisir à entendre. Il est si\ndéprimant d'arriver à la fin de quelque chose...\nJ'ai hâte de découvrir notre prochain livre !\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nVous semblez être sans arrêt en mouvement.\nPourquoi donc ? Ces efforts incessants ne\nsont-ils pas éreintants ?\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x0C\nエーティエ\nUn peu d'exercice ne me fait pas de mal.\nÀ vrai dire, rien ne me rend plus heureuse !\nCela m'aide à m'éclaircir les idées.\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nエーティエ\nJe crois qu'un peu d'exercice vous ferait\nle plus grand bien. Que diriez-vous de venir\ncourir avec moi ?\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nJe n'ai nul penchant pour cette activité... Mais\nsi cela peut contribuer à faire de moi une bonne\nimpératrice, je suis prête à l'envisager.\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nエーティエ\nJe vais sans doute faire une pause pour prendre\nun thé, après cela. Vous joindriez-vous à moi ?\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nVolontiers, j'aime beaucoup le thé. Mon frère\net moi en buvions souvent quand il était là.\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0C\nエーティエ\nOh, c'est vrai ? J'aimerais en savoir plus.\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nJe vais vous conter tout cela devant une bonne\ntasse de thé. Je suis curieuse de voir les\ndifférentes saveurs qu'offre ce monde.\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nJ'aimerais en apprendre davantage à votre sujet.\nAprès tout, vous êtes la princesse d'Embla,\nnous avons donc des rôles similaires.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nOui... c'est vrai. Je serais également heureuse\nd'écouter vos récits. Comment est le monarque\nqui régit votre pays ?\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nNous étions sur le point de déguster une tasse\nde thé. Vous plairait-il de vous joindre à nous ?\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nSi vous me permettez de m'installer et de vous\nécouter... j'en serais ravie. Je n'ai rien contre\nles conversations à bâtons rompus.\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nCela doit être agréable pour vous de pouvoir\npasser tant de temps avec votre frère.\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x0A\x08セリーヌ\nLe vôtre a entrepris un périple, n'est-ce pas ?\nOù qu'il soit, je ne doute pas qu'il pense à vous.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nPeut-il d'ailleurs en être autrement, entre frères\net sœurs ? Je suis certaine qu'il ne quitte pas\nvos pensées non plus.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nOui, vous avez raison. Merci...\nNotre conversation m'a fait du bien.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x06\x04ルイ\nVotre puissance offre un remarquable spectacle\nsur le champ de bataille. Je demeure béat\nd'admiration en combattant à vos côtés.\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nVous êtes vous-même un puissant chevalier.\nJe ne détesterais pas que vous soyez à moi.\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nAh, mon frère... Il me manque tellement.\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x06\x04ルイ\nVous avez donc un frère ?! Je serais ravi\nde le rencontrer, à l'occasion.\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x06\x04ルイ\nDans ma contrée natale, je préparais souvent\nun thé noir spécial pour ma famille. Et vous,\naimez-vous le thé noir ?\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nOui, beaucoup. Mon frère et moi dégustions\ndu thé chaque fois qu'il était à la maison.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nDans ce cas, je cours en préparer un. J'ai\nquelques feuilles de thé de première qualité\nqui n'attendent que d'être infusées pour nous.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nMerveilleux. J'ai hâte d'entendre les récits dont\nvous ne manquerez pas de l'agrémenter.\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06クロエ\nUne princesse sortie d'un bracelet magique !\nC'est tout à fait merveilleux ! Parlez-moi\nde votre monde, je vous en prie.\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nEn Embla, il n'y a rien. Strictement rien.\nEn comparaison, Firene est assez luxuriante.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06クロエ\nLes princesses ont trop rarement l'occasion\nde goûter la cuisine de rue. J'aimerais bien\npouvoir vous en faire profiter.\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nCela ne me tente pas vraiment.\nEn revanche, j'apprécie le thé noir.\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06クロエ\nVous avez dit que vous appréciez le thé noir,\nn'est-ce pas ? J'en ai trouvé un délicieux, en\nville, et je n'ai pas pu me retenir de l'acheter.\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nAh, il sent vraiment très bon. Pourriez-vous\nen faire infuser pour moi ?\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x08\x06クロエ\nCela va de soi. Même si vous ne pouvez pas\nle boire, vous aurez tout le loisir de le sentir.\nEt nous en profiterons pour bavarder !\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nL'idée de discuter avec vous autour d'un bon\nthé me semble tout à fait plaisante. Je ne\ndemande qu'à vous connaître davantage.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nDans l'autre monde, mon bracelet était\nen Brodia. J'ai l'impression que c'est\nle destin qui nous réunit à nouveau.\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nUn lien particulier vous unit donc à ma nation.\nJe n'en suis que plus heureux que nous nous\nsoyons rencontrés.\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nJ'ai autrefois dû combattre un roi capable\nde contrôler les flammes. Depuis, j'ai le feu\nen horreur.\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nComme je vous comprends. Je me suis\nun jour essayé à la magie de feu, et cela\ns'est très mal terminé.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nVeronica, vos talents de magicienne sont\nextraordinaires. Vous devez avoir travaillé\ndur pour développer une telle puissance.\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nNon, cela m'est venu naturellement.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nMême si vous dites vrai, vous avez du moins\nappris à l'utiliser à bon escient. Je me suis\nbeaucoup instruit à votre exemple.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nJe souhaite moi aussi apprendre de vous.\nPeut-être pourrez-vous m'enseigner\nà être une bonne souveraine.\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08アンバー\nUn Emblème sorti d'un bracelet... Aaah, comme\nc'est romantique. Parlez-moi donc de vous !\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nSi cela vous intéresse tant... je dois pouvoir\nvous conter certaines choses. Mais... en quoi\nest-ce si passionnant ?\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08アンバー\nVeronica, connaissez-vous les alpagas ? Ce sont\nde charmants animaux au poil tout doux !\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nJe ne sais rien d'eux. Cependant, s'ils sont\nmignons et tout doux... j'avoue que vous\néveillez ma curiosité.\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nAmber, vous qui êtes tout le temps en train de\nrire... comment fait-on cela ? Accepteriez-vous\nde me l'apprendre ?\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x0A\x08アンバー\nComment fait-on pour... ? Eh bien... on rit quand\non passe un bon moment, tout simplement.\nJe sais ! Regardez-moi. Attention... C'est parti !\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nHa ha ! Vous m'avez fait une grimace...\nC'était très rusé.\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x0A\x08アンバー\nEt voilà ! Vous avez un très beau rire. Je suis\nprêt à vous aider à exercer votre rire quand\nvous voudrez !\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nJade, vous remplissez votre devoir avec loyauté.\nC'est une qualité louable. J'aimerais vous avoir\navec moi.\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nCes louanges m'honorent. La Muraille d'acier\nque je suis serait ravie de rester à votre\ndisposition.\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nJe souhaiterais vous prendre comme modèle\npour créer un personnage d'un de mes récits.\nQu'en diriez-vous ?\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nD'accord. Je suis curieuse de voir ce que vous\nécrivez. Une fois fini... pourrais-je le lire ?\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nJ'ai fini le roman dans lequel je vous ai utilisée\ncomme modèle. Pourriez-vous me dire ce que\nvous en pensez, en toute honnêteté ?\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nBien sûr, cela me ferait plaisir. Posez-le ici,\net nous pourrons le lire ensemble.\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nLe personnage que vous m'avez inspiré est\nune fille de la ville. Regardez, elle apparaît\npour la première fois à cette page-ci.\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nComme c'est étrange... C'est tout à fait moi...\nEt comment se poursuit son histoire ? Vous\navez réussi à piquer ma curiosité...\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nPour quelle raison restez-vous donc ainsi dans\nl'ombre ? Si vous voulez me parler... approchez.\x0E\x04\x00\x00
MID_GR_Staluke_C_#002	\x0E\x03\x02\x0C\nスタルーク\nVeuillez m'excuser ! Je voulais vous saluer,\nmais je craignais de vous importuner par\nmon insignifiante présence...\x0E\x04\x00\x00
MID_GR_Staluke_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nVous avez une formidable maîtrise de l'arc.\nVous êtes très doué, bien que vous persistiez\nà prétendre le contraire.\x0E\x04\x00\x00
