MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nTiens donc, Messire Rafal. Tomber sur vous\nen plein milieu de cet énorme Somniel,\nvous parlez d'une coïncidence...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nラファール\nComment une Aberration peut-elle oser\ndécocher une flèche dans ma direction...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nグレゴリー\nJ'avoue que c'est gonflé. Ceci dit, je viens de\nvous sauver la vie, alors c'est peut-être pas si\ndélirant qu'on me demande de veiller sur vous.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nラファール\nAbandonnez ces airs supérieurs. Je suis tout\nà fait capable de livrer ce combat sans votre\nsupervision.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nグレゴリー\nBien entendu. Personne a dit le contraire.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nラファール\nOù voulez-vous en venir ? Arrêtez de me\nregarder ainsi et parlez !\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nグレゴリー\nNulle part ! Je me disais seulement que\nvous étiez vraiment balèze.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nラファール\nVous feriez bien de ne pas l'oublier.\nC'est ma force qui déterminera l'issue\nde ce combat.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Et elle y mettra fin d'autant plus rapidement\nque vous vous abstiendrez de parler ou\nde rester dans mes pattes.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nグレゴリー\nNon pas que l'idée de rester à l'écart\ndu grabuge me soit désagréable...\x0E\x04\x02\x00
MID_RELIANCE_B_#021	Mais si j'arrête de veiller sur vous et que vous\nrestez sur le carreau à la prochaine bataille, je\npourrai plus regarder le Dragon divin en face.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nラファール\nPuisqu'il est impossible de vous en dissuader...\nMais tenez-vous-en à ce rôle et ne lambinez\npas, ou je vous plante là.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nグレゴリー\nBien entendu, je suis à votre service,\ncher ancien chef.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nJ'aurais pas donné cher de nous à la base,\nmais faut reconnaître qu'on forme une bonne \néquipe.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nラファール\nVous vous êtes fort bien débrouillé.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nSérieusement, un compliment ? Vous venez\nde me dire que je m'étais bien débrouillé ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nラファール\nPresque trop bien, même. Pourquoi vous\nbattez-vous à mes côtés ? Que cherchez-vous\nà accomplir ?\x0E\x04\x02\x00
MID_RELIANCE_A_#005	Avez-vous oublié la façon dont je vous ai\ntrahi ? Et la personne qui y a laissé la vie ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nグレゴリー\nBien sûr que non...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nラファール\nVous nourrissez forcément quelque rancœur.\nOu du moins la crainte que je m'en prenne\nà nouveau à vous.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nグレゴリー\nOh, pour ça, soyez tranquille. Je vous ai\ndétesté de tout mon cœur. Et j'ai pas\nexactement terminé, pour être franc.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Mais cette colère... Elle est pas directement\ntournée contre vous.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nラファール\nQu'entendez-vous par là ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nグレゴリー\nEh bien, je savais pas que vous aviez un secret.\nEt encore moins que vous souffriez à ce point.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	C'est surtout contre moi que je suis en colère,\npour avoir été aussi inutile. Pour pas avoir été\nfichu de vous aider. Et... de vous sauver.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nラファール\nVous m'en direz tant.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nグレゴリー\nC'est pour ça que je m'échine à essayer\nde vous comprendre, ici, dans ce monde.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nラファール\nParce que vous vous estimez capable de\ndéchiffrer mes pensées ?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nグレゴリー\nJe sais pas... Mais même si je me plante et\nque vous nous trahissez à nouveau, je me\nplanterai pas quand il s'agira de vous saigner.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Alors vous pouvez être aussi cruel que vous\nvoulez, ou sympa si ça vous chante, ça change\nrien pour moi : moi, je bouge pas d'un pouce.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nラファール\nVous ne dissimulez rien de vos projets !\nPourquoi garderais-je mon potentiel\nassassin auprès de moi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nグレゴリー\nParce que le Dragon divin souhaite que je veille\nsur vous ? Ça me paraît une raison suffisante.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nラファール\nSoit. Mettez-vous à mon service tout en\ngardant un poignard sournois à portée de\nla main, si tel est votre bon plaisir.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	Mais gardez à l'esprit que la seule chair\ndans laquelle s'enfoncera un tel poignard,\nc'est la vôtre.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nグレゴリー\nHa ha !\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nラファール\nVotre propre vulnérabilité vous amuse ?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nグレゴリー\nJe me disais seulement que, d'après ce que\nj'ai vu, je risquais pas grand-chose.\x0E\x04\x02\x00
MID_RELIANCE_A_#025	Votre façon de vous sentir redevable tout\nen vous forçant à m'envoyer bouler, votre\nincapacité totale à bafouiller le moindre merci...\x0E\x04\x02\x00
MID_RELIANCE_A_#026	Vous cherchez à le planquer, mais je vois clair\ndans votre jeu. Et vous nous trahirez plus.\nJamais de la vie.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nラファール\nBercez-vous d'illusions si vous le souhaitez.\nCela ne me fait ni chaud ni froid.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nグレゴリー\nSans blague ? Alors d'où vient cette rougeur\nqui vous monte aux oreilles ?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nラファール\nJe vous demande pardon ?\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nグレゴリー\nHa ha ! Vous êtes bien plus sympa quand\nvous êtes aussi transparent.\x0E\x04\x02\x00
MID_RELIANCE_A_#031	Vous pourrez vous planquer derrière autant de\nmasques que vous voulez, ça me trompera plus,\nmaintenant que j'ai vu votre vrai visage.\x0E\x04\x00\x00
