MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\nOh, bon sang ! Admets-le, Jean. Tu t'es perdu.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06クラン\nLes mauvais jours, ça arrive à tout le monde.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06クラン\nPose-toi la question « comment j'ai fait pour\nen arriver là ? » et tu éviteras que la situation\nse reproduise la prochaine fois.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クラン\nCeci dit, j'ai l'impression de toujours faire les\nmêmes erreurs, en tant que gardien du Dragon...\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06ジャン\nDes erreurs ? Vous ? J'ai du mal à y croire.\nVous avez toujours l'air si sûr de vous.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06クラン\nOh, alors là, pas du tout.\nJe ne suis encore qu'un apprenti.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06クラン\nIl y a tellement de gens plus vieux que moi ici\nque je suis content de croiser quelqu'un qui\nfait partie de ma tranche d'âge.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06ジャン\nHm...\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06クラン\nOh non, j'ai dit une bêtise ?\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06ジャン\nNon, non ! Je suis content de l'entendre.\nJ'ai toujours cru que j'étais un fardeau\npour les autres.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x08\x06ジャン\nAlors c'est chouette quand quelqu'un dit\nqu'il est heureux que je sois là.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x08\x06クラン\nTu ne devrais pas trop t'en faire.\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x08\x06ジャン\nVous verrez, Clanne. Un jour, je serai aussi\ndoué que vous !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06クラン\nOuille !\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06ジャン\nClanne ! Vous allez bien ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06クラン\nÇa ira. J'ai fait une mauvaise chute\net je me suis écorché.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ジャン\nMême une petite égratignure peut s'infecter,\nsi on s'en occupe pas.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ジャン\nMontrez-moi et je vais vous soigner\nsur-le-champ.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06クラン\nD'accord.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ジャン\nÇa saigne un peu, je vais m'en occuper.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06クラン\nAïe, ça pique !\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ジャン\nNe vous en faites pas, j'ai terminé.\nC'était supportable, pas vrai ?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06クラン\nOui, merci.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ジャン\nMe remerciez pas. Et puis je vous le devais bien.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06クラン\nHein ? Comment ça ?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ジャン\nVous m'avez dit quelque chose, la dernière fois.\nEt j'y ai réfléchi.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ジャン\nÀ propos d'apprendre de ses erreurs\npour pas les reproduire.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06クラン\nÇa me dit quelque chose...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ジャン\nC'était un conseil tellement plein de bon sens !\nComme ceux que j'entendais chez moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クラン\nMerci, Jean...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ジャン\nVous savez que je viens d'une île de Firene.\nIci, c'est chouette, mais je m'y sens pas\nvraiment comme à la maison.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ジャン\nCe que vous avez dit m'aide à m'habituer\nà cet endroit.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06クラン\nOh.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クラン\nÉcoute, Jean. Si ta famille te manque, tu peux\nme considérer comme une sorte de grand frère.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06クラン\nJe risque de dire des bêtises de temps en\ntemps, et j'ai encore besoin de grandir, mais...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ジャン\nY a pas de mal à ça. Si j'avais un grand frère\ncomme vous, j'aurais peur de rien.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06クラン\nHa ! Je serais ravi de t'aider.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06ジャン\nIl est bientôt l'heure de dîner. Comment va\nvotre égratignure ? Ça ira pour marcher ?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06クラン\nÇa va bien mieux, merci. Ton traitement\nfonctionne parfaitement.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06ジャン\nSi vous voulez, appuyez-vous sur moi.\nLa famille, ça sert à ça !\x0E\x04\x00\x00
