MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06フラン\nAlors, Goldmary ? Que sont devenues\nces pommes que nous avons cueillies\nl'autre jour ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nHélas, elles ont dépassé mes attentes...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEt elles ont détruit ma vie.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06フラン\nHein ? Mais qu'est-ce qui s'est passé ?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTout à la joie de déguster le plat que j'avais\nconcocté avec, j'ai fait une tête affreusement\ngrossière.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06フラン\nAlors là, je ne saisis pas. Ton visage n'a\nrien de grossier.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMaintenant, non. Mais ceux qui ont pu\napercevoir mon rictus ne sont pas près\nde l'oublier.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06フラン\nJe ne suis toujours pas sûre de percevoir\nton problème, mais d'accord...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nCe n'est pourtant pas bien compliqué !\nQuand ces personnes me regarderont, tout ce\nqu'elles verront, c'est ma mine grotesque !\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06フラン\nJe ne crois pas, et je doute même qu'elles\naient aperçu ta... euh... ta moue, déjà.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06フラン\nEn tout cas, à t'entendre, tu as besoin de\nfaire une pause. Que dirais-tu d'aller nous\nbaigner dans les sources chaudes ?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06フラン\nÇa devrait te détendre, pas vrai ?\nTu redeviendrais l'élégante jeune fille\nque tu as toujours été !\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNon ! Il n'en est pas question !\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06フラン\nEt pourquoi pas ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIl pourrait y avoir un des témoins de ma\nmine grotesque ! Et là, il le racontera à qui\nvoudra l'entendre !\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe ne m'en remettrais jamais...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06フラン\nGoldmary, je suis persuadée que rien de tout\ncela ne va arriver. Écoute... Cette histoire n'est\npas catastrophique, d'accord ?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe ne pourrai plus jamais me montrer aux\nsources chaudes, si jamais ils apprenaient\ntous quelle tête ridicule j'avais tirée.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\nCela dit, comment pourrais-je savoir si un\ntémoin de cette tragédie s'y trouvait sans m'y\nrendre moi-même ?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nC'est un peu comme si je voulais m'acheter\ndes vêtements... sans rien avoir à me mettre\npour me rendre à la boutique.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06フラン\nBon, je ne vois pas trop où tu veux en venir,\nmais je reste persuadée qu'il n'y a pas de quoi\nt'inquiéter. Arrête de pleurer, s'il te plaît.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEst-ce que tu... Tu pourrais m'aider à\nretrouver mon air gracieux et raffiné ?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06フラン\nEuh...\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06フラン\nOui, bien sûr. Si ça peut te remonter le moral...\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMerci, Framme.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nBonjour, Framme. Est-ce que tu remarques\nquelque chose de différent chez moi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTout juste. J'ai retrouvé ma place dans\nle monde. Je suis à nouveau l'image même\nde l'élégance !\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06フラン\nBonjour, et c'est formidable ! Je suis bien\ncontente que tes efforts aient été récompensés.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06フラン\nJe t'avoue que je ne vois aucune différence.\nMais tu vas mieux, c'est l'essentiel.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\nVraiment, tu ne vois rien ? Pourtant, je penche\nma tête selon un angle de 10 degrés, au lieu de\nce ridicule 15 que j'arborais avant !\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06フラン\nEuh... D'accord !\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe dois vraiment te remercier, Framme.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTu m'as soutenue alors même que ma tête\npenchait de manière grotesque.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTu m'as même aidée à répéter mes expressions\njusqu'à ce que je retrouve un angle bienséant.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEt avec ton soutien, j'ai compris qu'un\nmoment d'inélégance n'allait pas ruiner\nune amitié.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06フラン\nExactement. Aucune amitié ne se défait\npour une raison aussi superficielle.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPour te remercier, est-ce que tu accepterais\nque je te prépare un repas succulent ?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06フラン\nAh oui, j'adorerais ça, même !\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe vais préparer quelque chose avec ces\npommes que nous avons récoltées. Ce sera\naussi délicieux que sain.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06フラン\nOoh, j'ai trop hâte ! Ce sera super bon !\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOui, enfin, n'en attends pas trop non plus.\nCe sera juste au niveau des plus grands\nrestaurants.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06フラン\nJuste à ce niveau ? Ha ha ! Tu es vraiment\nsûre de tes talents de cuisinière !\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe tiens à m'excuser si mon repas ruine\nà jamais toutes les expériences que tu\nferas dans d'autres cuisines...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06フラン\nHa ha ! Tu es redevenue toi-même, Goldmary !\nJ'en suis enchantée !\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06フラン\nEt j'ai hâte de goûter à ton repas !\x0E\x04\x00\x00
