MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nYunaka. Dis-moi ce que tu mijotes au sujet de\nla prochaine assemblée de Brodia.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nシトリニカ\nJe suppose que tu ne te doutais pas que\nquelqu'un comme moi puisse présenter\nune menace.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nシトリニカ\nMais il est de mon devoir de noble de protéger\nmon peuple, et je ne vois que trop que tu\nfomentes quelque chose.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nシトリニカ\nJ'ai déjà rassemblé les preuves dont j'ai besoin.\nSi tu ne passes pas aux aveux, je renseignerai\ntout le monde sur ton compte.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ユナカ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ユナカ\nOui. C'est la vérité. J'étais assassin à Brodia.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ユナカ\nMais je t'assure que ce passé est derrière\nmoi. Je ne suis plus celle que j'étais.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nシトリニカ\nEssaie encore.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ユナカ\nC'est la vérité ! Écoute-moi, du moins.\nJe t'en supplie, je ne te cacherai rien.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nシトリニカ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0C\nシトリニカ\nSoit. Je t'écouterai, mais... pas tout de suite.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0C\nシトリニカ\nYunaka, sache que... si la sécurité de Brodia est\nen jeu, mon cœur devient de glace. Je fais le\nnécessaire sans m'embarrasser de pitié.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x08\x06ユナカ\nD'accord. Je m'en souviendrai.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nBien, Yunaka. J'écouterai ce que tu as à dire.\nMais qu'un seul mensonge sorte de ta bouche\net...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ユナカ\nJe vais commencer au début. Et je ne proférerai\npas un seul mensonge.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ユナカ\nL'héroïne de cette histoire ne s'appelle pas\nYunaka. Elle porte le nom de Larimar.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06ユナカ\nNée dans un foyer modeste au cœur d'une ville\ndressée sur les falaises de Brodia. Abandonnée\npar ses parents.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ユナカ\nElle est bien trop jeune pour comprendre...\nMais voilà qu'un homme la prend sous son\naile... un assassin.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nシトリニカ\nOh !\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ユナカ\nIl lui fait part de son désir d'avoir\nune jeune assistante.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ユナカ\nEt il entraîne la jeune fille à tuer.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nシトリニカ\nDans quel but ?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ユナカ\nC'est de l'argent facile.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nシトリニカ\nAlors cet homme t'a imposé de suivre sa voie ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ユナカ\nTout à fait.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nシトリニカ\nEt c'est ainsi que tu es devenue un assassin...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nシトリニカ\nC'est une histoire tragique, mais elle ne te\nvaudra nulle compassion.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ユナカ\nJe ne demande aucune compassion.\nEt je n'ai pas terminé.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nシトリニカ\nBien. Poursuis ton récit.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ユナカ\nUn instant, quelqu'un arrive.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nシトリニカ\nY a-t-il un problème ?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06ユナカ\nNous poursuivrons cette conversation\nune autre fois.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nシトリニカ\nTrès bien.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nBien, Yunaka. Nous voilà seules.\nAchève ton récit.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06ユナカ\nEntendu.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ユナカ\nLa jeune fille fait ce qu'on lui demande. Ce\npour quoi on l'a entraînée. Tuer est une simple\nbesogne dont elle s'acquitte sans s'impliquer.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ユナカ\nJusqu'au jour où l'assassin qui l'a élevée\ntombe malade.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ユナカ\nSon mal est incurable, et il ne lui reste\npas beaucoup de temps.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ユナカ\nIl explique alors à la jeune fille que son\nvéritable projet était de la préparer à lui\nsuccéder.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ユナカ\nAlors, proposant tout le pécule qu'ils ont\namassé ensemble, il lui confie une ultime\nmission.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nシトリニカ\nNon...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ユナカ\nElle le méprise plus qu'autre chose. Mais elle\nsait tout de même que sans lui, elle n'aurait\npas survécu.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06ユナカ\nEnfin, elle honore sa dernière volonté.\nElle l'exécute.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nシトリニカ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ユナカ\nAprès cela, Larimar cesse de tuer pour\nvivre. Elle fait en sorte de commencer\nune existence nouvelle.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ユナカ\nElle prend le nom de Yunaka, et voilà.\nElle est là. Une toute nouvelle personne.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nシトリニカ\nJe vois...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ユナカ\nEt pour en revenir à la réunion des gros bonnets\nde Brodia...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nシトリニカ\nOui. Je nourris toujours quelque soupçon\nquant à tes intentions.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ユナカ\nJe préparais le terrain pour un projet.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nシトリニカ\nQuel genre de projet ?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ユナカ\nPour tout dire, je voudrais monter une trésorerie\npour aider les enfants défavorisés.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ユナカ\nEt cette réunion en serait le point de départ.\nJe comptais en profiter pour présenter\nmon idée.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nシトリニカ\nOh !\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nシトリニカ\nAlors voilà pourquoi tu te renseignais de tous\ncôtés au sujet de l'assemblée de Brodia...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ユナカ\nOui. Mon objectif est de faire tout ce qui est en\nmon pouvoir pour qu'aucun enfant ne connaisse\nce que j'ai connu.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nシトリニカ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nシトリニカ\nJe me suis comportée comme une idiote\ndégénérée.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06ユナカ\nQuoi ? Bien sûr que non. C'est ton droit d'avoir\ndes soupçons. Ça ne m'a pas dérangée.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nシトリニカ\nYunaka, accepte mon aide pour instituer cette\ntrésorerie. Vois-y un premier pas pour me faire\npardonner.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06ユナカ\nQuoi, vraiment ?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nシトリニカ\nTandis que la guerre fait rage, le nombre\nd'orphelins ne fait que croître.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nシトリニカ\nLe cœur de Brodia se brise. De nombreux\nnobles cherchent à apporter leur aide.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nシトリニカ\nJe t'en prie, profite de mon carnet d'adresses.\nJ'ai fait preuve de mauvais esprit, et j'entends\nexpier cette erreur.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06ユナカ\nNon, non ! Tu n'as rien à expier ! Sincèrement,\nje ne ressens que de la reconnaissance.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0C\nシトリニカ\nJe suis soulagée d'entendre ça...\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0C\nシトリニカ\nTu essaies d'accomplir quelque chose de\nmerveilleux. Je veux m'assurer de ta réussite.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0C\nシトリニカ\nEntre toi et moi, c'est le début d'une longue\ncollaboration. J'ai hâte de me mettre au\ntravail !\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x08\x06ユナカ\nOui, c'est vrai ! Et je te promets que jamais,\nje n'oublierai ta gentillesse.\x0E\x04\x00\x00
