MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x08\x06クロエ\nOh, bonjour, Madame ! Vous êtes plus\nrayonnante que jamais.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08セリーヌ\nPourquoi pas ? J'ai le temps, si c'est là\nce qui te turlupine.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06クロエ\nHmm, hmm ! Oh, Princesse Céline...\nUn bon conte de fées se doit de tenir\nson public en haleine.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x08\x06クロエ\nLe jour où on s'est rencontrées, mon destin\na basculé.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クロエ\nDepuis, j'ouvre l'œil pour ne pas manquer\nces événements qui n'arrivent jamais dans\nune vie normale.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nQu'entends-tu par là ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06クロエ\nAvant de vous rencontrer, je menais une vie\ntout à fait ordinaire.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06クロエ\nIl m'arrivait de rêvasser à de charmantes\nhistoriettes, mais je savais que la vraie\nvie était bien différente.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06クロエ\nEt voilà que le jour où je vous rencontre,\nje me retrouve au beau milieu d'un véritable\nconte de fées.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06クロエ\nAlors si ça a pu se produire un jour, pourquoi\nest-ce que ça ne se produirait pas tout\nle temps ?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08セリーヌ\nCe n'est certes pas le courage qui te ferait\ndéfaut si tu étais une héroïne de conte de\nfées, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06クロエ\nVoyons, Madame. Inutile de me flatter.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セリーヌ\nHi hi ! Je ne te flatte pas, je ne fais qu'énoncer\nla vérité.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08セリーヌ\nMais tu disais que notre rencontre avait marqué\npour toi le commencement d'une nouvelle vie ?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06クロエ\nEn effet.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06クロエ\nC'est ce jour-là que j'ai pris la résolution de\nfaire tout ce qui était nécessaire pour devenir\nchevalier à votre service.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セリーヌ\nTiens, pourquoi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06クロエ\nEh bien, il me semblait qu'arriver au rang\nde chevalier était le seul moyen pour moi de\nvivre ma vie.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06クロエ\nUne vie qui n'était imposée ni par\nmes parents, ni par ma naissance.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クロエ\nCe jour a été un tournant pour moi,\net j'ai donc commencé à m'entraîner.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08セリーヌ\nJe me rappelle mon étonnement lorsqu'on\nm'a avisée que tu serais ma vassale.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クロエ\nHi hi ! Je m'en doute.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06クロエ\nAlors songez un peu à la réaction de ma famille.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クロエ\nQuand je dis que notre rencontre a changé\nma vie, ce n'est pas juste une manière\nde parler.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セリーヌ\nOh, Chloé...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08セリーヌ\nJe pourrais en dire autant à ton sujet.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08セリーヌ\nTu es une amie précieuse et la plus dévouée\ndes vassales.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08セリーヌ\nC'est une grande joie de t'avoir à mes\ncôtés. Merci d'être à mon service, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08セリーヌ\nJ'ai hâte de découvrir la suite du conte de fées\nque nous écrivons ensemble.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06クロエ\nEt moi donc, Céline.\x0E\x04\x00\x00
