MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nExcusez-moi, Votre Divinité... Il y a quelque\nchose dont j'aimerais vous entretenir, si cela\nne vous importune pas trop.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nEh bien... On me réveille au matin, je prends\nmon petit-déjeuner. Puis je m'entraîne jusqu'à\nmidi.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nJe mène une vie tout ce qu'il y a de plus\nnormal, en fait. Cela vous aide-t-il ?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06メリン\nBeaucoup ! Les activités de base sont très\nsimilaires à celles de l'humain moyen...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nAttendez... Vous prenez des notes ?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06メリン\nÉvidemment. Ce sont des informations\nprécieuses pour l'ouvrage que j'ai entrepris\nd'écrire à votre sujet.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08リュール\nUn livre ? Vous n'avez pas l'impression\nd'y aller un peu fort ?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06メリン\nComment cela ? Les générations futures ont\nle droit de tout savoir au sujet du Dragon divin.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08リュール\nJe, euh... Oui, je suppose.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nMerrin, il est assez malaisé de s'entraîner\ntandis que vous me fixez comme cela.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06メリン\nNe faites pas attention à moi. Je ne suis pas là.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06メリン\nJe me contente d'observer votre comportement\nafin de rassembler de la documentation pour\nmon livre.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nEt pendant combien de temps comptez-vous\nfaire cela, au juste ?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06メリン\nLe temps qu'il faudra.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06メリン\nN'ayez crainte. Je ne m'arrêterai pas tant\nque je n'aurai pas tout saisi dans ses moindres\ndétails !\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nOh, je vous en prie, laissez tomber !\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06メリン\nQuoi ? Je ne faisais que...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nVous ne faisiez que rien du tout ! Je ne suis\npas une de vos créatures, compris ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nOui, je suis un dragon. Je vis plus longtemps\nque les humains et je jouis de certaines\naptitudes uniques.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nMais je ne suis pas dépourvu\x0E\x0A\x00\x06
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06メリン\nVotre Divinité, je suis profondément désolée !\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06メリン\nVoyez-vous... pour moi, vous êtes beaucoup\nplus qu'un être humain.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06メリン\nVous êtes un être authentiquement divin.\nJe voulais m'assurer que les générations\nfutures ne l'ignorent pas.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06メリン\nJ'espérais qu'ainsi, elles vous protègent, vous\nle seul et unique Dragon divin.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06メリン\nMais je ne voulais nullement vous donner\nl'impression d'être quelque spécimen\nde recherche.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nJe sais bien. Il n'y a pas de mal.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06メリン\nBien sûr que si ! Vu que c'est précisément ce\nque vous ressentiez, pas vrai ?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06メリン\nOubliez ce livre. Je n'en écrirai plus une ligne.\nJe suis désolée, Votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リュール\nMerrin, je vous en prie ! Il n'y a pas de mal,\nvous dis-je !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x0A\x08リュール\nMerrin, écoutez. Je suis désolé\x0E\x0A\x00\x06
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06メリン\n« Se fâcher » est un bien grand mot...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nJe n'avais pas compris que vos observations\npartaient d'une généreuse intention.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06メリン\nNon... C'est moi qui faisais erreur, pas vous.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06メリン\nJ'étais parfaitement aveugle à ce que mon\ncomportement pouvait vous faire ressentir.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nVous savez... maintenant qu'on en a parlé,\nje serais heureu\x0E\x0A\x00\x0A\x02x\x04se de vous aider.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nIl n'y a pas beaucoup de livres au sujet des\nDragons divins. Personne ne m'a interrogé\x0E\x0A\x00\x06
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nVous désirez combler ce manque, aider les gens\nà en savoir davantage sur moi. Je conçois\nl'utilité de ce projet.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nBref, tout ça pour dire que... je vous en prie,\nobservez-moi autant qu'il vous plaira.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06メリン\nVraiment ? Vous êtes sincère ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nTout à fait sincère.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06メリン\nMerci, Votre Divinité ! Je vous en suis\ntrès reconnaissante.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06メリン\nQuand je vous observe, toutes mes angoisses\ns'évanouissent. Tous mes soucis se dissipent.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06メリン\nIl ne reste... que la gaieté ! Et je veux partager\ncette gaieté avec les autres, vous comprenez ?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nHa ha ! Il n'y en a pas deux comme vous, Merrin.\nC'est peut-être moi qui devrais écrire un livre\nà votre sujet.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06メリン\nVous me flattez, Votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nJ'ai une faveur à vous demander. Cessez de\nme considérer comme « beaucoup plus qu'un\nêtre humain », d'accord ?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nJe suis peut-être le Dragon divin, mais...\nEh, vous êtes pas commune non plus.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06メリン\nHé hé , vous marquez un point ! Au fond, on est\ntou\x0E\x0A\x00\x0C\x02s\x06tes les deux des créatures rares, hein ?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nTout à fait.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nOh, et au fait... J'espère que je serai l\x0E\x0A\x00\x08\x02e\x02a premi\x0E\x0A\x00\x0E\x04er\x06ère\nà lire votre livre.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06メリン\nBien entendu ! Qui serait mieux placé pour\nvérifier l'exactitude des renseignements ?\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nVotre Divinité ! J'ai fini le premier jet de mon\nlivre ! Vous voulez jeter un coup d'œil ?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nAvec plaisir. Voyons un peu cela...\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\n« Le Dragon divin \x0E\x06\x03\x00 s'éveilla après\nun sommeil de mille ans entre les murs d'un\nchâteau volant... »\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\n« Humble et bon, le Dragon divin combattait\navec un cœur vaillant pour protéger le peuple. »\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nJe crois que je vais rougir...\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x08\x06メリン\nCe n'est rien que la vérité.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\n« Le Dragon divin peut vivre des milliers\nd'années et possède des pouvoirs dont\nsont privés les êtres humains. »\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\n« Ceci dit, l'habitat et le comportement de ce\ndragon ne diffèrent pas de ceux d'un humain\ntypique. »\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\n« Soulignons enfin qu'aux yeux de l'autrice,\nle Dragon divin est l'être le plus précieux au\nmonde. »\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\nMerrin, c'est...\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x08\x06メリン\nJe suis désolée. Il fallait que j'écrive cela.\nNe vous inquiétez pas, ce passage sera biffé\ndu manuscrit final. Mais...\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x08\x06メリン\nVotre Divinité, j'ai besoin que vous sachiez\nl'importance que vous revêtez à mes yeux.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x08\x06メリン\nEt je ne veux pas que les gens oublient\nqu'une humaine nourrissait de profonds\nsentiments pour vous.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nJe souhaite que vous ne retiriez pas\ncette partie.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x08\x06メリン\nJe ne...\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nEt je souhaite que vous ajoutiez ceci :\n« L'autrice du présent ouvrage était tout aussi\nprécieuse aux yeux du Dragon divin. »\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\n« À telle enseigne que le Dragon divin offrit à\nMerrin l'Anneau du Pacte et fit le serment de\ndemeurer toujours à ses côtés. »\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x08\x06メリン\nV-Votre Divinité ! Vous ne pouvez pas\nm'offrir un présent si précieux !\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nPuisque vous nourrissez des sentiments si\nprofonds à mon égard, vous ne pouvez pas\nrefuser.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nVotre livre doit dire la vérité. Le Dragon divin\nadora un être humain du nom de Merrin.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x08\x06メリン\nSi tel est votre souhait...\nMerci, Votre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nQuand ce merveilleux ouvrage sera achevé,\nj'espère que les gens comprendront que\nje ne suis pas si différent\x0E\x0A\x00\x06
MID_RELIANCE_S_#024	\x0E\x03\x02\x08\x06メリン\nOui, mais il y a un léger problème.\nJe ne peux pas l'achever tout de suite.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nPourquoi pas ?\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x08\x06メリン\nJe dois y consigner les détails de notre vie\ncommune, la façon dont une humaine et un\ndragon auront veillé l'un sur l'autre.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nVous avez raison, Merrin. Et j'ai hâte d'écrire\ncette partie avec vous.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x08\x06メリン\nOui !\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x08\x06メリン\nJe vous adore, Votre Divinité. Les histoires\nque nous écrirons ensemble se raconteront\npendant des millénaires.\x0E\x04\x00\x00
