MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0A\x08リュール\nZelestia, vous n'avez pas encore pris de pause ?\x0E\x04\x00\x00
MID_RELIANCE_S_#015	Dans mon monde, j'avais des amis avec qui\nje pensais finir ma vie. Mais ils m'ont quittée.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nJe comprends, et cela doit être particulièrement\néprouvant d'avoir dû quitter votre monde.\x0E\x04\x02\x00
MID_RELIANCE_S_#017	Vos plaies ne se refermeront pas simplement\nen vous amusant avec de nouveaux amis.\x0E\x04\x02\x00
MID_RELIANCE_S_#018	Je suis désolé\x0E\x0A\x00\x06
MID_RELIANCE_S_#019	\x0E\x03\x02\x0E\x0Cセレスティア\nVous n'avez absolument pas à vous excuser,\nVotre Divinité ! Cette angoisse, je me la suis\ncausée toute seule.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nJe tiens à vous, et je ne veux plus jamais\nque vous vous sentiez aussi mal.\x0E\x04\x02\x00
MID_RELIANCE_S_#021	C'est pourquoi je vous donne l'Anneau\ndu Pacte.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0E\x0Cセレスティア\nC'est hors de question ! L'Anneau du\nPacte est bien trop précieux.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nJe comptais vous le donner pour vous faire\nle serment que le temps que nous passons\nensemble n'allait pas s'arrêter brusquement.\x0E\x04\x02\x00
MID_RELIANCE_S_#024	Nous sommes aussi proches que si nous étions\nde la même famille, n'est-ce pas ? Et quand on\nest en famille, on mange ensemble.\x0E\x04\x02\x00
MID_RELIANCE_S_#025	Alors continuons à partager nos repas.\nDemain, après-demain... Et ce aussi longtemps\nque nous vivrons.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0E\x0Cセレスティア\nMerci, Votre Divinité. Je serais honorée\nd'accepter cet anneau.\x0E\x04\x02\x00
MID_RELIANCE_S_#027	Vous me rendez très heureuse.\x0E\x04\x02\x00
MID_RELIANCE_S_#028	J'ai toujours souhaité que vous puissiez\ncompter sur moi, et que vous me laissiez vous\nchouchouter, un peu.\x0E\x04\x02\x00
MID_RELIANCE_S_#029	Au final, c'est moi qui compte sur vous,\nDragon divin \x0E\x06\x03\x00...\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0E\x0Cセレスティア\nVous êtes ma famille, maintenant.\nJe vous chérirai et promets de ne\nplus jamais vous quitter.\x0E\x04\x00\x00
