MID_WU_C_1_IN_#001	Doucement maintenant...\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	Ha ha ha ! Cela vous surprend, hein ?\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	C'était juste un bonbon.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	Mais quand il a la forme d'un anneau, on peut\nle porter jusqu'à ce qu'on ait faim !\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#005	Vous voulez essayer ?\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	Votre Divinité... Je suis venu vous remercier.\x0E\x04\x00\x00
MID_WU_B_2_IN_#002	Pour votre patience.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	Vous ai-je réveillé\x0E\x0A\x00\x06
MID_WU_B_2_SOON_#002	Oh ? Donc, vous vous êtes réveillé\x0E\x0A\x00\x06
MID_WU_B_2_SOON_#003	Ha ha ! Ça, c'est le Dragon divin\nque j'ai appris à connaître !\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	J'ai apprécié notre conversation.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	Votre intelligence et votre curiosité\nsont grandement appréciées.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	Oh, j'ai failli oublier ! Je voulais vous\nmontrer cette bouteille de... Oh, non !\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	J'ai réussi !\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	Cette substance est pour le moins explosive !\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	Vous avez été brûlé\x0E\x0A\x00\x06
MID_WU_B_2_HELLO_#004	Vander serait furieux si cela avait été le cas.\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	J'ai mis au point une autre\ninnovation ingénieuse.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	Bonjour.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	Voulez-vous des fruits uniques\npour démarrer votre journée ?\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	Notez la texture croustillante...\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	que j'ai créée avec la magie de Foudre.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	J'ai utilisé la Foudre pour ajouter du peps...\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	à cette boisson.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	Les bulles ont disparu depuis...\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	mais on peut en refaire facilement. Foudre !\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#005	Oh, non ! Beaucoup trop !\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	Vous êtes réveillé\x0E\x0A\x00\x06
MID_WU_A_1_HELLO_#002	J'allais vous offrir un verre...\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	mais ce dernier coup\nde Foudre a tout fait mousser.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	Voulez-vous de la mousse ?\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	Je ne peux m'empêcher de me sentir coupable\nd'être venu vous réveiller, Votre Divinité.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	Ah ha. Vous êtes déjà réveillé\x0E\x0A\x00\x06
MID_WU_A_2_SOON_#002	Bonjour, alors.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	Vous dormez si paisiblement.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	C'en est presque criminel.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	Même si je manque à mon devoir, je ne peux me\nrésoudre à perturber un sommeil si paisible !\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	Il semble que je vous aie réveillé\x0E\x0A\x00\x06
MID_WU_A_2_HELLO_#002	Je suis terriblement désolé. Je sais que\nles jeunes ont besoin de se reposer.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	Oh, c'est vrai...\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	J'oubliais que vous aviez plus de mille ans !\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	C'est le matin ! Il est temps pour vous\nde commencer à vous préparer.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	Regardez-vous. Habits froissés,\ncheveux en bataille...\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	Hé hé, désolé. Je me suis laissé emporter.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	C'est trop facile pour moi de vous dorloter...\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	comme si vous étiez mon enfant.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	Je vois que vous avez du mal à vous lever.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	Venir vous réveiller ainsi me rappelle...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	l'époque où je le faisais pour\nma famille il y a très longtemps.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	Mais mes enfants n'ont plus besoin de moi,\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	alors permettez-moi de me consacrer à vous.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	Jusqu'à la fin de cette guerre,\nou que je rejoigne feu ma chère épouse...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	Je veillerai sur vous.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	Vous êtes réveillé\x0E\x0A\x00\x06
MID_WU_S_1_HELLO_#002	Nous allons vous préparer.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	Hum ? Bien sûr que cela ne me gêne pas.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	Après tout, vous avez choisi\nce vieil homme comme partenaire.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#005	Je suis ici pour vous.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	Toujours profondément endormi\x0E\x0A\x00\x06
MID_WU_S_2_SOON_#001	Ha ha, je vous ai eu\x0E\x0A\x00\x06
MID_WU_S_2_SOON_#002	Il semble que je sais exactement\nce qu'il faut dire pour vous réveiller.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	Je crois que je commence à apprécier...\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	la nature de notre partenariat.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	En alternant Foudre et Feu sur ce métal...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	cela devrait prendre forme rapidement !\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	Et voilà ! Un bracelet en\nparfait état de marche.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	Il fait pâle figure à côté de l'Anneau du Pacte...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	mais c'est néanmoins un beau cadeau.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	Ainsi, vous vous souviendrez de moi...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	lorsque je serai parti.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	Bonjour.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	Je suis prêt à vous aider pour\nquoi que ce soit, Votre Divinité.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	Vous devriez savoir que je vous\nserai toujours reconnaissant...\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	d'avoir besoin de ma force.\x0E\x04\x00\x00
