MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	Vous me faisiez confiance à ce point-là.\nEnfin non, pas vraiment vous, le vous\nde là-bas, quoi.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06モーヴ\nJe vous crois. Vous avez d'ailleurs l'air\nde quelqu'un à qui je pourrais confier\nma vie.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nグレゴリー\nEt le moi de ce monde, il était comment ?\nVous étiez ensemble dans le groupe des\nQuatre Chacals, non ?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06モーヴ\nÊtes-vous sûr de vouloir le savoir ?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nグレゴリー\nBen, ouais. Je sais rien de lui, alors que\nje vous ai parlé de mon Mauvier. C'est\nun peu injuste, en gros.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06モーヴ\nEffectivement, vous m'avez parlé de lui.\nEt avec beaucoup d'émotion.\x0E\x04\x02\x00
MID_RELIANCE_B_#011	Très bien. Si vous y tenez vraiment...\nMais je dois vous prévenir que ce ne sera pas\nplaisant à entendre. Il va falloir vous armer.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nグレゴリー\nSi vous essayez de me faire peur...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06モーヴ\nIl ne m'a jamais confirmé ce que je vais vous\ndire, mais c'est en tout cas ma vérité.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	Votre double a été abandonné par ses parents,\npuis recueilli dans une église qui vénérait\nle Dragon déchu.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nグレゴリー\nBon, jusqu'ici, c'est comme pour moi...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06モーヴ\nMais contrairement à vous, il a découvert assez\ntôt que la douleur lui procurait du plaisir. Tant\ncelle qu'il subissait que celle qu'il infligeait.\x0E\x04\x02\x00
MID_RELIANCE_B_#017	Selon les rumeurs, il envisageait sa souffrance\ncomme une offrande spirituelle qu'il adressait\nau Dragon Déchu.\x0E\x04\x02\x00
MID_RELIANCE_B_#018	Son fanatisme attira l'attention de Zephia,\nqui l'invita à joindre les Quatre Chacals.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	À cette époque, il paraît qu'il était impossible\nd'avoir une conversation normale avec lui.\nC'était un paria.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nグレゴリー\nOn dirait bien ! Et puis qui voudrait être\nami avec un type obsédé par la douleur ?\x0E\x04\x02\x00
MID_RELIANCE_B_#021	Mais les Quatre Chacals, sinon ?\nIls s'entendaient comment ?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06モーヴ\nAssez mal. Nos liens déjà fragiles se sont\ncomplètement brisés suite à un décès.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nグレゴリー\nUn décès... C'était moi ? Zelestia ?\nMadeline ?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x02\x00
MID_RELIANCE_B_#025	Marni, le double de Madeline dans ce monde,\navait été tuée par le double de Zelestia.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0C\nグレゴリー\nHein ?\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x08\x06モーヴ\nIls ont ri de sa mort, la qualifiant simplement\nde gâchis. Incapable de leur pardonner,\nje les ai quittés.\x0E\x04\x02\x00
MID_RELIANCE_B_#028	Quand je vous regarde, je vois son visage.\nC'est probablement pour cela que je n'arrive\npas à vous faire pleinement confiance.\x0E\x04\x00\x00
MID_RELIANCE_B_#029	\x0E\x03\x02\x0C\nグレゴリー\nCe serait difficile de vous le reprocher, s'il a\nfait un truc aussi horrible... En tout cas,\nje comprends votre attitude, maintenant.\x0E\x04\x02\x00
MID_RELIANCE_B_#030	Et je vous demande pardon, j'arrêterai de vous\nembêter. Je vous remercie de m'avoir parlé.\x0E\x04\x00\x00
MID_RELIANCE_B_#031	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x08\x06モーヴ\nTout va bien ? Vous semblez en proie à\nune grande agitation.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nグレゴリー\nNon, rassurez-vous, je vais bien.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06モーヴ\nAprès ce que je vous ai raconté, il est tout\nà fait normal que vous soyez perturbé.\x0E\x04\x02\x00
MID_RELIANCE_A_#004	Je vous présente mes excuses si mes propos\nont été trop brutaux pour vous. J'aurais dû\nfaire davantage attention.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nグレゴリー\nNon, c'est bon. Et puis c'est moi qui vous\nai demandé de me le raconter, après tout.\x0E\x04\x02\x00
MID_RELIANCE_A_#006	Dire qu'il a fait tout ça... Moi aussi j'aurais\ndu mal à me faire confiance, à votre place.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06モーヴ\nLes circonstances ont changé. Je sais à présent\nque vous êtes incapable d'agir comme lui.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nグレゴリー\nC'est évident ! Je n'ai rien à voir avec ce type.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Jamais je ne tuerais un allié, jamais je\nn'abandonnerais quelqu'un à son sort !\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06モーヴ\nJe vous crois. Je suis certain que vous\nprotégeriez vos amis au péril de votre vie.\x0E\x04\x02\x00
MID_RELIANCE_A_#011	Et pour cela, vous avez gagné ma confiance.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nグレゴリー\nOh, vraiment ? Hé hé... Vous avez pas idée\nde ce que ça me fait d'entendre enfin ça.\x0E\x04\x02\x00
MID_RELIANCE_A_#013	Je vous remercie de croire en moi, Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nグレゴリー\nAttendez, je vous remercie, et vous, vous\nrestez planté là, à me fixer.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06モーヴ\nVos remerciements m'ont pris de court.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Ils m'ont fait prendre conscience que Griss ne\nm'avait jamais remercié pour quoi que ce soit.\nAlors que je l'avais côtoyé des années durant.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nグレゴリー\nBen, on est deux personnes différentes.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	Enfin je veux dire que le moi de ce monde\na l'air d'être particulièrement bizarre quand\nmême. Et encore, je pèse mes mots.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06モーヴ\nC'est vrai.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nグレゴリー\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06モーヴ\nQu'est-ce qu'il y a ?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nグレゴリー\nOh, rien. Je me disais juste... que je n'avais\nencore jamais entendu Mauvier rire.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06モーヴ\nPeut-être, mais comme vous l'avez si justement\nremarqué, nous sommes deux personnes\ndifférentes.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nグレゴリー\nHé hé, c'est exact. Même si nous leur\nressemblons un peu, parfois.\x0E\x04\x02\x00
MID_RELIANCE_A_#026	Nous sommes nous-mêmes, point final.\nContinuons cette belle collaboration, Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06モーヴ\nAvec plaisir.\x0E\x04\x00\x00
