MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nOh... Griss...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	Et si j'en crois la tête que vous faites,\nils sont loin d'être bons.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ヴェイル\nJe suis désolée, Gregory. Je sais bien que\nvous n'êtes pas cette personne.\x0E\x04\x02\x00
MID_RELIANCE_C_#018	C'est juste que...\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nグレゴリー\nVous en faites pas. Vous n'avez pas besoin\nde vous justifier. Je vous mets mal à l'aise,\net on parlera une autre fois.\x0E\x04\x02\x00
MID_RELIANCE_C_#020	De mon côté, je suis content d'avoir pu vous\nvoir et vous entendre. Ne vous souciez pas\ndu reste.\x0E\x04\x02\x00
MID_RELIANCE_C_#021	À une prochaine fois, Dame Veyle.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08ヴェイル\nIl ressemble tellement à Griss. Et pourtant,\nil est complètement différent. Je dois essayer\nd'être plus aimable avec lui.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nDame Veyle, je vous ai apporté un cadeau pour\nme faire pardonner notre dernière rencontre.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ヴェイル\nUn cadeau ? Merci, Gregory.\nQu'est-ce que c'est ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nグレゴリー\nEh bien, je me suis renseigné sur vous, et on\nm'a dit que vous aimiez tout ce qui était épicé...\x0E\x04\x02\x00
MID_RELIANCE_B_#004	Alors je suis allé en ville acheter les trucs\nles plus épicés qui soient. Ça vous dit qu'on\nles goûte ensemble ?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ヴェイル\nVous vous êtes donné toute cette peine\npour moi ?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nグレゴリー\nQuand les choses en valent la peine, on les\nfait bien. S'il y a un truc qui vous tente,\nvous gênez pas et servez-vous !\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x02\x00
MID_RELIANCE_B_#008	Il est toujours si gentil... Mais j'ai beau avoir\nconscience que ce n'est pas Griss, j'ai toujours\ndu mal à me tenir à ses côtés.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nグレゴリー\nHmm ? Qu'est-ce qui ne va pas ? Vous mangez\ntoute seule et ça vous fait bizarre, c'est ça ?\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Eh ben je mangerai aussi, alors.\nCe sandwich rouge vif me fait de l'œil,\naprès tout.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ヴェイル\nAttention ! Il a l'air extrêmement épicé.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nグレゴリー\nMiam, il pique pas tant que ça, en fait. \nEnfin quoique... ça commence doucement\nà cramer, là...\x0E\x04\x02\x00
MID_RELIANCE_B_#013	AAAH ! Ça brûle, ça brûle ! Aaah !\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ヴェイル\nOh, mon pauvre ! Je vais vous chercher\nde l'eau !\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nグレゴリー\nNon, ça ira, je vous assure. Vraiment, vous\nen faites pas. Goûtez plutôt à quelque chose.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ヴェイル\nVous êtes sûr que tout va bien ? Bon, puisque\nvous insistez... Je vais goûter le même\nsandwich.\x0E\x04\x02\x00
MID_RELIANCE_B_#017	Oh, mais c'est délicieux ! Je n'en avais encore\njamais mangé, mais c'est épicé à souhait.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nグレゴリー\nNon mais vous êtes sérieuse ? Ça pique pas\ntrop pour vous ? Eh ben...\x0E\x04\x02\x00
MID_RELIANCE_B_#019	J'aurai au moins réussi à vous faire sourire,\nc'est déjà ça. Et servez-vous, il en reste\nune tonne.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ヴェイル\nEuh... vous êtes sûr que ça va ?\nVous transpirez...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nグレゴリー\nC'était peut-être un peu trop épicé.\nIl faut croire que je supporte cette douleur\nmoins bien que vous...\x0E\x04\x02\x00
MID_RELIANCE_B_#022	Mais vous en faites pas. Je gère... totalement...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08ヴェイル\nGregory ? Gregory !\x0E\x04\x02\x00
MID_RELIANCE_B_#024	Il s'est évanoui ! Qu'est-ce que je fais, moi ?\nIl faut que j'aille chercher de l'aide !\nNe bougez surtout pas.\x0E\x04\x02\x00
MID_RELIANCE_B_#025	Oh... Pourquoi vous être forcé comme ça ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nDame Veyle, je m'excuse pour l'autre fois.\nJe sais que vous avez eu du mal à supporter\nde me voir m'évanouir.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ヴェイル\nNe vous inquiétez pas. Je suis contente\nque vous vous en soyez sorti, c'est tout.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nJe tenais quand même à m'excuser. Et pour\ncela, j'ai apporté d'autres trucs à goûter.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ヴェイル\nEst-ce qu'ils sont tous épicés ? Vous avez\nencore acheté tout ça juste pour moi,\nn'est-ce pas ?\x0E\x04\x02\x00
MID_RELIANCE_A_#005	J'apprécie votre geste, mais si je ne peux\npas les partager avec vous...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nグレゴリー\nVous en faites pas, je me suis entraîné.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ヴェイル\nPeut-être, mais...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nグレゴリー\nAllez, assez causé. Mangeons !\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Hmm, ce biscuit rouge vif a une très bonne\ntête. Mais je vais plutôt essayer... Oh et qu'à\ncela ne tienne, je tente celui-là.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ヴェイル\nAllons, commencez en douceur, d'accord ?\nJe vous rappelle que vous ne supportez\npas la nourriture épicée.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nグレゴリー\nMais non, ça va. Je gère la nourriture\népicée, je vous assure !\x0E\x04\x02\x00
MID_RELIANCE_A_#012	Je prendrai peut-être de ce gâteau, ensuite.\nMais c'est vrai que rien qu'à l'odeur,\nil a l'air d'arracher !\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ヴェイル\nPourquoi vous infligez-vous cela ?\nJ'espère que ce n'est pas uniquement\npour moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nグレゴリー\nBen personne n'aime avoir peur, non ?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ヴェイル\nJe ne vous suis pas...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nグレゴリー\nJe sais que vous avez peur de moi, et qu'il\nvous suffit de me regarder pour être saisie\nd'un frisson d'effroi.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Je n'aime pas avoir peur, alors la dernière\nchose que je veux, c'est éveiller ce sentiment\nen vous.\x0E\x04\x02\x00
MID_RELIANCE_A_#018	Je sais que mon autre moi vous a fait du mal,\nmais je ne suis pas votre ennemi, et jamais je\nne voudrais vous effrayer ou vous faire du mal.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	Je me suis dit qu'en faisant ça, je pourrais\nvous le prouver.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ヴェイル\nJ'ai compris. Enfin... Je crois avoir compris.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nグレゴリー\nSi le fait de manger cette nourriture vous rend\nheureuse, alors ça vaut le coup d'essayer.\nJe m'habituerai bien à avoir la bouche en feu.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ヴェイル\nJe n'ai plus peur de vous, Gregory. Il est\névident que vous êtes quelqu'un de bon.\x0E\x04\x02\x00
MID_RELIANCE_A_#023	Mais vous me faites peur, à dépasser ainsi\nvos limites pour moi. Je crains de vous voir\nvous évanouir à nouveau.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nグレゴリー\nAh ouais ?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ヴェイル\nLa prochaine fois, si vous voulez m'apporter\nun cadeau, je vous demanderai de choisir\nquelque chose que nous apprécions tous deux.\x0E\x04\x02\x00
MID_RELIANCE_A_#026	Je veux que nous soyons amis, et cela\nn'implique pas que nous accomplissions\ndes actes qui nous mettent mal à l'aise.\x0E\x04\x02\x00
MID_RELIANCE_A_#027	Mais si vous ne voulez pas de cette amitié...\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nグレゴリー\nNon ! Enfin... évidemment que je veux être\nvotre ami. Si vous êtes pas mal à l'aise\navec cette idée, évidemment.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08ヴェイル\nMerci !\x0E\x04\x02\x00
MID_RELIANCE_A_#030	Et tant qu'à faire, qu'est-ce que vous\nappréciez vraiment, point de vue nourriture ?\x0E\x04\x02\x00
MID_RELIANCE_A_#031	C'est à mon tour de vous offrir quelque\nchose, pour vous remercier du mal que\nvous vous êtes donné.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0C\nグレゴリー\nMerci, Dame Veyle. Je peux vous promettre\nque je choisirai un truc délicieux... dès que\nmon palais se sera remis.\x0E\x04\x00\x00
