MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x06\x04エル\nLe conseil de guerre ne va pas commencer\navant un moment. Je vais devoir trouver\nà m'occuper.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Ha ha ! Je n'arrive pas à me décider... Le mieux,\nc'est encore que je vous fasse tout le récital !\nÇa vous dit ?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x06\x04エル\nJ'en serais ravie.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0C\nミスティラ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04エル\nCet air mélancolique ne vous ressemble guère,\nPrincesse Timerra.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nミスティラ\nOh. Salut, Dame Nel.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04エル\nVous devriez peut-être vous offrir un rôti.\nÀ mon avis, vous manquez de tonus.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nミスティラ\nOh, vous n'avez pas oublié ! Ça me fait plaisir.\nNon, c'est juste que je n'ai plus tellement\nle cœur à chanter ces temps-ci.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x06\x04エル\nQue s'est-il passé ?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nミスティラ\nDes types qui sont passés à côté de moi\npendant que je préparais du feu. Ils ont\ndit des choses assez blessantes...\x0E\x04\x02\x00
MID_RELIANCE_A_#008	« Quel boucan infâme ! », « J'ai les oreilles\nen sang ! », « Pitié pour mes tympans ! »...\nJ'en passe et des meilleures.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04エル\nC'est inqualifiable.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nミスティラ\nOh, mais ce n'est pas ça qui me turlupine.\x0E\x04\x02\x00
MID_RELIANCE_A_#011	Ce qui me turlupine, c'est que vous pensez\npeut-être la même chose, mais que vous\nêtes trop polie pour me le dire.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	Du coup, je me dis que vous m'encouragez\nà chanter juste pour me faire plaisir...\nQuelle idiote je suis.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04エル\nEn effet, vous êtes une idiote intégrale.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nミスティラ\nHein ?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04エル\nJ'aime votre voix de tout mon cœur.\x0E\x04\x02\x00
MID_RELIANCE_A_#016	Chacune de vos chansons est un trésor dont\nje ne peux profiter qu'auprès de vous.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Comprenez-moi : nous autres, les dragons,\nvivons très longtemps. Je vous parle de\nmilliers d'années.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nミスティラ\nOui, je sais.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04エル\nMême le cerveau d'un dragon ne peut retenir\ntout ce qui se passe durant une si longue\npériode.\x0E\x04\x02\x00
MID_RELIANCE_A_#020	Et c'est ainsi que nombre de mes souvenirs,\nà commencer par les moins marquants,\ns'évanouissent et disparaissent.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	C'est pourquoi, à mes yeux, une chanson\nmémorable vaut davantage que tous\nles talents lyriques du monde.\x0E\x04\x02\x00
MID_RELIANCE_A_#022	Votre musique résonnera dans ma mémoire\npour des siècles, peut-être des millénaires.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nミスティラ\nEh bien, voilà un vrai compliment ou\nje ne m'y connais pas. Merci, Dame Nel.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x06\x04エル\nVous sentez-vous mieux ?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nミスティラ\nEt comment ! De toute façon, ce n'est pas mon\nstyle de me morfondre en tirant une tête de\ntrois mètres de long.\x0E\x04\x02\x00
MID_RELIANCE_A_#026	Maintenant, je chanterai à pleins poumons\nchaque fois que je vous verrai ! Comme ça,\nvous ne m'oublierez jamais !\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x06\x04エル\nHa ha ! Il n'est pas nécessaire de vous faire\nde souci à ce sujet.\x0E\x04\x02\x00
MID_RELIANCE_A_#028	Votre image est à jamais gravée dans\nma mémoire.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nミスティラ\nHa ha ! Parfait, mais ce n'est pas pour autant\nque je vais arrêter d'écrire des chansons.\x0E\x04\x02\x00
MID_RELIANCE_A_#030	D'ailleurs, j'en ai composé une pour vous !\nÇa s'appelle « Mon steak à moi »...\nVous voulez l'entendre ?\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x06\x04エル\nÉvidemment.\x0E\x04\x00\x00
