MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nHmm, La Roue de Fortune, à l'endroit...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06カゲツ\nJe vous l'ai dit, je sais lire l'avenir, moi aussi.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08セアダス\nLire l'avenir ? Aussi simplement ? Voulez-vous\nbien m'enseigner votre méthode ?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06カゲツ\nJe m'étonne que cela vous intéresse autant !\nHélas, je ne peux vous l'enseigner.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06カゲツ\nC'est un don inné, je n'ai rien fait pour\nl'acquérir.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06カゲツ\nMais c'est un parapluie pour les jours de beau\ntemps, comme on dit. Ce que j'apprends ainsi\nest toujours parfaitement insignifiant.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08セアダス\nJe vois.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08セアダス\nDans ce cas, je vais retourner à ma propre\npratique de la divination.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x08\x06カゲツ\nSeadall ! Votre avenir m'est apparu une nouvelle\nfois ! Votre représentation de ce soir fera salle\ncomble !\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08セアダス\nVos talents divinatoires ne m'apprennent rien,\nen l'occurrence. La foule se presse toujours à\nmes représentations.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06カゲツ\nMais sachez aussi que la nuit sera pluvieuse.\nPrenez vos dispositions si vous ne voulez\npas rentrer trempé !\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08セアダス\nC'est une évidence, Kagetsu. Il suffit d'un\ncoup d'œil aux gros nuages qui obscurcissent\nle ciel.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06カゲツ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06カゲツ\nJe vous l'avais dit ! Mon pouvoir est aussi\ninutile qu'un parapluie sous le soleil !\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08セアダス\nIl est vrai que vos prémonitions semblent ne\nconcerner que les détails les plus triviaux.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08セアダス\nSi votre don avait offert la perspective\nd'applications un peu plus... concrètes,\nje suis bien sûr que je vous l'envierais.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06カゲツ\nJe ne vois pas pourquoi, puisque vous savez\nlire l'avenir, vous aussi.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08セアダス\nOn tient mon talent dans ce domaine en haute\nestime, c'est vrai... Pourtant, et je le regrette,\nil n'est pas infaillible.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06カゲツ\nQu'est-ce qui vous fait dire ça ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セアダス\nMon professeur... celui qui m'a enseigné\nla danse... il a été sauvagement assassiné\npar une bande de voleurs.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08セアダス\nSi j'avais réellement maîtrisé les arts\ndivinatoires, j'aurais vu le danger en\ntemps utile, et je l'aurais sauvé.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08セアダス\nC'est pourquoi je travaille encore et encore,\npour ne plus jamais connaître un tel regret.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06カゲツ\nVous devriez peut-être lire mon avenir, alors.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08セアダス\nVotre avenir ?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06カゲツ\nOui ! Vous disiez que vous vouliez affûter vos\ntalents divinatoires.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06カゲツ\nVous pouvez donc vous entraîner sur moi,\ncela me fait plaisir.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08セアダス\nVous me seriez d'une grande aide, en effet.\nJe vous remercie.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06カゲツ\nInutile de me remercier !\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08セアダス\nBien, voyons ce que l'avenir vous réserve...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08セアダス\nKagetsu... les brumes du destin se dissipent\nsous mes yeux... et voilà que m'apparaît...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08セアダス\nOh non !\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08セアダス\nL'Arcane sans nom... La carte de la mort.\nEt elle est à l'endroit.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0A\x08セアダス\nCe qui signifie que le malheur va vous frapper.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x08\x06カゲツ\nQuoi ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x08\x06カゲツ\nÇa s'est joué à un cheveu !\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08セアダス\nKagetsu ! Que s'est-il passé ?! Le malheur vous\na donc frappé, comme l'a prédit la carte ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06カゲツ\nUn ours a élu domicile non loin de mon terrain\nd'entraînement ! Je ne l'avais jamais remarqué !\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08セアダス\nMais vous semblez sain et sauf ! Vous n'avez\npas la moindre égratignure.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08セアダス\nVous m'en voyez soulagé ! C'est donc que je\nme suis trompé dans mon interprétation.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06カゲツ\nNon, vous aviez parfaitement raison !\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08セアダス\nComment ?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06カゲツ\nJ'étais prêt à voir surgir le malheur à tout\nmoment. À peine ai-je vu l'ours s'approcher\nde moi que j'ai pris mes jambes à mon cou.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06カゲツ\nSi vous ne m'aviez pas fait cette prédiction,\nj'aurais été absorbé par mon entraînement,\ncomme toujours, et je l'aurais vu trop tard.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セアダス\nAinsi, ma prédiction vous a sauvé ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06カゲツ\nMais oui, Seadall, je lui dois la vie. Merci.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08セアダス\nNon, c'est à moi de vous remercier, Kagetsu.\nVous venez de me redonner confiance dans\nmes talents divinatoires.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06カゲツ\nTant mieux. Ouf ! Il n'y a rien de tel que de\nfrôler la mort pour s'ouvrir l'appétit !\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06カゲツ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06カゲツ\nJe viens d'avoir une nouvelle vision. Nous nous\ninstallions pour partager un repas, vous et moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セアダス\nJe ne doute pas de sa véracité. J'irais même\nplus loin, je parie qu'elle nous représentait\ndégustant des sandwiches à la viande.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06カゲツ\nDe la viande entre deux tranches de pain, c'est\nexact ! Comment l'avez-vous deviné ?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08セアダス\nFort simplement, car je venais de décider de\nvous inviter à partager mon repas.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06カゲツ\nOh ! Voilà une autre vision ! Je vois une amitié\nqui s'épanouit, entre vous et moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08セアダス\nHa ! Nous n'avons pas besoin de divination\npour apprendre cela. Nous sommes déjà amis,\nvous et moi.\x0E\x04\x00\x00
