MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nJe suis vraiment contente de devenir l'amie\nd'un autre Dragon divin... Nous allons avoir\ntellement de choses à nous dire !\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nVous acceptez d'être mon ami, alors que je ne\nsuis même pas un Dragon divin de ce monde ?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nPeu me chaut votre nature de Dragon divin.\nC'est votre personnalité propre qui m'intéresse.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nSeul le cœur importe, qu'il soit d'humain ou de\ndragon. Le vôtre est d'une pureté cristalline, et\nje suis reconnaissant de combattre à vos côtés.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x06\x04チキ\nHi hi, d'accord. Ça me fait plaisir. Je ferai\nmon possible pour que vous ne changiez\npas d'avis !\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06クラン\nDame Tiki est donc elle aussi un Dragon divin...\nElle est tellement sublime... J'espère pouvoir\nlui servir de gardien !\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x06\x04チキ\nEh bien ? Pourquoi m'observez-vous de si loin ?\nApprochez-vous et discutons un peu !\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06クラン\nJ'ai encore du mal à croire que vous vouliez\nbavarder avec moi. Je suis tellement content !\nEt un peu nerveux, aussi...\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x06\x04チキ\nIl n'y a pas de raison d'être nerveux, Clanne.\nNous sommes des amis !\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nExcusez-moi, Clanne... Vous dites souvent\nque je suis « sublime », mais qu'est-ce que\nvous entendez précisément par là ?\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06クラン\nC'est pas évident à exprimer... Ça désigne une\npersonne fantastique. Presque trop belle pour\nêtre vraie. Quelque chose dans ce genre-là.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x06\x04チキ\nAh ! Eh bien dans ce cas, je crois que vous\nêtes sublime, vous aussi !\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06クラン\nHein ?! C'est une blague... Nan, c'est vrai ?\nAh là là, ça me fait tellement plaisir !\nJ'arrive pas à y croire !\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06フラン\nOuah ! Un Dragon divin d'un autre monde...\nMince ! Elle m'a vue. Qu'est-ce que je fais ?\nAh là là, qu'est-ce que je fais ?!\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x06\x04チキ\nHein ? Seriez-vous en train de m'épier ?\nNe restez donc pas bêtement là-bas.\nApprochez, et venez discuter avec moi !\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06フラン\nÇa me fait plaisir que vous vouliez me parler,\nDame Tiki, mais je suis pétrifiée à chaque fois\nque vous approchez.\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x06\x04チキ\nHi hi ! Dans ce cas, je m'approcherai encore\nplus souvent, pour que ça vous passe. Je veux\nque nous devenions d'excellentes amies !\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06フラン\nDame Tiki... J'ai essayé de rédiger une lettre\npour vous exprimer toute ma gratitude.\nVoudriez-vous la lire ?\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x06\x04チキ\nOh, comme c'est gentil, merci ! Mais, euh...\nJe ne peux pas prendre la lettre en main...\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x06\x04チキ\nVous voudriez bien me la lire ? J'aimerais\nbeaucoup entendre ce que vous avez à me dire.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06フラン\nQuoi ?! Vous la lire... à voix haute ? J-Je ne m'y\nattendais pas, mais... ma foi, je peux essayer.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nMon peuple vénère le Dragon divin.\nC'est un grand honneur d'en rencontrer\nun venu d'un autre monde.\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x06\x04チキ\nMoi aussi, ça me fait plaisir de faire votre\nconnaissance ! J'espère qu'on sera amis !\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nEuh, il fait encore nuit... Qu'est-ce que vous\ntrafiquez d'aussi bon matin ?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe fais de l'exercice afin de développer\nma force. Voulez-vous vous joindre à moi ?\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nPourquoi les hommes se font-ils la guerre,\nTiki ? Pourquoi piétinons-nous de magnifiques\nfleurs avant de les noyer dans le sang ?\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x06\x04チキ\nJe crains que cette question ne soit un peu trop\ncomplexe pour moi, mais... Je crois que tout\nle monde a un bon cœur, au fond de soi.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x06\x04チキ\nSi seulement le monde entier était comme\nvous... Avec autant de bonté, plus personne\nne connaîtrait la guerre.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nHmm... merci. C'est un sujet douloureux, mais\nun bon entraînement me permettra de me vider\nla tête. Voulez-vous courir un peu avec moi ?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nブシュロン\nUn Emblème capable de se transformer en\ndragon... C'est impressionnant ! Je ferai\nde mon mieux pour être à la hauteur.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x06\x04チキ\nOuais ! Et moi aussi je ferai plein d'efforts !\nJe vous montrerai de quoi je suis capable !\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nCe livre doit être très émouvant, pour vous\nfaire pleurer ainsi. J'aimerais beaucoup que\nvous m'en fassiez la lecture.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0C\nブシュロン\nOh... vous m'avez vu pleurer ? Eh bien, c'est\nmon livre préféré. Asseyez-vous et écoutez,\nvous partagerez bientôt mon enthousiasme.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nVous adorez lire, hein ? À chaque fois que\nje vous vois, vous avez un livre en main.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x0C\nブシュロン\nEn effet. Il y a dans les livres des histoires\nmerveilleuses, qui nous changent agréablement\ndes combats. Et vous, aimez-vous la lecture ?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x06\x04チキ\nMa foi, j'aime surtout qu'on me fasse\nla lecture ! D'ailleurs, vous voudriez bien\nme lire quelque chose ?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x0C\nブシュロン\nAvez plaisir. J'ai de nombreuses histoires à vous\nraconter, et il en paraît sans cesse d'autres.\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nエーティエ\nAimez-vous vous entraîner, Tiki ? Peut-être\npourrions-nous aller courir toutes les deux\npour renforcer notre amitié ?\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x06\x04チキ\nJ'adore les activités physiques ! Et s'entraîner\nensemble sera sûrement encore plus amusant !\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nエーティエ\nLes pêchers de ma ville natale sont magnifiques,\nquand ils sont en fleurs. J'espère pouvoir vous\nles montrer, un jour.\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x06\x04チキ\nVraiment ? Voilà qui me ferait très plaisir !\nLes fleurs sont tellement jolies... Pourvu que\nnous ayons vite l'occasion d'y aller !\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nエーティエ\nVous avez l'air soucieuse. Y a-t-il quelque chose\nqui vous chagrine ? Je suis là, si vous avez\nbesoin de vous confier à quelqu'un.\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x06\x04チキ\nC'est juste que... je songeais au passé. Quand\nj'étais toute seule, dans un sommeil perpétuel...\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0C\nエーティエ\nOh... Eh bien, je vous suggère que nous allions\ncourir un peu. Vous me raconterez tout cela\npendant que nous ferons notre jogging !\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x06\x04チキ\nVous savez, rien que d'être en votre compagnie,\ncela me remonte le moral. Je vous en remercie,\nEtie. Allons courir, alors !\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nTiens, bonjour Tiki. Je vois que vous arborez\nun ravissant sourire, comme toujours.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x06\x04チキ\nComment ne pas sourire quand on est entouré\nde personnes aussi formidables ?\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nOn m'a rapporté que des cauchemars vous\ntourmentaient. Je vous ai préparé un peu de\nthé, ses effluves apaiseront peut-être vos nuits.\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x06\x04チキ\nOh, vous avez fait cela pour moi ? Vous êtes\nformidable ! L'odeur en est si agréable, je suis\nsûre que je dormirai comme un bébé !\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nQu'est-ce qui vous procure de la joie ?\nEn tant qu'amie et alliée, il me semble\ncrucial que je le sache.\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x06\x04チキ\nHmm, voyons... Peut-être quand je suis\nentourée de mes amis ?\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x06\x04チキ\nJ'aime être en compagnie des gens qui me\nsont chers. Alors le simple fait de vous avoir\nà mes côtés suffit à me faire sauter de joie !\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x0A\x08セリーヌ\nVraiment ? Je suis bien aise de vous apporter\ndu bonheur. Passons plus de temps ensemble,\ndans ce cas !\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04ルイ\nComme il est surprenant qu'une jeune femme\naussi charmante que Tiki se transforme en\nun féroce dragon sur le champ de bataille...\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x06\x04チキ\nPourquoi restez-vous ainsi à me fixer du\nregard ? Approchez-vous, et causons un peu !\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nHmm, je sens une odeur délicieuse...\nDissimulez-vous quelque friandise, Louis ?\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x06\x04ルイ\nJ'ai avec moi une poignée de raisins,\nla spécialité de ma terre natale. Je vous\nen prie, goûtez-y si le cœur vous en dit.\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04ルイ\nIl m'est fort agréable de passer du temps avec\nvous. C'est ainsi que je me représente le fait\nd'avoir une petite sœur.\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x06\x04チキ\nDans ce cas, je vous en prie : considérez-moi\ncomme votre petite sœur !\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nHa ha ! Voilà une admirable intention, mais\nvous êtes un Emblème. Je nourris une trop\ngrande admiration pour vous.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x06\x04チキ\nNe dites pas de bêtises ! Sinon, je finirai par\nvous appeler « grand frère », que cela vous\nplaise ou non !\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x08\x06クロエ\nSi vous êtes un Dragon divin, dois-je vous\nappeler « Votre Divinité » ?\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x06\x04チキ\nSurtout pas ! Appelez-moi simplement Tiki.\nCela me serait vraiment étrange que mes\nnouveaux amis soient aussi formels.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nJe vous vois toujours voler à travers le ciel.\nQu'est-ce que vous faites de beau, là-haut ?\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x08\x06クロエ\nOh, il m'arrive parfois de manger tout en\nvolant. Si jamais vous voulez vous joindre\nà moi, vous êtes la bienvenue.\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nJe me sens si bien avec vous... comme si j'étais\nenveloppée dans une couverture douillette.\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x08\x06クロエ\nJe ressens la même chose à vos côtés !\nNous avons fini par former un excellent duo.\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x06\x04チキ\nÀ propos de se sentir bien... Est-ce que\nvous pourriez me raconter un autre conte\nde fées ? J'ai beaucoup aimé le dernier.\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x08\x06クロエ\nD'accord. Asseyez-vous à côté de moi, et ne\nvous inquiétez pas si vous vous assoupissez.\nJe resterai près de vous jusqu'à votre réveil.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nJe suis enchanté qu'un nouveau Dragon divin\nait rejoint nos rangs. J'espère que nous\npourrons nous fier l'un à l'autre.\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x06\x04チキ\nOui ! Vous verrez, je suis très forte !\nEt je ne ménagerai pas mes efforts\npour venir en aide à tout le monde !\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nPourriez-vous me parler davantage du monde\nqui était le vôtre ? Était-ce le même que celui\noù évoluait Marth ?\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x06\x04チキ\nEn effet. Les combats succédaient aux combats,\nmais Mar-Mar y a mis un terme. J'espère que\nce monde-ci connaîtra lui aussi la paix.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nOh, quelle vilaine cicatrice vous avez au bras\ngauche... Vous vous êtes blessé au combat ?\nC'est douloureux ?\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nAh, ça... Je la dois à une séance de magie de\nfeu qui a mal tourné, dans ma jeunesse. J'étais\ntrès mauvais... et je n'ai pas progressé depuis.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nLa douleur se réveille parfois, mais le mal\nest bénin. C'est fort aimable de votre part\nde vous en inquiéter, Tiki.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x06\x04チキ\nOh... Mais même une légère douleur peut vous\nfaire perdre votre concentration. Hum, hum...\nFile, méchante douleur, ouste !\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08アンバー\nUn Dragon divin d'un autre monde... On se\ncroirait dans un rêve ! Parlez-moi de vous, Tiki !\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x06\x04チキ\nEntendu ! Je vais vous dire à peu près tout\nce qu'il y a à savoir sur moi ! Et après, ce sera\nà votre tour de me parler de vous !\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0A\x08アンバー\nPlus j'en apprends sur votre monde et plus je\nsuis ébahi d'être là, avec vous.\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x06\x04チキ\nHa ha ! Je suis moi aussi bien contente d'être là\navec vous ! Alors, de quoi allons-nous discuter\naujourd'hui ?\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nDites-moi, que sont ces « alpagas » dont vous\nparlez sans arrêt ? Je crois n'en avoir jamais vu.\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x0A\x08アンバー\nCe sont d'adorables animaux à la fourrure toute\ndouce et avec un long cou. Mon village natal est\nspécialisé dans l'élevage des alpagas !\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x06\x04チキ\nOh ! À vous entendre, ce doit être des animaux\ntrès mignons. J'aimerais en voir un, un jour...\nCroyez-vous que je pourrais en caresser un ?\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x0A\x08アンバー\nÇa peut tout à fait s'arranger. J'y veillerai en\npersonne, moi le prodige du village des alpagas !\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nJade, pourquoi vous voit-on parfois les yeux\nfermés alors que vous êtes debout ? Serait-ce\nque vous vous endormez sur place ?\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nNon, c'est juste que je médite. Pour apaiser\nmon esprit... Voudriez-vous essayer aussi ?\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nJ'ai vu qu'aujourd'hui, c'est dans l'écriture et\nnon dans la méditation que vous étiez plongée.\nQu'écriviez-vous ? Une lettre... ou un journal ?\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x0A\x08ジェーデ\nC'est un roman. Je m'y consacre plutôt la nuit,\nd'habitude, mais j'ai eu envie d'écrire en plein\nair, pour changer.\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nIl a dû vous arriver quelque chose de positif.\nVous arborez un immense sourire, aujourd'hui !\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x0A\x08ジェーデ\nJe suis surprise que vous vous en soyez aperçu.\nLa plupart des gens ne remarquent rien, même\nquand je souris.\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x06\x04チキ\nC'est que nous avons passé bien du temps\nensemble à discuter. Alors, que vous est-il\narrivé ? Dites-le-moi !\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x0A\x08ジェーデ\nQuelqu'un s'intéresse à ma dernière œuvre.\nSi je vous lis ce que j'ai écrit, pourriez-vous\nme donner votre avis ?\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x0C\nスタルーク\nJe n'arrive pas à croire que vous m'adressiez\nla parole. Vous êtes si formidable, Dame Tiki !\nJe ne mérite pas cet honneur...\x0E\x04\x00\x00
MID_GR_Staluke_C_#002	\x0E\x03\x02\x06\x04チキ\nQue racontez-vous là ? J'ai plaisir à vous\nparler, et j'espère bien que nous en aurons\ndavantage l'occasion !\x0E\x04\x00\x00
MID_GR_Staluke_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0A\x04チキ\x022\n\x0E\x03\x02\x06\x04チキ\nL'attaque que vous avez effectuée pendant\nla dernière bataille était formidable !\nTout le monde en a parlé !\x0E\x04\x00\x00
