MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08アンバー\x022
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アンバー\nOh, mince, je suis désolé... Je ne voulais pas\ndonner l'impression de me lamenter.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nAucun souci. Je suis là, si vous avez besoin\nde parler. Si vous souffrez de solitude, je peux\nvous tenir compagnie quelque temps.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nJ'espère seulement être un\x0E\x0A\x00\x06
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08アンバー\nVous plaisantez ?! Cela me ferait énormément\nplaisir de continuer à discuter avec vous !\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アンバー\nJe pourrais même vous enseigner davantage de\nrudiments d'alpagois, si vous voulez.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リュール\nVoilà qui promet d'être amusant !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08アンバー\x022
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08アンバー\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nLaissez-moi deviner... Vous avez dit « Je suis\ntriste, et j'aimerais pouvoir tous vous revoir »,\nc'est bien ça ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08アンバー\nVotre Divinité ?! Depuis quand êtes-vous là ?\nEt... comment savez-vous ce que j'ai dit ?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nJe vous ai tant entendu discuter avec vos amis\nalpagas... J'ai dû assimiler un peu la langue.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アンバー\nC'est vrai ?! Ouah.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nOuah !\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アンバー\nOuais, hein ! Ouah ! Mais attendez... Pourquoi\nest-ce que vous avez dit « ouah », au juste ?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nN'avez-vous pas entendu, à l'instant ? On aurait\ndit le cri d'un véritable alpaga, au loin !\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アンバー\nOh non, j'ai raté ça ! Et qu'est-ce qu'il disait ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nAlors... C'est totalement irréel comme situation,\nmais... je crois qu'il a dit : « On te rendra visite\ndès qu'on aura un week-end de libre. »\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アンバー\nC'est vrai ?! Oh ! Les adorables boules de poil !\nIl faut que je réponde ! Voyons voir...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アンバー\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\n« Ne vous inquiétez pas les amis, vous serez\nles bienvenus quand vous voudrez... »\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08アンバー\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\n« Mais Sa Divinité est là, alors je vais bien.\nPrenez soin de vous. » Ai-je bien compris ?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アンバー\nMais oui ! C'est exactement ce que j'ai dit !\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08アンバー\nJe suis vraiment impressionné. Vous avez\nvraiment un don pour l'alpagois !\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nVos compliments m'honorent.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アンバー\nC'est formidable. À passer du temps avec vous,\nj'ai un peu l'impression de me retrouver dans\nl'écurie de mon enfance.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nOh ? Est-ce que par hasard je vous rappellerais\nun quelconque animal de ferme ?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アンバー\nHein ? Non, mais pas du tout ! Ce n'est pas\nce que je voulais dire ! Toutes mes excuses,\nje me suis mal exprimé.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08リュール\nJe plaisantais, Amber. Je suis juste ravi\x0E\x0A\x00\x06
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アンバー\nOuaaah ! Quelle incroyable gentillesse !\nMerci, Dragon divin. Vous êtes \x0E\x0A\x002\x16le meilleur\x18la meilleure.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08アンバー\nHmm, voyons voir... « Il n'y a pas de quoi » ?\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08リュール\nC'est bien ça !\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08アンバー\x022
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08アンバー\nÇa, c'est mon village. Et là, c'est l'écurie\nd'alpagas de ma famille...\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08アンバー\nJe vous laisse deviner, pour celui-là.\nAllez, je vous donne un indice : c'est un alpaga !\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nJ'ignorais que vous dessiniez si bien, Amber.\nCes illustrations sont formidables !\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08アンバー\nOh, merci !\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nJ'avoue qu'à force de regarder vos dessins,\nj'en deviens un peu jalou\x0E\x0A\x00\x0A\x02x\x04se.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nVous êtes très attaché à votre village natal, et\nil vous manque. Tandis que moi, si j'ai un foyer,\nj'ignore bien où il est...\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08アンバー\nVotre Divinité...\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08アンバー\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08アンバー\nVotre foyer est ici.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nIci ? Comment ça ?\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08アンバー\nIci, près de moi !\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nHein ?!\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08アンバー\nÉcoutez-moi, Votre Divinité ! Si vous êtes\nune épée légendaire, moi, je serai le fourreau\nlégendaire qui vous protégera !\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08アンバー\nSi un combat vous laisse émoussé\x0E\x0A\x00\x06
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08アンバー\nEt je vous ramènerai toujours chez vous,\nsain\x0E\x0A\x00\x06
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nAmber...\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nJe ne peux pas accepter cela. Vous voir dans\nde telles dispositions me touche, mais...\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08アンバー\nV-Vous avez raison, Votre Divinité.\nExcusez-moi. J'ai été outrancier, c'est ça ?\nJe sais plus trop où me mettre...\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nMais non ! Ce n'est pas ce que je voulais dire !\nSi je suis une épée, vous en êtes une tout\nautant que moi. Nous combattons ensemble !\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08アンバー\nOuah...\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nVous rêvez de devenir un héros légendaire,\nn'est-ce pas ? Eh bien, je veux vous aider\nà réaliser ce rêve !\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08アンバー\nVotre Divinité, je...\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nJ'aimerais que vous portiez l'Anneau du\nPacte, Amber. Pourriez-vous faire cela,\npour moi ?\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nTout ce que je demande, c'est que vous\nme promettiez d'être l'épée à mes côtés.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08アンバー\nOuais ! Enfin, je veux dire oui ! Si c'est votre\ncondition, vous pouvez compter sur moi !\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nBâtissons ensemble un monde pacifique,\nAmber.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\nUn jour... J'aimerais pouvoir visiter\nl'écurie d'alpagas de votre village natal.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08アンバー\nBien sûr ! Mon village natal est le vôtre !\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0A\x08アンバー\nMerci, Votre Divinité. Je suis tellement ému\nque je sais même pas quoi vous dire...\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0A\x08アンバー\nOh ! Mais il faut absolument que je prévienne\nles alpagas, chez moi ! Ils seront tellement\ncontents !\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0A\x08アンバー\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#033	\x0E\x03\x02\x0A\x08リュール\nHmm... Je crois que ça risque de vous prendre\nun certain temps. Vous leur raconterez plus\ntard, d'accord ? J'aimerais le faire avec vous.\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x0A\x08リュール\nQui plus est, j'aimerais que ce moment\nn'appartienne qu'à nous deux.\x0E\x04\x00\x00
MID_RELIANCE_S_#035	\x0E\x03\x02\x0A\x08アンバー\nOh ! D'accord, Dragon divin \x0E\x06\x03\x00 !\x0E\x04\x00\x00
MID_RELIANCE_S_#036	\x0E\x03\x02\x0A\x08アンバー\nNous sommes des lames jumelles à présent,\nliées pour l'éternité ! Même si vous venez à le\nregretter ! Mais vous ne le regretterez pas !\x0E\x04\x00\x00
