MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x08\x06ジャン\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リンデン\nTu ferais mieux de fermer ces livres et de\nt'accorder un peu de répit.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ジャン\nMais j'ai encore tellement à apprendre !\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リンデン\nLes livres sont de merveilleux professeurs, mais\nils n'enseignent pas tout, mon garçon.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リンデン\nIl est peut-être temps de te tourner vers\nd'autres sources de savoir.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リンデン\nCe faisant, tu retireras davantage de tes lectures\nquand tu reviendras à tes premières amours.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ジャン\nVous croyez vraiment ?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08リンデン\nTout à fait. Si tu me laisses quelques jours pour\nme préparer, je suis prêt à te donner un cours.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nVoici ta nouvelle salle de classe, Jean.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ジャン\nUne prairie ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ジャン\nQu'est-ce qu'on fabrique ici ? Je vois mal qui\npourrait m'apprendre quoi que ce soit...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リンデン\nC'est que tu n'as pas bien regardé.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ジャン\nEuh... où ça ?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リンデン\nRegarde comme les fleurs s'épanouissent\ntout autour de nous. Elles tiendront le rôle\nde professeur, aujourd'hui.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ジャン\nHa ha. Vous plaisantez, pas vrai ?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リンデン\nPas le moins du monde. Je suis parfaitement\nsérieux.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リンデン\nTon corps et ton esprit sont à bout de souffle.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リンデン\nPrésentement, les fleurs ont bien plus de choses\nà t'apprendre que tes lectures.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リンデン\nSi tu veux bien te prêter au jeu, assieds-toi à\nmes côtés.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ジャン\nBon... Si vous le dites...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リンデン\nÀ présent, allonge-toi tout doucement, et\nobserve le firmament. Prends une longue\ninspiration.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ジャン\nD'accord...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ジャン\nComme ça ?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リンデン\nTu entends ce bruissement ? On dirait bien que\nles fleurs te parlent.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ジャン\nVraiment ?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06ジャン\nJ'entends rien.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リンデン\nHmm. Essaie de relâcher davantage tes épaules,\net de tendre l'oreille dans leur direction.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06ジャン\nMmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06ジャン\nJ'entends toujours rien.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06ジャン\nCela dit, j'aime bien ce parfum. Et la brise est\nagréable.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08リンデン\nAh oui ? Dans ce cas, pourquoi ne pas prendre\nun bon bol d'air ?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06ジャン\nJe vais faire ça...\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06ジャン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x08\x06ジャン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0A\x08リンデン\nEnfin endormi. Ce n'était pas une mince affaire.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x08\x06ジャン\nPardonnez mon manque de politesse. Je voulais\npas m'endormir en plein cours.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リンデン\nTu n'as aucune raison de t'excuser. Tout\nl'intérêt du cours était précisément de\nt'offrir un peu de repos.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リンデン\nCela dit, les fleurs t'ont appris une leçon\nprécieuse.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ジャン\nQuoi donc ?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リンデン\nSi tu brûles les étapes au point de négliger ton\nsommeil, tu risques de rater l'essentiel.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ジャン\nOh...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ジャン\nC'est vrai qu'à mon retour, j'avais moins de mal\nà me concentrer.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リンデン\nAha ! Ravi de l'apprendre.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ジャン\nDites, est-ce que vous me feriez l'honneur de\ndevenir mon professeur ?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リンデン\nQui, moi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ジャン\nCe cours m'a beaucoup appris.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ジャン\nLes livres ne suffisent pas. Il me faut d'autres\nsources de savoir et de sagesse.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ジャン\nUn grand maître comme vous pourrait me\nmontrer le chemin à suivre.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リンデン\nHmm... Un grand maître, dis-tu ?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ジャン\nVous voulez pas que je vous appelle\ncomme ça ?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リンデン\nNon, ce n'est pas le titre qui me dérange.\nSeulement...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リンデン\nJ'ai beaucoup à t'enseigner, mais je ne suis plus\ntout jeune. Peut-être faudra-t-il te résigner à ne\npas terminer ton apprentissage avec moi...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ジャン\nPas la peine de se faire du mouron.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ジャン\nJ'ai encore des choses à apprendre, mais en\ntant que médecin, je ferai tout pour que vous\nrestiez en bonne santé.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リンデン\nHmm ! Je constate que tu penses à tout. Bien\nvu, mon garçon.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リンデン\nEn ce cas, j'accepte. À partir de maintenant,\ntu seras mon disciple.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06ジャン\nMerci beaucoup ! Vous ne le regretterez pas !\x0E\x04\x00\x00
