MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nOh...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nヴァンドレ\nVous décrivez l'un de mes rêves les plus fous.\nMalgré tout, je me dois de décliner votre offre.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リンデン\nPourquoi ? Ne voulez-vous pas retrouver\nvotre jeunesse perdue ?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nヴァンドレ\nJe vous l'ai dit, je me satisfais de ce que\nmon corps me permet.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nヴァンドレ\nJ'enseigne aux jeunes ce que j'ai moi-même\nappris. Le monde a besoin de mentors autant\nque de guerriers.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リンデン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リンデン\nTrès bien. Je loue la force de vos convictions.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リンデン\nMais si mes recherches aboutissent, je parie\nque vous changerez votre fusil d'épaule.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08リンデン\nHmm... Nous en parlerons en temps voulu.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nMessire Lindon. Comment progressent vos\nrecherches sur le rajeunissement depuis notre\ndernière rencontre ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リンデン\nHa ha ! L'expérience a été un échec cuisant.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リンデン\nJe le mets sur le compte d'une erreur dans\nle tome qui avait à l'origine suscité mon intérêt.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リンデン\nUn sort pour retrouver sa jeunesse perdue\nsemblait trop beau pour être vrai, et ça l'était.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nヴァンドレ\nJe vois. C'est très dommage.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リンデン\nHonnêtement, j'en suis un peu soulagé.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nヴァンドレ\nPourquoi donc ?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リンデン\n« Je compense par mon expérience... »\n« Le monde a besoin de mentors... »\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リンデン\nAu cours de mes expériences, j'ai souvent\nrepensé à ce que vous m'aviez dit.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リンデン\nDans mes jeunes années, j'ai tellement appris\nen suivant les enseignements de mes aînés.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リンデン\nL'idée d'un monde sans de tels mentors\na commencé à me faire peur.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リンデン\nEt puis perdre mes réflexes de chevalier avec\nl'âge m'a aussi appris certaines choses.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リンデン\nPeut-être ces rôles ne peuvent-ils être occupés\nque par des personnes de notre âge.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nヴァンドレ\nAh, la vérité vous apparaît enfin.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nヴァンドレ\nQuel dommage que personne n'ait été là pour\nfaire comprendre cela au scribe qui a commis\nce tome.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リンデン\nTrouver son erreur a été un choc pour moi,\nmais j'y ai aussi gagné quelque chose.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nヴァンドレ\nOh ? Je vous écoute.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リンデン\nRegardez-moi, voyez-vous un changement ?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nヴァンドレ\nHmm. Vous avez l'air un peu plus alerte\nqu'à notre dernière rencontre.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リンデン\nVous êtes très perspicace !\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リンデン\nPendant mes recherches, j'ai mis la main sur un\nrituel mineur qui m'a aidé à soulager mon dos.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リンデン\nC'est ce qui m'a permis de retrouver un peu\nde souplesse et d'agilité !\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nヴァンドレ\nAh, vraiment ?!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08リンデン\nAurais-je détecté une pointe d'intérêt ?\nQuelqu'un que je connais aurait-il aussi\ndes douleurs lombaires ?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nヴァンドレ\nJe ne voulais pas l'admettre, mais oui.\nVous avez raison.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08リンデン\nN'en dites pas plus ! Ne bougez pas, Vander,\nje vais préparer le rituel pour vous.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08リンデン\nAprès tout, il vous sera plus facile d'enseigner\naux jeunes générations si vous êtes en forme.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nヴァンドレ\nUn sage elusien saura toujours trouver\nde la réussite, même dans l'échec.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08リンデン\nVous me flattez, Messire. Montrons à ces\nsoldats tout juste sortis de l'œuf ce dont\nsont capables deux vieux croûtons !\x0E\x04\x00\x00
