MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nYaaah !\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08パネトネ\nQuelque chose vous préoccupe, Votre Divinité ?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nJe suis seulement surpris\x0E\x0A\x00\x06
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パネトネ\nJe suppose qu'il serait vain de voiler la vérité.\nLa femme qui se tient devant vous n'est\nnullement noble.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08パネトネ\nEn fait, elle fut jadis une parfaite sauvageonne.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nVraiment ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08パネトネ\nOui. Mes parents étaient en dessous de tout,\ntoujours en vadrouille et ne songeant jamais\nà leurs enfants.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パネトネ\nJ'ai fini par fuguer. Avant que la princesse\nne me recueille, je menais une vie d'errance\net de solitude.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08パネトネ\nC'est alors que j'ai appris le langage des poings.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nJe suis navré\x0E\x0A\x00\x06
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08パネトネ\nNavré\x0E\x0A\x00\x06
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nJe vois. Mais... Accepteriez-vous de m'en\ndire plus au sujet de votre passé ?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nIl me semble qu'il me serait profitable de mieux\nconnaître la vie qui était la vôtre avant que\nvous ne rencontriez la princesse Timerra.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08パネトネ\nOh, bien sûr.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08パネトネ\nSi le récit de mes malheurs peut vous être\nutile, je ne serai que trop heureuse de vous\nle narrer.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nAh, malédiction. Il ne sera pas aussi facile de\nles retrouver que je ne l'escomptais.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nPanette ? Vous n'êtes pas encore couchée ?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08パネトネ\nAh ! Bonsoir, Votre Divinité !\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nQuelle est donc cette lettre que vous lisez ?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08パネトネ\nJ'ai embauché une enquêtrice, un fin limier de\nSolm pour retrouver mes parents. C'est son\nrapport que j'ai sous les yeux.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08パネトネ\nHélas, il semble que ses recherches ont\nabouti à une impasse.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nEuh, ne m'avez-vous pas dit que vos parents\nétaient des gens horribles ?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08パネトネ\nCertes, mais... Je me suis rendu compte en\ndevisant avec vous que j'avais des conflits\ninternes à résoudre.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08パネトネ\nJ'ai songé qu'aujourd'hui, peut-être, maintenant\nque le temps avait fait son œuvre, je pourrais\nleur parler sereinement.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08パネトネ\nD'où mon dessein de chercher à les retrouver.\nEn partant du principe qu'ils sont toujours\nen vie, cela va de soi.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nJ'avoue que je suis impressionné\x0E\x0A\x00\x06
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nPanette, et si je vous aidais à trouver\nvos parents ?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08パネトネ\nNon, non... Loin de moi l'idée de vous\ncharger d'un tel fardeau !\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nC'est le moins que je puisse faire pour vous\nremercier de notre séance d'entraînement.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nPar ailleurs, nous avons eu notre lot de danger\nau combat, tou\x0E\x0A\x00\x0C\x02s\x06tes les deux.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\nVous, moi, les autres... Nous sommes tous liés,\ndésormais. Nous devons nous aider les uns\nles autres. Laissez-moi donc vous aider.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08パネトネ\nSoit. Dans ce cas, j'accepte votre proposition\navec reconnaissance.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08パネトネ\nEt au fond, même si nous ne retrouvons jamais\nmes parents, j'ai déjà trouvé ma famille.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パネトネ\nAlors que demander de plus ?\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08リュール\nToujours pas de nouvelles de vos parents,\nje suppose ? Ne perdez pas espoir, nous\npoursuivons les recherches.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08パネトネ\nVotre Divinité... J'en suis arrivée à la conclusion\nqu'il valait mieux arrêter de s'acharner.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nMais... pourquoi ?\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08パネトネ\nJ'en suis profondément affligée, mais nous\navons fouillé partout. Il n'y a plus rien à faire.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08パネトネ\nCeci dit, je tiens à vous remercier sincèrement.\nVous aurez été un\x0E\x0A\x00\x06
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08パネトネ\nAvec vous, il était... agréable de chercher mes\nparents. J'espère que nous passerons encore\ndu temps ensemble tou\x0E\x0A\x00\x08
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nPuisque tel est votre désir, Panette, j'aimerais\nmoi aussi passer plus de temps avec vous.\nTout mon temps.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08パネトネ\nJe... Je ne comprends pas...\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nJe vous ai déjà dit que nous étions tous liés,\nmais ce qui nous unit va au-delà du simple lien.\nEntre nous deux, je veux qu'il y ait davantage.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\nS'il vous plaît, acceptez ceci.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08パネトネ\nLe... L'Anneau du Pacte.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nIl convient de l'offrir à quelqu'un pour qui on\nressent une affection profonde. Et pour moi,\nil s'agit de vous.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08パネトネ\nVotre Divinité... J-Je ne peux pas.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08パネトネ\nIl fut un temps où mes parents étaient très\nheureux l'un avec l'autre. Mais avec les\nannées, leur relation s'est dégradée.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08パネトネ\nLes sentiments évoluent. Je ne peux souffrir\nl'idée qu'une telle chose nous arrive.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nVous me parlez de votre passé, Panette.\nPourtant, vous avez toute une vie devant vous.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nTout le monde connaît des hauts et des bas.\nVous et moi, nous vivrons de bons moments,\nmais aussi de plus sombres.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nMais vous avez l'agilité d'un rapace fondant sur\nsa proie, et moi aussi, désormais. Il n'y a rien\nque nous ne saurions esquiver, tou\x0E\x0A\x00\x08
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08パネトネ\nHa ha ! Vous ne cessez de m'ébahir,\nVotre Divinité.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08パネトネ\nJ'ai réussi à vous convaincre de l'importance\nde l'agilité, mais qu'en est-il des autres facettes\nde l'art du combat à mains nues ?\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nElles n'ont rien à voir avec nous. Dites-moi\nplutôt ce que vous pensez de tout cela.\nAcceptez-vous cet anneau ?\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08パネトネ\nOui, avec joie.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08パネトネ\nDemeurez auprès de moi pour toujours et\nà jamais, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nOui. Je suis votre partenaire et vous êtes\nla mienne.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08パネトネ\nComme cette phrase est douce à entendre.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08パネトネ\nIl n'est personne auprès de qui je souhaiterais\ncombattre davantage. C'est vous et personne\nd'autre que j'adore.\x0E\x04\x00\x00
