MID_WU_C_1_IN_#001	Quelle surprenante coutume...
MID_WU_B_2_IN_#001	Ne me dites pas que vous comptez\ndormir toute la journée...
MID_WU_B_2_SOON_#001	Vous sautez hors du lit...
MID_WU_B_2_SOON_#002	Vous savez donc que vous avez trop dormi.
MID_WU_B_2_SOON_#003	D'aucuns pourraient s'en indigner,\nmais je ne vous réprimanderai point.
MID_WU_B_2_WAKEUP_#001	Vos autres alliés font peut-être\npreuve de délicatesse...
MID_WU_B_2_WAKEUP_#002	mais je ne compte point vous dorloter.
MID_WU_B_2_WAKEUP_#003	À présent, levez-vous.
MID_WU_B_2_WAKEUP_#004	Vos ennemis ne vous attendront pas.
MID_WU_B_2_HELLO_#001	Il était temps.
MID_WU_B_2_HELLO_#002	Non, je ne suis point fâchée.
MID_WU_B_2_HELLO_#003	Si vous pensez cela...
MID_WU_B_2_HELLO_#004	c'est que vous vous sentez coupable\nde vous lever si tard.
MID_WU_A_1_IN_#001	Je me demande si mon Dragon divin...
MID_WU_A_1_IN_#002	a jamais eu besoin d'aide pour se lever.
MID_WU_A_1_SOON_#001	Oh, vous m'avez entendue.
MID_WU_A_1_SOON_#002	L'autre Dragon divin...
MID_WU_A_1_SOON_#003	n'a jamais demandé l'aide de personne.
MID_WU_A_1_SOON_#004	Non que je m'en plaigne. Je suis ravie\nde pouvoir vous être utile.
MID_WU_A_1_WAKEUP_#001	Les souvenirs m'assaillent parfois...
MID_WU_A_1_WAKEUP_#002	Mais il n'y a qu'un seul Dragon divin...
MID_WU_A_1_WAKEUP_#003	que je veux protéger à présent.
MID_WU_A_1_WAKEUP_#004	Votre Divinité... Faites attention à vous.
MID_WU_A_1_HELLO_#001	Oh, vous avez tout entendu...
MID_WU_A_1_HELLO_#002	Je prie pour votre sauvegarde, naturellement.
MID_WU_A_1_HELLO_#003	Comme nous l'avons dit...
MID_WU_A_1_HELLO_#004	aucun de nous ne tient à perdre l'autre.
MID_WU_A_2_IN_#001	Si vous persistez...
MID_WU_A_2_IN_#002	on vous renommera\nle « Dragon dormant ».
MID_WU_A_2_SOON_#001	Hé hé.
MID_WU_A_2_SOON_#002	Comme je le pensais...
MID_WU_A_2_SOON_#003	vous vous réveillez pour échapper\nà un fâcheux sobriquet.
MID_WU_A_2_SOON_#004	Bonjour... Dragon dormant.
MID_WU_A_2_WAKEUP_#001	Vraiment, je reste sans voix.
MID_WU_A_2_WAKEUP_#002	Vous continuez de dormir malgré tout.
MID_WU_A_2_WAKEUP_#003	Soit, je recourrai à ce sobriquet...
MID_WU_A_2_WAKEUP_#004	jusqu'à ce que le message soit limpide.
MID_WU_A_2_HELLO_#001	Vous êtes enfin réveillé\x0E\x0A\x00\x06
MID_WU_A_2_HELLO_#002	Hm ?
MID_WU_A_2_HELLO_#003	Vous rêviez qu'on vous affublait\nd'un ridicule sobriquet ?
MID_WU_A_2_HELLO_#004	Je crains ne point comprendre.
MID_WU_A_2_HELLO_#005	Votre imagination est fascinante...
MID_WU_S_1_IN_#001	Votre Divinité.
MID_WU_S_1_IN_#002	Malgré mes sentiments à votre égard...
MID_WU_S_1_IN_#003	n'allez pas croire que je vous ménagerai.
MID_WU_S_1_SOON_#001	Bonjour.
MID_WU_S_1_SOON_#002	Je me réjouis de vous voir déjà réveillé\x0E\x0A\x00\x06
MID_WU_S_1_SOON_#003	Cela nous laisse du temps.
MID_WU_S_1_SOON_#004	Et si nous passions ensemble cette matinée ?
MID_WU_S_1_SOON_#005	Juste vous et moi, cher dragon.
MID_WU_S_1_WAKEUP_#001	Vous semblez toujours imperturbable.
MID_WU_S_1_WAKEUP_#002	À dire vrai...
MID_WU_S_1_WAKEUP_#003	je préférerais ne point vous harasser.
MID_WU_S_1_WAKEUP_#004	Si je pouvais m'étendre moi aussi\net m'assoupir à vos côtés...
MID_WU_S_1_WAKEUP_#005	Mais le monde a besoin de nous,\nplus que jamais.
MID_WU_S_1_WAKEUP_#006	Ainsi...
MID_WU_S_1_WAKEUP_#007	il est de mon devoir de vous réveiller.
MID_WU_S_1_WAKEUP_#008	Pour le salut de tous...
MID_WU_S_1_WAKEUP_#009	et ma propre sérénité, moi qui\nvous aime plus que quiconque.
MID_WU_S_1_HELLO_#001	Bonjour, chère Divinité.
MID_WU_S_1_HELLO_#002	Venez, notre mission nous attend.
MID_WU_S_1_HELLO_#003	Et ensuite...
MID_WU_S_1_HELLO_#004	lorsque vous rentrerez...
MID_WU_S_1_HELLO_#005	indemne parmi nous...
MID_WU_S_1_HELLO_#006	je vous réserverai ma\nplus belle berceuse.
MID_WU_S_2_IN_#001	Je suis un peu en avance, ce matin.
MID_WU_S_2_IN_#002	Votre Divinité ?
MID_WU_S_2_IN_#003	Oh... Vous dormez encore.
MID_WU_S_2_SOON_#001	Mes excuses.
MID_WU_S_2_SOON_#002	Je ne voulais point vous réveiller.
MID_WU_S_2_SOON_#003	Toutefois...
MID_WU_S_2_SOON_#004	je suis heureuse.
MID_WU_S_2_SOON_#005	Vous semblez réagir à ma présence.
MID_WU_S_2_SOON_#006	Que diriez-vous si...
MID_WU_S_2_SOON_#007	nous passions cette matinée ensemble ?
MID_WU_S_2_WAKEUP_#001	Il est parfois troublant pour moi...
MID_WU_S_2_WAKEUP_#002	de vous regarder ainsi assoupi\x0E\x0A\x00\x06
MID_WU_S_2_WAKEUP_#003	Votre expression me rappelle tant\ncelle de mon autre Dragon divin...
MID_WU_S_2_WAKEUP_#004	Celui que je côtoyais autrefois.
MID_WU_S_2_WAKEUP_#005	Je revois encore son visage\napaisé avant qu'il nous quitte.
MID_WU_S_2_WAKEUP_#006	Il m'est impossible de l'oublier...
MID_WU_S_2_WAKEUP_#007	de me défaire de ce sentiment.
MID_WU_S_2_WAKEUP_#008	Vous occupez à jamais mes pensées.
MID_WU_S_2_WAKEUP_#009	Je vous en prie...\nne me laissez jamais.
MID_WU_S_2_WAKEUP_#010	L'idée de vous perdre m'est intolérable.
MID_WU_S_2_HELLO_#001	Vous voilà réveillé\x0E\x0A\x00\x06
MID_WU_S_2_HELLO_#002	J'apprécie ces moments passés à vos côtés.
MID_WU_S_2_HELLO_#003	Jour après jour...
MID_WU_S_2_HELLO_#004	je ne me lasse point de votre compagnie.
MID_WU_S_2_HELLO_#005	Sans vous, ma vie n'aurait plus aucun sens.
