MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nJe ferai tout mon possible pour vous aider.\nC'est le moins que je puisse faire pour me\nrattraper de ne pas avoir été là pour vous.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nNe vous en faites pas, ma chère\npetite sœur. Je suis avec vous.\nNous y parviendrons ensemble.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08ヴェイル\nOui, nous y arriverons.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nEst-ce que vous vous rappelez le moment\noù vous m'avez donné la dracopierre ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nJ'aimerais vous dire que oui... Mais tout ce qui\nprécède mon réveil est encore brouillé dans\nmon esprit.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ヴェイル\nEh bien, nous ne nous sommes rencontrés\nqu'une seule fois, il y a de cela un millénaire.\x0E\x04\x02\x00
MID_RELIANCE_B_#003_F	\x0E\x03\x02\x0A\x08ヴェイル\nEh bien, nous ne nous sommes rencontré\x0E\x0A\x00\x06
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nUne seule fois, c'est tout ?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ヴェイル\nOui.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ヴェイル\nNos frères et sœurs avaient péri\npendant la guerre.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ヴェイル\nVous étiez le seul survivant, et vous êtes venu\nme voir...\x0E\x04\x02\x00
MID_RELIANCE_B_#007_F	\x0E\x03\x02\x0A\x08ヴェイル\nVous étiez la seule survivante, et vous êtes venue\nme voir...\x0E\x04\x02\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ヴェイル\nJ'étais très jeune à l'époque, chétive et\nparalysée par la peur. Mais vous m'avez donné\nla dracopierre.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ヴェイル\nVous m'avez dit que vous ne pouviez pas rester\nà mes côtés, mais que vous seriez toujours avec\nmoi.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nOh, je vous aurais vraiment dit ça...\nil y a tout ce temps...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ヴェイル\nOui. La dracopierre est maintenant brisée,\nmais elle m'a protégée comme un talisman\npendant si longtemps.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ヴェイル\nElle m'accompagnait quand Maman est morte\net quand Papa est revenu pour me dire des\nchoses horribles.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ヴェイル\nJe savais que tant que j'avais la dracopierre,\nje serais forte... et je tiendrais jusqu'au jour où\nje vous reverrais.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nVeyle, je...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ヴェイル\nMême si vous ne vous en souvenez pas,\nje vous suis vraiment reconnaissante,\naujourd'hui encore.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ヴェイル\nSi vous ne m'aviez pas donné la dracopierre,\nnous ne nous serions jamais retrouvé\x0E\x0A\x00\x06
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nMoi aussi, je vous suis reconnaissant\x0E\x0A\x00\x06
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nSans vous, Veyle, je ne serais plus\nlà aujourd'hui.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08ヴェイル\nMaintenant que nous sommes réuni\x0E\x0A\x00\x0A\x02s\x04es, nous\nresterons ensemble pour toujours, pas vrai ?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リュール\nOui, plus rien ne peut nous séparer.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nHé hé ! Je me suis tant amusée, aujourd'hui !\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ヴェイル\nC'est donc ça d'avoir une famille...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nVeyle, j'aimerais vous poser une question...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nQue sont vos sentiments à l'égard de notre\npère ? À l'égard de Sombron ?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ヴェイル\nEh bien...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nNous devrons bientôt lui faire face, non pas\nen tant que ses enfants, mais ses ennemi\x0E\x0A\x00\x06
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ヴェイル\nOui...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ヴェイル\nPapa a fait tellement de mal autour de lui.\nEt voilà qu'il recommence. Il est maléfique,\nje le sais.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ヴェイル\nIl n'a jamais eu le moindre geste de bonté\nenvers moi, et je suppose qu'il se fiche\néperdument de mon sort.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ヴェイル\nPourtant...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ヴェイル\nIl reste mon père, comme vous, vous êtes\nmon frère. Je n'arrive pas à éprouver que\nde la haine à son égard.\x0E\x04\x02\x00
MID_RELIANCE_A_#011_F	\x0E\x03\x02\x0A\x08ヴェイル\nIl reste mon père, comme vous, vous êtes\nma sœur. Je n'arrive pas à éprouver que\nde la haine à son égard.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nJe comprends.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ヴェイル\nParfois je rêve de faire partie d'une famille\nheureuse. Mais je sais bien que ce n'est qu'un\nsouhait stupide.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ヴェイル\nAlors j'espère juste réussir à arrêter Papa avant\nqu'il ne fasse davantage de victimes.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ヴェイル\nNon, je vais l'arrêter.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ヴェイル\nVoilà ce que j'éprouve à son sujet.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nMerci d'avoir parlé aussi ouvertement, Veyle.\nJe ressens la même chose.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nAucune réconciliation n'est plus envisageable\nentre nous. Je mettrai toutes mes forces\nen œuvre pour arrêter Sombron.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nMais je n'y arriverai pas sans vous.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ヴェイル\nNe vous en faites pas. Vous, moi, sans oublier\ntous nos amis... Nous l'arrêterons ensemble.\x0E\x04\x02\x00
MID_RELIANCE_A_#020_F	\x0E\x03\x02\x0A\x08ヴェイル\nNe vous en faites pas. Vous, moi, sans oublier\ntous nos amis... Nous l'arrêterons ensemble.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nOui. Nous y arriverons, Veyle. Et quand tout\nsera terminé, nous pourrons nous consacrer\nà notre futur.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ヴェイル\nOui. Notre futur.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nVous voilà ! J'ai quelque chose à vous donner.\x0E\x04\x02\x00
MID_RELIANCE_S_#001_F	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nVous voilà ! J'ai quelque chose à vous donner.\x0E\x04\x02\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nAh oui ?\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08ヴェイル\nVoilà ! J'espère que ça vous plaira.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nQuelle pierre magnifique ! Elle a la transparence\net les reflets bleutés de l'eau... Vous l'avez\ncherchée exprès pour moi ?\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08ヴェイル\nOui. Je voulais vous donner quelque chose pour\nvous remercier de la dracopierre que vous\nm'avez offerte il y a si longtemps.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08ヴェイル\nJe l'ai baignée de mon énergie. Ainsi, si nous\nsommes à nouveau séparé\x0E\x0A\x00\x06
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nNous nous ressemblons beaucoup,\ndécidément...\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08ヴェイル\nComment ça ?\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nEh bien, j'ai moi aussi quelque chose à vous\noffrir, Veyle.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08ヴェイル\nMais... c'est l'Anneau du Pacte !\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nOui. Je vous l'offre, Veyle. Vous êtes ma sœur\nadorée ainsi que la personne à laquelle je tiens\nle plus au monde.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08ヴェイル\nMais...\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nJe ne peux pas m'imaginer le donner à\nqui que ce soit d'autre.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08ヴェイル\nJe ne peux pas accepter... Cet anneau est très\nspécial pour vous, Votre Divinité...\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08ヴェイル\nC'est moi qui ai pris la vie de Lumera !\nJe ne le mérite pas.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nC'est faux. Vous le méritez et je tiens à ce que\nvous l'ayez.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nDe plus, je sais que cela aurait été la volonté\nde Mère. Elle aurait voulu notre bonheur à\ntou\x0E\x0A\x00\x0C\x02s\x06tes les deux...\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nPeu importe le reste.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08ヴェイル\nJe comprends. Dans ce cas, je l'accepte.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08ヴェイル\nLa dracopierre que vous m'aviez offerte m'a\nlongtemps servi de talisman. C'est au tour\nde cet anneau, à présent.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nJ'en suis heureu\x0E\x0A\x00\x0A\x02x\x04se.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nJe sais combien vous teniez à la dracopierre.\nJ'espère que ceci parviendra à la remplacer.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nMieux encore, qu'il prendra une nouvelle place\ndans votre cœur, en tant que symbole de notre\nlien fraternel.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nBien sûr, je ne savais pas que vous m'offririez\ncette magnifique pierre avant même que je\nne vous donne l'anneau !\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08ヴェイル\nJe suis heureuse de l'avoir fait. J'aime me dire\nque nous pensons de la même manière !\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nVous m'avez donné la pierre pour que nous\npuissions nous retrouver...\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\nMais ça n'arrivera plus jamais, Veyle.\nNous sommes une famille, et nous resterons\ntoujours uni\x0E\x0A\x00\x06
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08ヴェイル\nL'anneau et la pierre... ils nous rappelleront\nque nous n'aurons plus jamais à être séparé\x0E\x0A\x00\x06
MID_RELIANCE_S_#030	\x0E\x03\x02\x0A\x08ヴェイル\nFinissons-en avec cette guerre et rétablissons\nla paix dans le monde. Faisons-le pour Lumera,\nc'est ce qu'elle aurait voulu.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0A\x08リュール\nOui, c'est vrai. Ensemble, nous y parviendrons.\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0A\x08ヴェイル\nSur cet anneau... je jure de rester à vos côtés et\nde devenir un dragon prêt à sauver le monde !\x0E\x04\x00\x00
