MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nHé, c'est vous, Lapis, pas vrai ?\nJe vous ai cherchée partout !\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ラピス\nCe n'est pas tout. Tu vois la cloche dans\nla main du bonhomme de neige ? Essaie\nde la faire tourner.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06アンナ\nComme ça ?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06アンナ\nHé ! Ça fait de la musique ! Comment vous avez\nréussi à faire ça ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ラピス\nQuelqu'un a jeté une boîte à musique,\nalors je l'ai intégrée au modèle.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ラピス\nOh, et si tu regardes la poupée sous différents\nangles, elle scintille.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ラピス\nJ'y ai ajouté de petites pierres brillantes.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06アンナ\nC'est du génie ! Ah, je savais que j'avais l'œil\npour dénicher des talents !\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06アンナ\nEt comme vous avez utilisé que des matériaux\nrécupérés, les coûts de production sont\nquasi-nuls !\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06アンナ\nC'est le TOP ! Les deux mots que j'aime\nle plus : mignon et gratuit !\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ラピス\nContente que ça te plaise ! Merci de m'avoir\ndonné l'occasion de faire quelque chose de\ncréatif.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06アンナ\nC'est à moi de vous dire merci sur ce coup-là,\ncroyez-moi !\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06アンナ\nAttendez un peu que je vous donne votre part\ndes profits. Ça va faire un carton !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06ラピス\nMademoiselle Anna, as-tu trouvé un acheteur\npour la poupée en forme de bonhomme de\nneige ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06アンナ\nAh, oui... Le truc, c'est que...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ラピス\nQu'est-ce... Qu'est-ce qui ne va pas ?\nTu pleures ?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06アンナ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ラピス\nTu n'as pas réussi à la vendre, c'est ça ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06アンナ\nNon. Je suis vraiment, vraiment désolée.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06アンナ\nJe l'avais avec moi en cherchant un acheteur\net je l'ai laissée tomber. Il... n'en reste plus\ngrand-chose.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06ラピス\nOh, je vois.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06アンナ\nC'est pitoyable, hein ? Surtout après avoir\nfanfaronné à ce point-là...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06アンナ\nJe vous donnerai le milliard d'écus que je vous\nai promis pour compenser. J'espère que vous\npourrez me pardonner...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ラピス\nNe t'en fais pas, Mademoiselle Anna.\nJe n'ai pas besoin d'argent.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06アンナ\nVous avez pas... besoin d'argent ? Hein ?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ラピス\nNon. Je ne veux pas de dédommagement.\nJe veux une autre chance de faire quelque\nchose pour toi.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06アンナ\nQu'est-ce que vous voulez dire ?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ラピス\nJ'ai pris du plaisir à fabriquer cette poupée.\nJe ne voudrais pas que ça soit la seule fois où\nnous travaillons ensemble.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ラピス\nEt puis... j'entends parler du village d'Hivernaire\ndepuis que je suis toute petite.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ラピス\nUn village d'Elusia coupé du monde où des\nfestivals ont lieu toute l'année. J'ai toujours\nrêvé de m'y rendre.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06アンナ\nOn est connus aussi loin ?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ラピス\nOui ! Pour être honnête, je croyais que c'étaient\ndes histoires. Mais c'est la vérité ! Qui l'eût cru !\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ラピス\nJe me sens privilégiée d'avoir pu fabriquer\nquelque chose rendant hommage à un endroit\nsi merveilleux...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06ラピス\nAlors, qu'en dis-tu ? Refaisons un essai, ou\nautant d'essais qu'il faudra avant d'y arriver !\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06アンナ\nJ'aime vous entendre parler comme ça.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06アンナ\nAllez, on se donne une deuxième chance !\nEt cette fois, ça sera parfait !\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ラピス\nQu'est-ce que tu veux dire ?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06アンナ\nOn va prévoir un budget pour acheter de vrais\nmatériaux, pas juste de la camelote récupérée\nà gauche, à droite,\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06ラピス\nHmm... Ça m'intimide un peu. Je n'ai pas\nl'habitude d'utiliser de vrais matériaux.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06アンナ\nÇa peut pas être si compliqué !\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06ラピス\nEh bien, je n'ai plus qu'à faire de mon mieux\npour fabriquer quelque chose que tout le monde\ns'arrache !\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06アンナ\nBien dit !\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06アンナ\nDès que nos affaires seront relancées, bam !\nLe carton assuré et à nous la retraite anticipée !\x0E\x04\x00\x00
