MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0C\nラファール\nTe voilà, sœurette.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04エル\nTa colère est compréhensible. Mais calme-toi\nun peu et ouvre tes oreilles.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Pour moi, le millénaire que tu as passé à\nveiller s'est écoulé en un clin d'œil.\x0E\x04\x02\x00
MID_RELIANCE_A_#010	Dans le monde d'où nous venons, nous n'étions\npas de véritables jumeaux.\x0E\x04\x02\x00
MID_RELIANCE_A_#011	D'ailleurs, c'est peut-être parce que nous\nne pouvions pas être des jumeaux que\nnous nous sommes battus l'un contre l'autre.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nラファール\nOù veux-tu en venir ?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04エル\nMais dans ce monde, il en va autrement.\nIci, il y a cette dracopierre que nous partageons.\x0E\x04\x02\x00
MID_RELIANCE_A_#014	Tu comprends ? Grâce à elle, nous formons\ndeux moitiés complémentaires, sur un pied\nd'égalité.\x0E\x04\x02\x00
MID_RELIANCE_A_#015	Par conséquent, le devoir de protection ne\npeut s'entendre que réciproquement.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nラファール\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04エル\nSi tu désires me protéger, mais que tu refuses\nd'être protégé à ton tour, nous ne serons\njamais sur un pied d'égalité.\x0E\x04\x02\x00
MID_RELIANCE_A_#018	Mais si nous formons les deux moitiés d'un tout,\nalors je dois te protéger moi aussi.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	Tes douleurs sont les miennes, de même que\ntes joies. Et les peurs qui te rongent et les\népreuves qui t'incombent.\x0E\x04\x02\x00
MID_RELIANCE_A_#020	Alors ne me dis plus jamais que ce qu'il\nadviendra de toi est sans importance.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nラファール\n...\x0E\x04\x02\x00
MID_RELIANCE_A_#022	Tu as parfaitement raison. Je t'en prie,\npardonne mon arrogance.\x0E\x04\x02\x00
MID_RELIANCE_A_#023	J'ai laissé ma crainte de te perdre gouverner\nla relation qui nous unit. C'est lamentable.\x0E\x04\x02\x00
MID_RELIANCE_A_#024	Nous sommes effectivement sur un pied\nd'égalité et formons les deux moitiés d'un tout.\nJe t'en prie, pardonne mon impudence.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04エル\nIl n'y a pas lieu de t'excuser. C'est l'amour\nqui dictait tes faits et gestes.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nラファール\nComment évolue ta blessure ?\nSois franche avec moi.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x06\x04エル\nJe vais sans doute devoir vivre avec.\nEt toi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nラファール\nMoi aussi. Pour toujours.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x06\x04エル\nHa ha ! Nous voilà jumeaux de cicatrices,\nmaintenant.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nラファール\nIl n'y a pas de quoi sauter de joie.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x06\x04エル\nBien sûr que si. Cette cicatrice témoigne\ndu fait que j'ai fait obstacle de mon corps\npour protéger mon frère.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0C\nラファール\nHa ha ! Décidément, tu me terrasses.\nIl est impossible de lutter contre toi.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x06\x04エル\nVoilà que tu éclates de rire, et que tu me\ngratifies d'un sourire de surcroît. Ce jour\nest à marquer d'une pierre blanche.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0C\nラファール\nMoi, sourire ? Jamais de la vie.\nTu te fais des idées.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x06\x04エル\nTu ne m'auras pas, Rafal. Impossible.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0C\nラファール\nPourquoi ? Parce que nous formons les deux\nmoitiés d'un tout ?\x0E\x04\x00\x00
MID_RELIANCE_A_#037	\x0E\x03\x02\x06\x04エル\nExactement.\x0E\x04\x00\x00
MID_RELIANCE_A_#038	\x0E\x03\x02\x0C\nラファール\nMes pensées sont également les tiennes,\non dirait. J'espère qu'il en sera toujours\nainsi, sœurette.\x0E\x04\x00\x00
MID_RELIANCE_A_#039	\x0E\x03\x02\x06\x04エル\nMoi aussi.\x0E\x04\x00\x00
