MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\nLouis...\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x06\x04ルイ\nC'est là tout ce que je peux faire, Princesse Ivy.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x06\x04ルイ\nQu'en dites-vous, Princesse Ivy ? La vue\nde cette joyeuse petite réunion ne vous\ninspire donc rien ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アイビー\nNon. Rien du tout.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04ルイ\nComme c'est étrange. Quant à moi, le spectacle\nde ces joies simples et de ces conversations\nbadines me procure un grand réconfort.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アイビー\nJe crois que ce phénomène ne se produit\nque pour toi.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x06\x04ルイ\nOh ? Quel dommage.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アイビー\nÉtait-ce là l'unique plan que tu avais médité ?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08アイビー\nTous tes espoirs se résumaient-ils à me\nprésenter ce seul spectacle afin de me faire...\npapoter ?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04ルイ\nNon. Je suis loin d'avoir abandonné.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ルイ\nCeci dit, je n'ai pas encore d'autres idées.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x06\x04ルイ\nEn attendant qu'elles viennent, feriez-vous\ncas d'une tasse de thé ? Je vais préparer un\nmélange de thé noir que j'ai mis de côté.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08アイビー\nUne tasse de thé serait un ravissement,\nen effet. Merci, Louis.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x06\x04ルイ\nAh ah !\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アイビー\nQuoi ? Qu'y a-t-il ?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ルイ\nIl me semble bien avoir aperçu l'esquisse\nd'un sourire à l'instant.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アイビー\nTiens donc ?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x06\x04ルイ\nOserai-je en conclure que vous êtes férue\nde thé noir ?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アイビー\nEn effet... Mais si j'ai pu te sembler heureuse,\nce n'était pas pour cette raison.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08アイビー\nCe sont les efforts épuisants que tu n'hésites\npas à fournir que je trouve amusants.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ルイ\nIl n'y a pourtant rien de risible à cela.\nLa joie d'une princesse est tout à fait précieuse.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08アイビー\nHm...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x06\x04ルイ\nAh ! Ai-je vu un autre sourire ?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08アイビー\nÇa suffit ! Tu m'as promis du thé, alors\nmets-toi à l'ouvrage !\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x06\x04ルイ\nHé hé ! Ainsi qu'il vous plaira, Votre Altesse.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\nLouis, me préparerais-tu une autre tasse\nde ce délicieux thé ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04ルイ\n... Vous me placez dans une position\ndélicate, Votre Altesse.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アイビー\nSi tu es trop occupé, mon thé peut attendre...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04ルイ\nNon, vous n'y êtes pas. Le problème auquel\nje suis confronté, c'est votre humeur récente.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アイビー\nLa déception de ne pas me voir sourire autant\nqu'il te plairait ne s'est-elle pas encore\ndissipée ?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x06\x04ルイ\nCe n'est pas cela. Vous étiez rayonnante\nen pénétrant dans la pièce, d'ailleurs.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アイビー\nVraiment ?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ルイ\nC'est précisément cette joie incandescente\nqui me met à la torture, voyez-vous.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ルイ\nN'aviez-vous pas conscience de briller ainsi ?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アイビー\nNon... Pas du tout.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04ルイ\nOn ne saurait en aucun cas partager une\ntelle joie avec moi. Elle ne convient qu'aux\nêtres de votre envergure.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04ルイ\nMon rôle se cantonne à la provocation de\nces moments, puis à me retirer jusqu'à ce\nqu'on requiert à nouveau ma présence.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アイビー\nHi hi ! Je... serais bien embarrassée de devoir\nrépondre à cela.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ルイ\nEt vous me gratifiez d'un rire, à présent ?\nVraiment, Princesse Ivy, c'est du gâchis.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04ルイ\nC'est étrange, tout de même...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x06\x04ルイ\nJe n'ai toujours pas la moindre idée au sujet\nde ce qui vous fait rayonner ainsi de joie.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アイビー\nComment oses-tu ?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08アイビー\nJe ne suis pas un monstre, tu sais. Je suis\ncapable de sourire à mes amis et mes alliés.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04ルイ\nOh ! Est-ce donc ainsi que vous me voyez,\nVotre Altesse ? Un allié ? Voire... un ami ?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アイビー\nNe te tourne pas en ridicule. Hâte-toi plutôt\nde préparer le thé, veux-tu ?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ルイ\nAinsi qu'il vous plaira, Votre Altesse. Je m'en\nvais concocter le thé le plus mémorable que\nvous n'ayez jamais bu.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アイビー\nJe n'attends que le meilleur de ta part, Louis.\x0E\x04\x00\x00
