MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06メリン\nJ'ai fait la rencontre d'une femme intrépide qui\nchevauchait un loup. Ça, c'était un esprit libre.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nミスティラ\n... Qui, moi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06メリン\n« Esprit libre » ne convient même pas\ncomplètement. Vous vous êtes frottée\nseule à une bande entière de bandits.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nミスティラ\nEt tu es sortie de nulle part pour me prêter\nmain-forte. Je n'oublierai jamais ce jour.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06メリン\nMoi non plus.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06メリン\nÀ l'époque, je ne m'en suis pas rendu compte,\nmais... cette rencontre fortuite allait changer\nma vie.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x0C\nミスティラ\nTu sais, être assise avec toi près d'un bon feu...\nÇa me rappelle le bon vieux temps.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06メリン\nOui, nous avons passé bien des nuits comme\ncelle-ci après notre première rencontre et cette\nrixe avec les bandits.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06メリン\nQuand nous n'étions que deux voyageuses\nerrant ensemble dans le royaume.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06メリン\nUne époque où j'ignorais bien sûr que\nMa Princesse était une vraie princesse, en fait.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nミスティラ\nTu ne me l'as jamais demandé ! Honnêtement,\nje pensais que tu l'avais compris.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06メリン\nVous savez, Princesse Timerra...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06メリン\nEn général, les membres des familles royales\nne sortent pas en douce de leur château pour\npunir des bandits par surprise.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nミスティラ\nOui, eh bien je ne suis pas comme tous\nles membres des familles royales.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06メリン\nHa ha, aucun doute là-dessus.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06メリン\nMais sérieusement, vous vous souvenez du choc\nque ça m'a fait quand j'ai appris que vous étiez\nla princesse de Solm ?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06メリン\nJe venais de finir de... vous raconter ma vie\ndans ses moindres détails.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06メリン\nMon rêve de devenir chevalier, et comment\nmes origines le rendaient impossible.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06メリン\nJe vous avais dit que c'était la raison pour\nlaquelle j'avais fui mon village.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06メリン\nEt puis vous...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nミスティラ\nJe t'ai demandé si tu désirais vraiment\net sincèrement devenir chevalier.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06メリン\nEt je vous ai répondu :\n« Oui. De tout mon cœur, oui. »\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06メリン\nVous avez posé votre épée sur mes épaules,\nl'une après l'autre, et vous avez dit...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nミスティラ\n« Par ce geste, je t'élève au rang de chevalier\ndu royaume de Solm. »\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06メリン\nEt je me suis mise à rire ! Je pensais que\nce n'était qu'une blague.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06メリン\nMais vous, Ma Princesse, vous ne riiez pas.\nVous me regardiez avec gravité.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nJamais je n'oublierai votre expression quand\nvous m'avez adoubée. Quel sérieux.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nミスティラ\nEh bien, oui ! J'étais complètement dedans.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nミスティラ\nAprès tout ce temps passé à voyager ensemble,\nje pouvais voir à quel point tu étais quelqu'un\nde bien.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nミスティラ\nJ'aurais été bien folle de ne pas te recruter\nà la première occasion.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06メリン\nMa Princesse, vous me flattez.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06メリン\nCeci dit, j'aurais aimé que vous me révéliez\nvotre véritable identité plus tôt...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nミスティラ\nTu reviens à la charge ! Ça m'était simplement\nsorti de l'esprit, rien de plus. Je te l'ai dit juste\naprès, non ?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nミスティラ\nNous sommes même allées ensemble\nà ton village.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06メリン\nOui, c'est exact.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06メリン\nQuand vous avez incliné la tête devant ma mère,\nla matriarche du village...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06メリン\nEt que vous lui avez demandé si elle\napprouvait mon adoubement...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06メリン\nJe ne l'ai jamais vue aussi choquée. Mais elle\nl'a approuvé, à la condition que je revienne les\ndiriger un jour.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nミスティラ\nTa mère est quelqu'un de bien. Elle a compris\nque nous étions tout à fait sérieuses.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06メリン\nHa ha.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06メリン\nÀ compter de ce moment, j'étais à votre service.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06メリン\nCe fut le jour où les nuages se sont dissipés\ndans ma vie et le soleil s'est mis à briller.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nミスティラ\nEt c'est moi qui te flatte.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06メリン\nVotre éclat radieux ne faiblira jamais.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06メリン\nVoilà la raison pour laquelle je consacre ma vie\nentière à vous servir, Ma Princesse.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nミスティラ\nMerci, Merrin.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nミスティラ\nJ'espère que tu resteras à jamais à mes côtés...\nToi, mon chevalier à la scintillante armure.\nMon amie.\x0E\x04\x00\x00
