MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x02\x0E\x0Cアルフレッド\nPrincesse Ivy ! Nous devons cesser de nous\nvoir à ces heures indues.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08アイビー\nPrince Alfred, n'êtes-vous pas censé\nêtre couché depuis longtemps ?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh, ce n'est pas que je veille tard...\nC'est que je me suis levé tôt ce matin !\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アイビー\nJe ne suis pas sûre qu'il soit tellement tard\nqu'on puisse dire qu'il est « tôt le matin ».\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nMais vous-même, que faites-vous là ?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08アイビー\nJe n'arrivais pas à fermer l'œil.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nJ'aurais cru qu'il était encore plus difficile\nde dormir ici. L'endroit est si lumineux.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08アイビー\nNon. En fait... je suis mieux ici.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nHmm.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cアルフレッド\nIl souffle un méchant vent cette nuit, pas vrai ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nOn croirait entendre hurler un fantôme quand\nil s'engouffre entre les arbres.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アイビー\nQue sous-entendez-vous par là ?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\nInutile de tourner autour du pot avec moi,\nPrincesse Ivy. Vous aviez peur de rester\ntoute seule dans votre chambre, c'est ça ?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アイビー\nComment osez-vous ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nEh, y a pas de honte.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nLe vent me flanquait la frousse aussi, quand\nj'étais petit. Je me précipitais sous la couverture\net j'en sortais plus jusqu'au petit matin.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08アイビー\nJe ne suis pas une enfant !\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cアルフレッド\nQuand la peur vous prend, pensez à quelque\nchose que vous aimez. Vous serez endormie\nen un rien de temps !\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nMa mère me disait la même chose. Après quoi\nje dormais comme un bébé jusqu'au lendemain.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08アイビー\nOh...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08アイビー\nJe retourne me coucher. Il n'est pas de\nbonne santé sans un sommeil réparateur,\ncomme on dit.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cアルフレッド\nBonne nuit ! Et ne laissez pas ce vilain vent\nvous la gâcher !\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08アイビー\nMerci.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\nPrince Alfred, vous rendez-vous compte\ndu point où nous en sommes, tous les deux ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nPrincesse Ivy ? Eh bien pour tout vous dire...\nPas du tout !\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アイビー\nLa première nuit, vous m'avez aidée à retrouver\nmon chemin alors que je m'étais égarée.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08アイビー\nLa deuxième fois, vous m'avez prodigué des\nconseils pour trouver un sommeil serein.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アイビー\nIl m'en coûte de l'avouer, mais je vous suis\nredevable.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nHa ha ! Et où est le problème ?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アイビー\nCela constitue un grave inconvénient.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アイビー\nJe suis la princesse héritière d'Elusia, je ne\npeux me permettre d'afficher une telle faiblesse,\nencore moins aux yeux d'une nation rivale.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アイビー\nC'est pourquoi... vous devez me fournir\nun moyen de vous aider.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nAh, vous estimez maintenant que c'est à\nvotre tour de me rendre service, c'est ça ?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08アイビー\nJe n'entends qu'honorer une dette, rien\nde plus.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nEh bien, vous m'en voyez navré, mais\nje n'ai pas l'ombre d'un souci à l'horizon\npour le moment.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アイビー\nAlors vous ne me laisserez pas vous aider ?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08アイビー\nC'est inadmissible ! J'exige que vous ayez\ndes ennuis sur-le-champ !\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nHé hé ! La seule chose qui m'ennuie, c'est\ncette exigence que vous formulez.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nÉcoutez, pour moi, vous ne m'êtes\nabsolument pas redevable.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nC'est normal de se donner des coups de pouce,\nentre alliés !\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cアルフレッド\nSi je vois que vous êtes dans la panade, je vous\ntire d'affaire. Vous ne me devez rien en retour,\npas plus qu'aucun de mes amis.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08アイビー\nVous... Vous faites confiance aux gens, tout\nsimplement.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アイビー\nVous êtes d'une naïveté confondante.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cアルフレッド\nPour cela, je plaide coupable. Mais vous savez,\nça a parfois du bon d'être naïf.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08アイビー\nJe suppose... que je pourrais en prendre\nde la graine.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08アイビー\nTrès bien. Je vais vous faire confiance.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cアルフレッド\nAaaah, Princesse Ivy ! C'est formidable !\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08アイビー\nEn toute honnêteté, je suis bien aise d'avoir\ndavantage de gens en qui je peux placer\nma confiance, dorénavant.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08アイビー\nUne fois devenue reine, il me sera agréable\nde songer qu'au moins l'un de mes pairs\nest digne de confiance.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08アイビー\nMerci, Prince Alfred.\x0E\x04\x00\x00
